nch18_gm_gds (ll=3.5e-07) X,nch18_gm_gds (ll=3.5e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0.09999999999999999,312.54926726282,0.09999999999999999,398.1461828016415,0.09999999999999999,502.8213882927298,0.09999999999999999,558.8717024791076,0.09999999999999999,598.0058614630607,0.09999999999999999,629.7007054133617,0.09999999999999999,656.7127154556561,0.09999999999999999,680.1847479547137,0.09999999999999999,719.0659804490308,0.09999999999999999,749.9728312396227,0.09999999999999999,775.1304790837535,0.09999999999999999,796.0060243404371,0.09999999999999999,813.606726354212,0.09999999999999999,828.6470052129937,0.09999999999999999,841.6476104738171
0.11,312.3741813196205,0.11,397.9148912784964,0.11,502.5138910491565,0.11,558.5172039822424,0.11,597.6145090803865,0.11,629.2769085408787,0.11,656.2594487637884,0.11,679.7045035200475,0.11,718.5381797087315,0.11,749.404607419164,0.11,774.5275979994611,0.11,795.3731749305866,0.11,812.9477528530739,0.11,827.9650871628073,0.11,840.945400825893
0.12,312.1876941207144,0.12,397.6679170119331,0.12,502.1844630243594,0.12,558.1365818782385,0.12,597.1935283310937,0.12,628.8202635410104,0.12,655.7703213455162,0.12,679.1855790321438,0.12,717.9666103923971,0.12,748.7881924020747,0.12,773.8726767789374,0.12,794.6849223235483,0.12,812.2304225834407,0.12,827.2222041470014,0.12,840.1799103406343
0.13,311.9879177148221,0.13,397.402672762523,0.13,501.8295110981275,0.13,557.7255809513573,0.13,596.738116974725,0.13,628.3254694291774,0.13,655.2395687318766,0.13,678.6217792353968,0.13,717.344307706169,0.13,748.1159617375764,0.13,773.1575244758445,0.13,793.9325867845399,0.13,811.4456315691037,0.13,826.4088816487324,0.13,839.3413388316224
0.14,311.7726520952374,0.14,397.1161434948079,0.14,501.4448508267326,0.14,557.2792511269701,0.14,596.2426954768491,0.14,627.7863750652236,0.14,654.6605105261895,0.14,678.0059335489287,0.14,716.6632298634639,0.14,747.3791317388893,0.14,772.3727242313955,0.14,793.1062083118336,0.14,810.582950950212,0.14,825.5142833719859,0.14,838.4184935965319
0.15,311.5393369311424,0.15,396.8048202367509,0.15,501.0256163900719,0.15,556.791844182796,0.15,595.700794689962,0.15,627.1958599993133,0.15,654.0254260621221,0.15,677.3297679309876,0.15,715.9141257694318,0.15,746.5676264200073,0.15,771.5075018258154,0.15,792.194418379872,0.15,809.6305029351361,0.15,824.5260920290403,0.15,837.3986753954905
0.16,311.2849976138154,0.16,396.4646262715515,0.16,500.5661609070781,0.16,556.2567007145725,0.16,595.1049345623924,0.16,626.5457076727025,0.16,653.3254241587621,0.16,676.583772905059,0.16,715.0864036660431,0.16,745.6699507057868,0.16,770.5496060086605,0.16,791.1843289548258,0.16,808.5748593846632,0.16,823.4304179143534,0.16,836.2675971277364
0.17,311.0061857341789,0.17,396.0908359183571,0.17,500.0599479599259,0.17,555.6661290617666,0.17,594.4464966335853,0.17,625.8264749254986,0.17,652.5503122216259,0.17,675.7570743622337,0.17,714.1680101881782,0.17,744.6730822152665,0.17,769.4852156781052,0.17,790.06145649533,0.17,807.4009832299099,0.17,822.2117577958307,0.17,835.009359908933
0.18,310.6989145297895,0.18,395.6779867850861,0.18,499.499436232656,0.18,555.0112794237159,0.18,593.7155950916577,0.18,625.027364303042,0.18,651.6884730191515,0.18,674.8373173858993,0.18,713.1453340047711,0.18,743.562399689665,0.18,768.2988957323352,0.18,788.8097063084246,0.18,806.092241415329,0.18,820.8530359050991,0.18,833.6065211978201
0.19,310.3585904616506,0.19,395.2197872968329,0.19,498.8759607071605,0.19,554.2820185594676,0.19,592.9009539895188,0.19,624.1361091617747,0.19,650.7267616789934,0.19,673.8105782676605,0.19,712.003154529785,0.19,742.3216737551953,0.19,766.9736322407934,0.19,787.4114525574748,0.19,804.6305289817983,0.19,819.3357706344924,0.19,832.0403022619911
0.2,309.9799429701567,0.2,394.7090226119483,0.2,498.1796160128137,0.2,553.4668134492881,0.2,591.9898020573434,0.2,623.1388862986101,0.2,649.6504410624791,0.2,672.6613263815689,0.2,710.7246643842748,0.2,740.9331554719574,0.2,765.4909887568418,0.2,785.847761651895,0.2,802.9965574590026,0.2,817.6404250982151,0.2,830.2909977091277
0.21,309.5569556936256,0.21,394.1374638472765,0.21,497.3991504624352,0.21,552.5526363059432,0.21,590.9678016393243,0.21,622.0202770084443,0.21,648.4431809381703,0.21,671.3724658987992,0.21,709.2916045766327,0.21,739.3778101570027,0.21,763.8314391558995,0.21,784.0988216294969,0.21,801.170376750641,0.21,815.747016702693,0.21,828.3386676334489
0.2200000000000001,309.0828041013162,0.2200000000000001,393.4957879679469,0.2200000000000001,496.5218831996605,0.2200000000000001,551.5249085554476,0.2200000000000001,589.8190348216463,0.2200000000000001,620.7633052972902,0.2200000000000001,647.0871554355573,0.2200000000000001,669.9254975575018,0.2200000000000001,707.6845636988082,0.2200000000000001,737.6357580534519,0.2200000000000001,761.9749478940236,0.2200000000000001,782.1446567956007,0.2200000000000001,799.1322172525346,0.2200000000000001,813.636079136487,0.2200000000000001,826.1642117428877
0.2300000000000001,308.5498066856749,0.2300000000000001,392.7735188773137,0.2300000000000001,495.5336618823036,0.2300000000000001,550.3675079999052,0.2300000000000001,588.5260778999821,0.2300000000000001,619.3495914587594,0.2300000000000001,645.5632840296397,0.2300000000000001,668.3008526307862,0.2300000000000001,705.8835062660768,0.2300000000000001,735.68699861354,0.2300000000000001,759.901884683301,0.2300000000000001,779.9662235170219,0.2300000000000001,796.8637558193127,0.2300000000000001,811.2900870826641,0.2300000000000001,823.7509415745342
0.2400000000000001,307.949399651035,0.2400000000000001,391.9590042594155,0.2400000000000001,494.4188845035844,0.2400000000000001,549.0628713185604,0.2400000000000001,587.070204812807,0.2400000000000001,617.7596700301077,0.2400000000000001,643.851673223729,0.2400000000000001,666.4784640287795,0.2400000000000001,703.8686091947873,0.2400000000000001,733.5125093089862,0.2400000000000001,757.5943743746219,0.2400000000000001,777.546996039974,0.2400000000000001,794.3499210071831,0.2400000000000001,808.695464381193,0.2400000000000001,821.0867757946145
0.2500000000000001,307.2721484550472,0.2500000000000001,391.0394475869569,0.2500000000000001,493.1606161992177,0.2500000000000001,547.5922330415402,0.2500000000000001,585.431770436559,0.2500000000000001,615.9735323074497,0.2500000000000001,641.9323277569219,0.2500000000000001,664.4386512362321,0.2500000000000001,701.6214963373968,0.2500000000000001,731.0958188209801,0.2500000000000001,755.0381889671972,0.2500000000000001,774.875153973521,0.2500000000000001,791.5813521011813,0.2500000000000001,805.8452915807287,0.2500000000000001,818.1671748575466
0.2600000000000001,306.5078135297695,0.2600000000000001,390.0010202491962,0.2600000000000001,491.7408397517783,0.2600000000000001,545.9360512766606,0.2600000000000001,583.5908342952686,0.2600000000000001,613.9714630689409,0.2600000000000001,639.7862087778989,0.2600000000000001,662.1634029331273,0.2600000000000001,699.1269636421907,0.2600000000000001,728.4251510552247,0.2600000000000001,752.2252782062953,0.2600000000000001,771.9464650129968,0.2600000000000001,788.557600523641,0.2600000000000001,802.7427950458658,0.2600000000000001,814.9988897932203
0.2700000000000001,305.6454917675378,0.2700000000000001,388.829084505753,0.2700000000000001,490.140885943859,0.2700000000000001,544.074678002716,0.2700000000000001,581.5280915980136,0.2700000000000001,611.7352451996314,0.2700000000000001,637.396717111919,0.2700000000000001,659.6381375543934,0.2700000000000001,696.3752731950015,0.2700000000000001,725.4962094348671,0.2700000000000001,749.1569945098471,0.2700000000000001,768.7679016456099,0.2700000000000001,785.2910933342222,0.2700000000000001,799.4056171882473,0.2700000000000001,811.604504094563
0.2800000000000001,304.6738593207054,0.2800000000000001,387.5085629574224,0.2800000000000001,488.3420949531804,0.2800000000000001,541.9893344820778,0.2800000000000001,579.226176998852,0.2800000000000001,609.2497983859794,0.2800000000000001,634.7516646868263,0.2800000000000001,656.8539981799001,0.2800000000000001,693.3650501687353,0.2800000000000001,722.3156041735625,0.2800000000000001,745.8479779262952,0.2800000000000001,765.3619174029975,0.2800000000000001,781.8117429287724,0.2800000000000001,795.870710388215,0.2800000000000001,808.0275704577542
