pch18_ft (ll=3.5e-07) X,pch18_ft (ll=3.5e-07) Y,pch18_ft (ll=4e-07) X,pch18_ft (ll=4e-07) Y,pch18_ft (ll=5e-07) X,pch18_ft (ll=5e-07) Y,pch18_ft (ll=6e-07) X,pch18_ft (ll=6e-07) Y,pch18_ft (ll=7e-07) X,pch18_ft (ll=7e-07) Y,pch18_ft (ll=8e-07) X,pch18_ft (ll=8e-07) Y,pch18_ft (ll=9e-07) X,pch18_ft (ll=9e-07) Y,pch18_ft (ll=1e-06) X,pch18_ft (ll=1e-06) Y,pch18_ft (ll=1.2e-06) X,pch18_ft (ll=1.2e-06) Y,pch18_ft (ll=1.4e-06) X,pch18_ft (ll=1.4e-06) Y,pch18_ft (ll=1.6e-06) X,pch18_ft (ll=1.6e-06) Y,pch18_ft (ll=1.8e-06) X,pch18_ft (ll=1.8e-06) Y,pch18_ft (ll=2e-06) X,pch18_ft (ll=2e-06) Y,pch18_ft (ll=2.2e-06) X,pch18_ft (ll=2.2e-06) Y,pch18_ft (ll=2.4e-06) X,pch18_ft (ll=2.4e-06) Y
0.2900000000000001,-31411450.83578975,0.2900000000000001,-28010003.5477816,0.2900000000000001,-23443930.91474334,0.2900000000000001,-20101136.6533592,0.2900000000000001,-17426282.09510129,0.2900000000000001,-15234126.22649444,0.2900000000000001,-13417712.42850861,0.2900000000000001,-11899602.17831066,0.2900000000000001,-9534187.00284701,0.2900000000000001,-7804082.273467808,0.2900000000000001,-6503657.701156312,0.2900000000000001,-5502738.170842456,0.2900000000000001,-4716400.931436155,0.2900000000000001,-4087597.118020894,0.2900000000000001,-3576955.418856093
0.3000000000000001,-39338382.55089617,0.3000000000000001,-34960023.79009165,0.3000000000000001,-29034841.64962752,0.3000000000000001,-24700662.06436815,0.3000000000000001,-21256060.54507318,0.3000000000000001,-18455753.16271653,0.3000000000000001,-16153860.15777085,0.3000000000000001,-14244430.48231089,0.3000000000000001,-11298860.56466853,0.3000000000000001,-9170386.404747995,0.3000000000000001,-7587147.168341802,0.3000000000000001,-6379528.950943969,0.3000000000000001,-5438277.220777405,0.3000000000000001,-4690812.955520404,0.3000000000000001,-4087540.440096221
0.3100000000000001,-48912551.31203152,0.3100000000000001,-43295163.31083831,0.3100000000000001,-35640679.98756742,0.3100000000000001,-30057981.76057673,0.3100000000000001,-25658946.62123004,0.3100000000000001,-22116265.21795441,0.3100000000000001,-19230279.211426,0.3100000000000001,-16856216.13277874,0.3100000000000001,-13233293.81154502,0.3100000000000001,-10648852.43652661,0.3100000000000001,-8747191.263833521,0.3100000000000001,-7310034.532392832,0.3100000000000001,-6198742.770792336,0.3100000000000001,-5322320.24914048,0.3100000000000001,-4619234.989257176
0.3200000000000001,-60346362.8497111,0.3200000000000001,-53169872.21332286,0.3200000000000001,-43339037.66031705,0.3200000000000001,-36206308.74153065,0.3200000000000001,-30643209.38329207,0.3200000000000001,-26210450.79175067,0.3200000000000001,-22634914.1668002,0.3200000000000001,-19719848.84072424,0.3200000000000001,-15321685.74021765,0.3200000000000001,-12225640.80377612,0.3200000000000001,-9972384.25355752,0.3200000000000001,-8285075.879648179,0.3200000000000001,-6990473.931475133,0.3200000000000001,-5976285.674850588,0.3200000000000001,-5167385.58590262
0.3300000000000001,-73843169.81016958,0.3300000000000001,-64723335.65189908,0.3300000000000001,-52188189.70651422,0.3300000000000001,-43161347.14076925,0.3300000000000001,-36203309.96424365,0.3300000000000001,-30723070.58924042,0.3300000000000001,-26348897.87620397,0.3300000000000001,-22815929.67017808,0.3300000000000001,-17547221.90647279,0.3300000000000001,-13887571.90236523,0.3300000000000001,-11252756.53247803,0.3300000000000001,-9297210.031773007,0.3300000000000001,-7807938.844135712,0.3300000000000001,-6648603.63587229,0.3300000000000001,-5728948.587085258
0.3400000000000001,-89590910.93988438,0.3400000000000001,-78074985.07471927,0.3400000000000001,-62226424.6704321,0.3400000000000001,-50923343.59369662,0.3400000000000001,-42323382.21503253,0.3400000000000001,-35632835.35976479,0.3400000000000001,-30350478.11669595,0.3400000000000001,-26124370.30852486,0.3400000000000001,-19894775.66722323,0.3400000000000001,-15624004.63059516,0.3400000000000001,-12581027.93581802,0.3400000000000001,-10341539.25312637,0.3400000000000001,-8647899.842377756,0.3400000000000001,-7337189.478495479,0.3400000000000001,-6302641.696821266
0.3500000000000001,-107758528.3913971,0.3500000000000001,-93323253.15662977,0.3500000000000001,-73474585.18532342,0.3500000000000001,-59481543.32923913,0.3500000000000001,-48982145.73016728,0.3500000000000001,-40916982.74205722,0.3500000000000001,-34618932.26084022,0.3500000000000001,-29627575.23335028,0.3500000000000001,-22352816.71405108,0.3500000000000001,-17427863.97248078,0.3500000000000001,-13953079.17641624,0.3500000000000001,-11415845.8362275,0.3500000000000001,-9509350.476483848,0.3500000000000001,-8041804.392884683,0.3500000000000001,-6888709.019689079
0.3600000000000002,-128495703.589846,0.3600000000000002,-110547643.9946047,0.3600000000000002,-85940979.63916549,0.3600000000000002,-68819699.92909916,0.3600000000000002,-56157788.48351718,0.3600000000000002,-46555117.07617602,0.3600000000000002,-39137359.61855169,0.3600000000000002,-33312339.15479193,0.3600000000000002,-24914064.79066616,0.3600000000000002,-19295617.19598209,0.3600000000000002,-15367591.62277695,0.3600000000000002,-12520083.4535897,0.3600000000000002,-10392957.91850328,0.3600000000000002,-8763499.716394207,0.3600000000000002,-7488391.880126895
0.3700000000000002,-151935303.009611,0.3700000000000002,-129813003.3807604,0.3700000000000002,-99626910.86296102,0.3700000000000002,-78920841.07123499,0.3700000000000002,-63831320.30818845,0.3700000000000002,-52531210.85253723,0.3700000000000002,-43893619.16149742,0.3700000000000002,-37170024.06966636,0.3700000000000002,-27574829.14411544,0.3700000000000002,-21226313.27854786,0.3700000000000002,-16825036.09149689,0.3700000000000002,-13655419.98168669,0.3700000000000002,-11300197.11111965,0.3700000000000002,-9503849.724515963,0.3700000000000002,-8103255.054250929
0.3800000000000002,-178196768.7896061,0.3800000000000002,-151173913.476377,0.3800000000000002,-114530734.0588665,0.3800000000000002,-89769710.94828954,0.3800000000000002,-71987429.20657215,0.3800000000000002,-58833308.33460627,0.3800000000000002,-48879313.07455471,0.3800000000000002,-41195146.77596223,0.3800000000000002,-30333370.15775382,0.3800000000000002,-23220054.89500814,0.3800000000000002,-18326349.71022934,0.3800000000000002,-14823123.53526942,0.3800000000000002,-12232421.42185252,0.3800000000000002,-10264176.60347273,0.3800000000000002,-8734537.960996365
