pch18_gm_gds (ll=3.5e-07) X,pch18_gm_gds (ll=3.5e-07) Y,pch18_gm_gds (ll=4e-07) X,pch18_gm_gds (ll=4e-07) Y,pch18_gm_gds (ll=5e-07) X,pch18_gm_gds (ll=5e-07) Y,pch18_gm_gds (ll=6e-07) X,pch18_gm_gds (ll=6e-07) Y,pch18_gm_gds (ll=7e-07) X,pch18_gm_gds (ll=7e-07) Y,pch18_gm_gds (ll=8e-07) X,pch18_gm_gds (ll=8e-07) Y,pch18_gm_gds (ll=9e-07) X,pch18_gm_gds (ll=9e-07) Y,pch18_gm_gds (ll=1e-06) X,pch18_gm_gds (ll=1e-06) Y,pch18_gm_gds (ll=1.2e-06) X,pch18_gm_gds (ll=1.2e-06) Y,pch18_gm_gds (ll=1.4e-06) X,pch18_gm_gds (ll=1.4e-06) Y,pch18_gm_gds (ll=1.6e-06) X,pch18_gm_gds (ll=1.6e-06) Y,pch18_gm_gds (ll=1.8e-06) X,pch18_gm_gds (ll=1.8e-06) Y,pch18_gm_gds (ll=2e-06) X,pch18_gm_gds (ll=2e-06) Y,pch18_gm_gds (ll=2.2e-06) X,pch18_gm_gds (ll=2.2e-06) Y,pch18_gm_gds (ll=2.4e-06) X,pch18_gm_gds (ll=2.4e-06) Y
0.12,238.0263208681275,0.12,303.9199101249984,0.12,383.8112303906416,0.12,423.8922926140668,0.12,449.4380012586799,0.12,468.5837416564321,0.12,483.9237665284633,0.12,496.5918169207573,0.12,516.3417941755465,0.12,531.0345769142858,0.12,542.3897725414448,0.12,551.4270632186681,0.12,558.7896155043015,0.12,564.9030349478558,0.12,570.0601070072511
0.13,237.709289151771,0.13,303.5045176436961,0.13,383.2650264197342,0.13,423.2708445832633,0.13,448.7638117684662,0.13,467.8679190347992,0.13,483.1735224984211,0.13,495.8125026564821,0.13,515.5160440616746,0.13,530.1734169606684,0.13,541.5007502329602,0.13,550.5155640256733,0.13,557.8596126965016,0.13,563.9575414884969,0.13,569.1014606496702
0.14,237.3726214737007,0.14,303.0624799173378,0.14,382.6820325872712,0.14,422.6062012530732,0.14,448.0417155062795,0.14,467.100395947532,0.14,482.3684134746592,0.14,494.9756382609567,0.14,514.6284395871407,0.14,529.2471137076973,0.14,540.5439958101645,0.14,549.5342453247772,0.14,556.8580735792182,0.14,562.9390761285727,0.14,568.0686249925647
0.15,237.0133072768081,0.15,302.5897268564598,0.15,382.0566908658516,0.15,421.8919182284025,0.15,447.2646480232294,0.15,466.2736269111892,0.15,481.5005045832683,0.15,494.072966948234,0.15,513.6702247036379,0.15,528.2465441042847,0.15,539.5101065732445,0.15,548.4734850692643,0.15,555.7751999309713,0.15,561.8376963333219,0.15,566.951537311115
0.16,236.6279228162002,0.16,302.0816371296962,0.16,381.3827168464856,0.16,421.1207419820478,0.16,446.4246913066387,0.16,465.3791863867657,0.16,480.5609647889045,0.16,493.09532636714,0.16,512.6317310898029,0.16,527.1616748987667,0.16,538.3887758146468,0.16,547.3227652201224,0.16,554.6003062071136,0.16,560.642580965493,0.16,565.7392647436176
0.17,236.2125935786944,0.17,301.53299173192,0.17,380.6530505259298,0.17,420.2845697441693,0.17,445.5130465978546,0.17,464.4077554525047,0.17,479.54006731543,0.17,492.0326622303787,0.17,511.5024159573474,0.17,525.9816214838532,0.17,537.1688698377613,0.17,546.0707644815716,0.17,553.3219259294158,0.17,559.3421486063903,0.17,564.4201331033371
0.18,235.7629610730546,0.18,300.937935244655,0.18,379.8598229757696,0.18,419.3744339514726,0.18,444.5200400825384,0.18,463.3491490677247,0.18,478.4272377293252,0.18,490.874096044769,0.18,510.2709651171392,0.18,524.6947812326626,0.18,535.8385871695526,0.18,544.7055397262243,0.18,551.9280123007986,0.18,557.9242748663404,0.18,562.9819588178418
0.19,235.2741578769388,0.19,300.2899505968712,0.19,378.9943483854265,0.19,418.3805239506621,0.19,443.4351769406717,0.19,462.1924018705925,0.19,477.2111697934837,0.19,489.6080689619363,0.19,508.9254865236834,0.19,523.2890690951797,0.19,534.3857298060937,0.19,543.21482765548,0.19,550.4062660196864,0.19,556.3766428707474,0.19,561.4124192213003
0.2,234.7407961931462,0.2,299.5818550853132,0.2,378.0471538887808,0.2,417.2922612648413,0.2,442.24726338216,0.2,460.9259350000609,0.2,475.8800340695269,0.2,488.2225888975011,0.2,507.453825021329,0.2,521.7522889796766,0.2,532.7981222564147,0.2,541.5865042878171,0.2,548.7446294007976,0.2,554.6872673024463,0.2,559.6996026655535
0.21,234.1569768027369,0.21,298.8058277044578,0.21,377.0080628819107,0.21,416.0984486688347,0.21,440.9446206498786,0.21,459.537831067148,0.21,474.4218090647008,0.21,486.7056129994396,0.21,505.8440340451364,0.21,520.0726794673561,0.21,531.0642191153652,0.21,539.8092447482521,0.21,546.9319906952626,0.21,552.8452370685224,0.21,557.8327845060415
0.2200000000000001,233.5163271635091,0.2200000000000001,297.953480371682,0.2200000000000001,375.8663509763722,0.2200000000000001,414.7875171721441,0.2200000000000001,439.515418967326,0.2200000000000001,458.0162483792012,0.2200000000000001,472.8247685827653,0.2200000000000001,485.0456012338963,0.2200000000000001,504.0850432728728,0.2200000000000001,518.2396751665943,0.2200000000000001,529.1739441767,0.2200000000000001,537.8734276633596,0.2200000000000001,544.9591439185509,0.2200000000000001,550.8417226966535,0.2200000000000001,555.8034757106678
0.2300000000000001,232.8120793684301,0.2300000000000001,297.0159881874865,0.2300000000000001,374.6109968243618,0.2300000000000001,413.3478980173819,0.2300000000000001,437.9481620141217,0.2300000000000001,456.3500075585342,0.2300000000000001,471.0781603250333,0.2300000000000001,483.2322775581549,0.2300000000000001,502.1675605571797,0.2300000000000001,516.244923062165,0.2300000000000001,527.1198009831145,0.2300000000000001,535.7723243112083,0.2300000000000001,542.8200444139801,0.2300000000000001,548.6712886607827,0.2300000000000001,553.6067841989673
0.2400000000000001,232.0372005036943,0.2400000000000001,295.984296014154,0.2400000000000001,373.2310519500244,0.2400000000000001,411.7685476991584,0.2400000000000001,436.2323520647953,0.2400000000000001,454.5293817631233,0.2400000000000001,469.1731073332717,0.2400000000000001,481.2576301991915,0.2400000000000001,500.0852387056609,0.2400000000000001,514.0835829507373,0.2400000000000001,524.898282250717,0.2400000000000001,533.5035982983186,0.2400000000000001,540.5133843233112,0.2400000000000001,546.3335333048306,0.2400000000000001,551.2431101864013
0.2500000000000001,231.1845891957405,0.2500000000000001,294.8494196619583,0.2500000000000001,371.7161530670829,0.2500000000000001,410.0396508409262,0.2500000000000001,434.3593599335991,0.2500000000000001,452.5471128390847,0.2500000000000001,467.1037521706359,0.2500000000000001,479.1171681754248,0.2500000000000001,497.8361184168349,0.2500000000000001,511.7559175797194,0.2500000000000001,522.5115785123844,0.2500000000000001,531.071111328549,0.2500000000000001,538.0444792356857,0.2500000000000001,543.8350437890986,0.2500000000000001,548.72015951062
0.2600000000000001,230.2473521138371,0.2600000000000001,293.6028587101194,0.2600000000000001,370.0571951500514,0.2600000000000001,408.1535157577409,0.2600000000000001,432.3235088933494,0.2600000000000001,450.3996559131401,0.2600000000000001,464.8686393235223,0.2600000000000001,476.8114225073122,0.2600000000000001,495.4243224039531,0.2600000000000001,509.2691354373131,0.2600000000000001,519.9695382616579,0.2600000000000001,528.4869779885615,0.2600000000000001,535.4274007298238,0.2600000000000001,541.1915935493573,0.2600000000000001,546.0551960445471
