nch18_Cdd_Cgg (ll=3.5e-07) X,nch18_Cdd_Cgg (ll=3.5e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0.2800000000000001,0.2350336061296907,0.2800000000000001,0.2147077768215421,0.2800000000000001,0.1828357326319556,0.2800000000000001,0.1589869929168988,0.2800000000000001,0.1404775062338671,0.2800000000000001,0.1257045627018401,0.2800000000000001,0.1136501728027395,0.2800000000000001,0.1036355741651107,0.2800000000000001,0.08797756528871863,0.2800000000000001,0.07632242062330023,0.2800000000000001,0.06732839172482122,0.2800000000000001,0.06018931213699074,0.2800000000000001,0.05439234801635847,0.2800000000000001,0.04959623870512499,0.2800000000000001,0.04556542839357876
0.2900000000000001,0.2344357695935974,0.2900000000000001,0.2140395468787359,0.2900000000000001,0.1820218349726912,0.2900000000000001,0.1580461755564383,0.2900000000000001,0.1394365615944879,0.2900000000000001,0.1245892542399435,0.2900000000000001,0.1124825904715231,0.2900000000000001,0.1024337033364219,0.2900000000000001,0.08674663297187996,0.2900000000000001,0.07509685280660779,0.2900000000000001,0.06612778151759156,0.2900000000000001,0.05902419123292271,0.2900000000000001,0.05326781941849468,0.2900000000000001,0.04851418915357045,0.2900000000000001,0.04452586436644444
0.3000000000000001,0.2335376127938721,0.3000000000000001,0.21305750402751,0.3000000000000001,0.1808725642200296,0.3000000000000001,0.15675778572274,0.3000000000000001,0.1380442185925841,0.3000000000000001,0.1231250746633355,0.3000000000000001,0.1109730849462252,0.3000000000000001,0.1008997225238422,0.3000000000000001,0.08520751267867167,0.3000000000000001,0.07358846829805642,0.3000000000000001,0.06466859063486081,0.3000000000000001,0.05762259790388338,0.3000000000000001,0.0519265564534277,0.3000000000000001,0.04723285975856414,0.3000000000000001,0.0433024054784146
0.3100000000000001,0.2322779563121614,0.3100000000000001,0.2117002538907947,0.3100000000000001,0.1793290466619112,0.3100000000000001,0.1550683635492513,0.3100000000000001,0.1362539803654464,0.3100000000000001,0.1212730063433187,0.3100000000000001,0.1090899735427719,0.3100000000000001,0.0990087722634235,0.3100000000000001,0.08334689743210759,0.3100000000000001,0.07179270201348951,0.3100000000000001,0.06295264327664384,0.3100000000000001,0.05599094380142734,0.3100000000000001,0.05037822720109407,0.3100000000000001,0.04576420558829727,0.3100000000000001,0.04190859050351108
0.3200000000000001,0.2305936981436978,0.3200000000000001,0.2099060949820153,0.3200000000000001,0.177336010078277,0.3200000000000001,0.1529319648136733,0.3200000000000001,0.1340302104744316,0.3200000000000001,0.1190074718396461,0.3200000000000001,0.1068168400592167,0.3200000000000001,0.09675243568823505,0.3200000000000001,0.08116883651270251,0.3200000000000001,0.06972207102363769,0.3200000000000001,0.06099798667570085,0.3200000000000001,0.054150765624265,0.3200000000000001,0.04864647174274913,0.3200000000000001,0.04413303689869891,0.3200000000000001,0.04036977391713922
0.3300000000000001,0.2284247734257015,0.3300000000000001,0.2076186106135869,0.3300000000000001,0.1748483127789901,0.3300000000000001,0.1503170081103998,0.3300000000000001,0.1313547394834849,0.3300000000000001,0.1163223157883045,0.3300000000000001,0.1041576809239542,0.3300000000000001,0.0941429694637636,0.3300000000000001,0.07869720662516717,0.3300000000000001,0.06740719710466386,0.3300000000000001,0.05883881976591448,0.3300000000000001,0.05213786357549887,0.3300000000000001,0.04676748518057032,0.3300000000000001,0.04237522033552011,0.3300000000000001,0.03872107108395978
0.3400000000000001,0.2257205474802726,0.3400000000000001,0.2047935377526226,0.3400000000000001,0.1718381335457759,0.3400000000000001,0.1472129579335874,0.3400000000000001,0.1282324834751038,0.3400000000000001,0.113235101055019,0.3400000000000001,0.1011398410340816,0.3400000000000001,0.09121497095310332,0.3400000000000001,0.07597531994817304,0.3400000000000001,0.06489501159621015,0.3400000000000001,0.05652281470440043,0.3400000000000001,0.04999910368633697,0.3400000000000001,0.04478654252917259,0.3400000000000001,0.04053408256450956,0.3400000000000001,0.03700373965627617
0.3500000000000001,0.2224469348859062,0.3500000000000001,0.2014059918040627,0.3500000000000001,0.1683015171463474,0.3500000000000001,0.1436353393863161,0.3500000000000001,0.1246945821254778,0.3500000000000001,0.1097883975916852,0.3500000000000001,0.0978136786720044,0.3500000000000001,0.08802371535712029,0.3500000000000001,0.07306245782983273,0.3500000000000001,0.0622443549314324,0.3500000000000001,0.05410632863721717,0.3500000000000001,0.04778755761140097,0.3500000000000001,0.04275323880597623,0.3500000000000001,0.03865583841551441,0.3500000000000001,0.03526083515260046
0.3600000000000002,0.2185930687711147,0.3600000000000002,0.1974566874615919,0.3600000000000002,0.1642627319922187,0.3600000000000002,0.1396276542729795,0.3600000000000002,0.1207979540170675,0.3600000000000002,0.1060473839372716,0.3600000000000002,0.09424870440406025,0.3600000000000002,0.08464028426988321,0.3600000000000002,0.0700279968684496,0.3600000000000002,0.05951993270590773,0.3600000000000002,0.05164859230292311,0.3600000000000002,0.04555709051284827,0.3600000000000002,0.04071652452228477,0.3600000000000002,0.03678506659925188,0.3600000000000002,0.03353309564670118
0.3700000000000002,0.2141761077332667,0.3700000000000002,0.1929756837846919,0.3700000000000002,0.1597751494008943,0.3700000000000002,0.13525938650332,0.3700000000000002,0.1166210360308693,0.3700000000000002,0.1020940618398735,0.3700000000000002,0.09052691613588737,0.3700000000000002,0.08114450547240933,0.3700000000000002,0.06694443717615038,0.3700000000000002,0.05678597099742175,0.3700000000000002,0.04920613040106132,0.3700000000000002,0.04335751983352591,0.3700000000000002,0.03872051994225526,0.3700000000000002,0.03496108564370978,0.3700000000000002,0.03185579194196756
0.3800000000000002,0.2092429438405377,0.3800000000000002,0.1880225495641643,0.3800000000000002,0.1549181102051746,0.3800000000000002,0.1306202739160754,0.3800000000000002,0.1122564973788762,0.3800000000000002,0.09801929709287514,0.3800000000000002,0.08673477861369981,0.3800000000000002,0.07761724167305796,0.3800000000000002,0.06388078936404791,0.3800000000000002,0.05410080314794262,0.3800000000000002,0.04682840318363959,0.3800000000000002,0.0412311185006991,0.3800000000000002,0.0368017033489562,0.3800000000000002,0.03321568264585649,0.3800000000000002,0.03025688319025952
0.3900000000000002,0.2038681858966321,0.3900000000000002,0.1826826356006942,0.3900000000000002,0.1497902519071152,0.3900000000000002,0.1258119907802863,0.3900000000000002,0.1078024669972258,0.3900000000000002,0.09391436306748795,0.3900000000000002,0.08295548493635617,0.3900000000000002,0.07413352697672788,0.3900000000000002,0.06089744095602791,0.3900000000000002,0.0515131521832473,0.3900000000000002,0.04455515399281135,0.3900000000000002,0.03921074263466709,0.3900000000000002,0.03498760758993187,0.3900000000000002,0.03157222639326891,0.3900000000000002,0.02875643750029669
0.4000000000000002,0.1981486485492678,0.4000000000000002,0.1770600765299208,0.4000000000000002,0.1445006284914252,0.4000000000000002,0.120938940477597,0.4000000000000002,0.1033540067048582,0.4000000000000002,0.08986354596083557,0.4000000000000002,0.07926279596062447,0.4000000000000002,0.07075756739080259,0.4000000000000002,0.05804303638186542,0.4000000000000002,0.0490603082319418,0.4000000000000002,0.04241544939734794,0.4000000000000002,0.03731944099143101,0.4000000000000002,0.03329680602046269,0.4000000000000002,0.03004590323865897,0.4000000000000002,0.02736703392711107
0.4100000000000002,0.1921953643124652,0.4100000000000002,0.1712688702078265,0.4100000000000002,0.1391593458815881,0.4100000000000002,0.1160998363957702,0.4100000000000002,0.09899621512863323,0.4100000000000002,0.08593882651393973,0.4100000000000002,0.07571712146005791,0.4100000000000002,0.06753997584040719,0.4100000000000002,0.0553533401927804,0.4100000000000002,0.04676795755863955,0.4100000000000002,0.04042806727477505,0.4100000000000002,0.03557116138519963,0.4100000000000002,0.03173979518202697,0.4100000000000002,0.02864469150625563,0.4100000000000002,0.02609477787687673
0.4200000000000002,0.1861245796132083,0.4200000000000002,0.1654236572360174,0.4200000000000002,0.1338692843757637,0.4200000000000002,0.1113812655370307,0.4200000000000002,0.09479970072774657,0.4200000000000002,0.08219697611643348,0.4200000000000002,0.07236387693496149,0.4200000000000002,0.06451706356110175,0.4200000000000002,0.05285168137094248,0.4200000000000002,0.04465119074192094,0.4200000000000002,0.03860275949624532,0.4200000000000002,0.03397210803377961,0.4200000000000002,0.03032036473063106,0.4200000000000002,0.02737070255587826,0.4200000000000002,0.02494059334001693
0.4300000000000002,0.1800491995319413,0.4300000000000002,0.1596316284287645,0.4300000000000002,0.1287199481567158,0.4300000000000002,0.1068537565796383,0.4300000000000002,0.09081850773734777,0.4300000000000002,0.07867884872353464,0.4300000000000002,0.06923371434414254,0.4300000000000002,0.06171168893172407,0.4300000000000002,0.05055043221981229,0.4300000000000002,0.04271618125923149,0.4300000000000002,0.03694194122312959,0.4300000000000002,0.03252236275786025,0.4300000000000002,0.02903712152234861,0.4300000000000002,0.0262216011121196,0.4300000000000002,0.02390154261259261
0.4400000000000002,0.174071796850802,0.4400000000000002,0.1539864881183735,0.4400000000000002,0.1237838342182516,0.4400000000000002,0.1025702715562864,0.4400000000000002,0.08709011182347962,0.4400000000000002,0.07541033146963443,0.4400000000000002,0.0663440339483832,0.4400000000000002,0.05913507183637298,0.4400000000000002,0.04845300310139068,0.4400000000000002,0.04096210902791303,0.4400000000000002,0.0354424639077936,0.4400000000000002,0.03121749349369315,0.4400000000000002,0.02788494313713485,0.4400000000000002,0.02519192039196953,0.4400000000000002,0.02297202045053478
0.4500000000000002,0.168279786352601,0.4500000000000002,0.1485648209445652,0.4500000000000002,0.1191151678728583,0.4500000000000002,0.09856665099587397,0.4500000000000002,0.08363688035013325,0.4500000000000002,0.07240432832030598,0.4500000000000002,0.0637011885871669,0.4500000000000002,0.05678904503536314,0.4500000000000002,0.04655595219743249,0.4500000000000002,0.03938303256890451,0.4500000000000002,0.03409725271167697,0.4500000000000002,0.03004998627370845,0.4500000000000002,0.02685623696077643,0.4500000000000002,0.02427417728695648,0.4500000000000002,0.02214474946412879
0.4600000000000002,0.162742866522464,0.4600000000000002,0.1434247259032174,0.4600000000000002,0.1147505158243374,0.4600000000000002,0.09486338590943524,0.4600000000000002,0.0804683735480802,0.4600000000000002,0.06966321889933806,0.4600000000000002,0.06130290651476568,0.4600000000000002,0.0546683502850638,0.4600000000000002,0.04485094978478004,0.4600000000000002,0.03796953859379915,0.4600000000000002,0.03289669579990465,0.4600000000000002,0.02901042683699549,0.4600000000000002,0.02594195692762186,0.4600000000000002,0.02345975741051861,0.4600000000000002,0.0214115588664108
0.4700000000000003,0.1575124617258895,0.4700000000000003,0.1386062777726628,0.4700000000000003,0.1107106632020311,0.4700000000000003,0.0914681102666558,0.4700000000000003,0.07758396666793864,0.4700000000000003,0.06718137562710592,0.4700000000000003,0.05914060972955279,0.4700000000000003,0.0527627334175584,0.4700000000000003,0.04332645934275346,0.4700000000000003,0.03671009535157698,0.4700000000000003,0.0318297497175281,0.4700000000000003,0.02808841881072332,0.4700000000000003,0.02513237873516767,0.4700000000000003,0.02273957937845999,0.4700000000000003,0.02076396123848234
0.4800000000000003,0.1526226950656192,0.4800000000000003,0.1341332546114045,0.4800000000000003,0.1070031719700898,0.4800000000000003,0.08837832623117794,0.4800000000000003,0.07497542392096183,0.4800000000000003,0.06494747423051184,0.4800000000000003,0.05720144418521142,0.4800000000000003,0.05105871511109071,0.4800000000000003,0.0419690876339625,0.4800000000000003,0.03559210093039473,0.4800000000000003,0.03088477228405206,0.4800000000000003,0.0272732603277813,0.4800000000000003,0.02441766058784221,0.4800000000000003,0.02210456771447272,0.4800000000000003,0.02019355745474887
