pch18_Vdsat (ll=3.5e-07) X,pch18_Vdsat (ll=3.5e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0.2,-0.04754185735463828,0.2,-0.04651398070157376,0.2,-0.04497052651852288,0.2,-0.0438706063221008,0.2,-0.04304856238810906,0.2,-0.04241143572846884,0.2,-0.04190336292642906,0.2,-0.0414888449164602,0.2,-0.04085335506020771,0.2,-0.04038915539411261,0.2,-0.04003527502089643,0.2,-0.03975658838222065,0.2,-0.03953144225314466,0.2,-0.03934576527021661,0.2,-0.03919001799444033
0.21,-0.04755279132694443,0.21,-0.04652594352287689,0.21,-0.04498444428112112,0.21,-0.04388621034533426,0.21,-0.043065583562444,0.21,-0.04242964729052936,0.21,-0.04192258192094332,0.21,-0.04150892478027445,0.21,-0.04087482444486549,0.21,-0.04041169449049246,0.21,-0.04005866111419321,0.21,-0.03978066060270662,0.21,-0.03955608081822472,0.21,-0.03937087870533118,0.21,-0.03921553493883698
0.2200000000000001,-0.04756708108071828,0.2200000000000001,-0.04654159202139935,0.2200000000000001,-0.04500266720726282,0.2200000000000001,-0.04390664981306194,0.2200000000000001,-0.04308788390185894,0.2200000000000001,-0.04245350960961876,0.2200000000000001,-0.0419477654172993,0.2200000000000001,-0.04153523673327118,0.2200000000000001,-0.04090295685174038,0.2200000000000001,-0.04044122754678459,0.2200000000000001,-0.04008930270670986,0.2200000000000001,-0.03981219986877177,0.2200000000000001,-0.03958836083119363,0.2200000000000001,-0.03940377967512056,0.2200000000000001,-0.0392489634479822
0.2300000000000001,-0.04758573283819032,0.2300000000000001,-0.04656203429947638,0.2300000000000001,-0.04502649199212148,0.2300000000000001,-0.04393338104748313,0.2300000000000001,-0.04311705229238558,0.2300000000000001,-0.04248472194855927,0.2300000000000001,-0.04198070543861374,0.2300000000000001,-0.04156965160415982,0.2300000000000001,-0.04093974943031714,0.2300000000000001,-0.04047984822836749,0.2300000000000001,-0.04012936943792522,0.2300000000000001,-0.03985343707689659,0.2300000000000001,-0.03963056355924995,0.2300000000000001,-0.03944679154891697,0.2300000000000001,-0.03929266257204769
0.2400000000000001,-0.04761004281094774,0.2400000000000001,-0.04658869793877456,0.2400000000000001,-0.04505758825300077,0.2400000000000001,-0.04396827763595734,0.2400000000000001,-0.04315513116217622,0.2400000000000001,-0.04252546695457395,0.2400000000000001,-0.04202370222041035,0.2400000000000001,-0.04161456934719168,0.2400000000000001,-0.04098776163273412,0.2400000000000001,-0.04053023756405519,0.2400000000000001,-0.04018163786086793,0.2400000000000001,-0.03990722568606801,0.2400000000000001,-0.03968560562332082,0.2400000000000001,-0.03950288368794921,0.2400000000000001,-0.03934964633067119
0.2500000000000001,-0.04764167484943545,0.2500000000000001,-0.0466234151582423,0.2500000000000001,-0.04509809674676966,0.2500000000000001,-0.04401373901136465,0.2500000000000001,-0.04320473323209435,0.2500000000000001,-0.04257853392233612,0.2500000000000001,-0.04207969274596972,0.2500000000000001,-0.04167305191356886,0.2500000000000001,-0.04105025476232704,0.2500000000000001,-0.04059580836973226,0.2500000000000001,-0.04024963956521178,0.2500000000000001,-0.03997719273498847,0.2500000000000001,-0.03975719233563171,0.2500000000000001,-0.03957582668120961,0.2500000000000001,-0.03942374052813361
0.2600000000000001,-0.04768275585770102,0.2600000000000001,-0.04666852710262667,0.2600000000000001,-0.04515074879589077,0.2600000000000001,-0.04407282161557675,0.2600000000000001,-0.04326918174625242,0.2600000000000001,-0.04264746612157169,0.2600000000000001,-0.04215240372646704,0.2600000000000001,-0.04174898081241429,0.2600000000000001,-0.04113135645635421,0.2600000000000001,-0.04068087467219116,0.2600000000000001,-0.04033783427975919,0.2600000000000001,-0.04006791477572527,0.2600000000000001,-0.03984999587135221,0.2600000000000001,-0.03967037232529081,0.2600000000000001,-0.03951976422115624
0.2700000000000001,-0.04773599147061739,0.2700000000000001,-0.04672700970227261,0.2700000000000001,-0.04521900906474442,0.2700000000000001,-0.0441493943662542,0.2700000000000001,-0.04335267544753311,0.2700000000000001,-0.04273673300757056,0.2700000000000001,-0.04224652942390037,0.2700000000000001,-0.04184723937117517,0.2700000000000001,-0.04123624943410904,0.2700000000000001,-0.0407908449011373,0.2700000000000001,-0.04045180625308194,0.2700000000000001,-0.04018511662821354,0.2700000000000001,-0.0399698558437624,0.2700000000000001,-0.03979245563083468,0.2700000000000001,-0.03964373287383679
0.2800000000000001,-0.04780480397671881,0.2800000000000001,-0.04680262281734065,0.2800000000000001,-0.04530724264623142,0.2800000000000001,-0.04424831853331353,0.2800000000000001,-0.04346047756402738,0.2800000000000001,-0.04285192579819445,0.2800000000000001,-0.04236793208920918,0.2800000000000001,-0.04197391682783531,0.2800000000000001,-0.0413713805529039,0.2800000000000001,-0.04093243400999729,0.2800000000000001,-0.04059847835112126,0.2800000000000001,-0.04033588679571607,0.2800000000000001,-0.04012399562052575,0.2800000000000001,-0.03994941176585647,0.2800000000000001,-0.0398030757431231
0.2900000000000001,-0.04789349335197823,0.2900000000000001,-0.04690008293092671,0.2900000000000001,-0.0454209053002174,0.2900000000000001,-0.04437564940420122,0.2900000000000001,-0.04359912482055825,0.2900000000000001,-0.04299997120485588,0.2900000000000001,-0.0425238587162764,0.2900000000000001,-0.04213652699630091,0.2900000000000001,-0.0415446813149036,0.2900000000000001,-0.04111388440357405,0.2900000000000001,-0.04078633273139711,0.2900000000000001,-0.04052889756704907,0.2900000000000001,-0.04032124171337919,0.2900000000000001,-0.04015019468405384,0.2900000000000001,-0.04000685374463669
0.3000000000000001,-0.04800742028853515,0.3000000000000001,-0.04702525719922124,0.3000000000000001,-0.04556675231212623,0.3000000000000001,-0.04453885295191507,0.3000000000000001,-0.04377664767054502,0.3000000000000001,-0.04318935275197578,0.3000000000000001,-0.04272316202198203,0.3000000000000001,-0.0423442280948361,0.3000000000000001,-0.04176578426256557,0.3000000000000001,-0.0413451784466451,0.3000000000000001,-0.04102561955221494,0.3000000000000001,-0.04077461020215408,0.3000000000000001,-0.04057222576546082,0.3000000000000001,-0.04040557623433666,0.3000000000000001,-0.04026595597946855
0.3100000000000001,-0.04815320697193531,0.3100000000000001,-0.04718537290513149,0.3100000000000001,-0.0457530565263561,0.3100000000000001,-0.04474702487531643,0.3100000000000001,-0.04400278637595476,0.3100000000000001,-0.04343032199448062,0.3100000000000001,-0.04297650600570777,0.3100000000000001,-0.04260802243288035,0.3100000000000001,-0.0420462113256405,0.3100000000000001,-0.04163821664028316,0.3100000000000001,-0.04132852627781665,0.3100000000000001,-0.04108543655415488,0.3100000000000001,-0.04088953951335854,0.3100000000000001,-0.0407282953256002,0.3100000000000001,-0.0405932438250737
0.3200000000000001,-0.048338946825789,0.3200000000000001,-0.0473892310632632,0.3200000000000001,-0.04598981952028248,0.3200000000000001,-0.04501109185492896,0.3200000000000001,-0.04428917938737954,0.3200000000000001,-0.04373507332613901,0.3200000000000001,-0.04329652752949059,0.3200000000000001,-0.04294090554482102,0.3200000000000001,-0.04239950087662493,0.3200000000000001,-0.04200692619101899,0.3200000000000001,-0.04170927079441554,0.3200000000000001,-0.04147581918701676,0.3200000000000001,-0.04128780387568077,0.3200000000000001,-0.04113311757122273,0.3200000000000001,-0.0410036024210724
0.3300000000000001,-0.04857440838565978,0.3300000000000001,-0.04764740605822752,0.3300000000000001,-0.04628895182510924,0.3300000000000001,-0.0453439661258082,0.3300000000000001,-0.0446494914121434,0.3300000000000001,-0.04411784691399674,0.3300000000000001,-0.04369791624905893,0.3300000000000001,-0.04335792537843348,0.3300000000000001,-0.04284123165210226,0.3300000000000001,-0.0424672565315734,0.3300000000000001,-0.04218407381217629,0.3300000000000001,-0.04196218470496105,0.3300000000000001,-0.04178360633898279,0.3300000000000001,-0.04163675918329398,0.3300000000000001,-0.0415138530198997
0.3400000000000001,-0.04887121106749315,0.3400000000000001,-0.04797240513345281,0.3400000000000001,-0.04666438936153028,0.3400000000000001,-0.04576061572066749,0.3400000000000001,-0.0450994401849597,0.3400000000000001,-0.04459491649141327,0.3400000000000001,-0.04419736807840302,0.3400000000000001,-0.04387610567597169,0.3400000000000001,-0.04338889653570759,0.3400000000000001,-0.0430370143631125,0.3400000000000001,-0.04277096306099146,0.3400000000000001,-0.04256272292666587,0.3400000000000001,-0.04239525949315064,0.3400000000000001,-0.04225762823226762,0.3400000000000001,-0.04214247959840033
0.3500000000000001,-0.04924294256159922,0.3500000000000001,-0.04837875329375676,0.3500000000000001,-0.047132105477081,0.3500000000000001,-0.04627800616358414,0.3500000000000001,-0.04565667589405301,0.3500000000000001,-0.04518441525616672,0.3500000000000001,-0.04481336540992985,0.3500000000000001,-0.0445141871519637,0.3500000000000001,-0.04406158117305151,0.3500000000000001,-0.04373549483939634,0.3500000000000001,-0.04348936755452544,0.3500000000000001,-0.04329695173206064,0.3500000000000001,-0.04314234196423387,0.3500000000000001,-0.04301534580296911,0.3500000000000001,-0.04290913341552394
0.3600000000000002,-0.04970518035476022,0.3600000000000002,-0.0488829626082763,0.3600000000000002,-0.04770997376799978,0.3600000000000002,-0.04691486817096932,0.3600000000000002,-0.04634046900638317,0.3600000000000002,-0.04590595771708479,0.3600000000000002,-0.04556574443158765,0.3600000000000002,-0.04529214942560415,0.3600000000000002,-0.04487941544847585,0.3600000000000002,-0.04458288146490708,0.3600000000000002,-0.04435947843834265,0.3600000000000002,-0.04418504749428674,0.3600000000000002,-0.04404500458522382,0.3600000000000002,-0.04393003242267743,0.3600000000000002,-0.043833903099655
