nch18_ft (ll=3.5e-07) X,nch18_ft (ll=3.5e-07) Y,nch18_ft (ll=4e-07) X,nch18_ft (ll=4e-07) Y,nch18_ft (ll=5e-07) X,nch18_ft (ll=5e-07) Y,nch18_ft (ll=6e-07) X,nch18_ft (ll=6e-07) Y,nch18_ft (ll=7e-07) X,nch18_ft (ll=7e-07) Y,nch18_ft (ll=8e-07) X,nch18_ft (ll=8e-07) Y,nch18_ft (ll=9e-07) X,nch18_ft (ll=9e-07) Y,nch18_ft (ll=1e-06) X,nch18_ft (ll=1e-06) Y,nch18_ft (ll=1.2e-06) X,nch18_ft (ll=1.2e-06) Y,nch18_ft (ll=1.4e-06) X,nch18_ft (ll=1.4e-06) Y,nch18_ft (ll=1.6e-06) X,nch18_ft (ll=1.6e-06) Y,nch18_ft (ll=1.8e-06) X,nch18_ft (ll=1.8e-06) Y,nch18_ft (ll=2e-06) X,nch18_ft (ll=2e-06) Y,nch18_ft (ll=2.2e-06) X,nch18_ft (ll=2.2e-06) Y,nch18_ft (ll=2.4e-06) X,nch18_ft (ll=2.4e-06) Y
0.2400000000000001,-18381416.46101634,0.2400000000000001,-16216897.04647086,0.2400000000000001,-13883653.98325774,0.2400000000000001,-12547854.23233977,0.2400000000000001,-11581248.11128161,0.2400000000000001,-10783919.3336158,0.2400000000000001,-10079981.57795701,0.2400000000000001,-9437900.698501196,0.2400000000000001,-8291246.773761305,0.2400000000000001,-7297737.290703901,0.2400000000000001,-6439051.351612075,0.2400000000000001,-5699890.983301769,0.2400000000000001,-5064908.830553329,0.2400000000000001,-4519338.668880996,0.2400000000000001,-4049741.313614408
0.2500000000000001,-24332172.51287349,0.2500000000000001,-21453868.03274678,0.2500000000000001,-18313456.32586348,0.2500000000000001,-16478568.60768951,0.2500000000000001,-15128309.55483118,0.2500000000000001,-14004223.16679978,0.2500000000000001,-13009666.25477613,0.2500000000000001,-12105012.92968921,0.2500000000000001,-10504447.91659505,0.2500000000000001,-9139924.312842602,0.2500000000000001,-7980425.85508324,0.2500000000000001,-6998263.214957256,0.2500000000000001,-6166826.465352195,0.2500000000000001,-5461815.115496248,0.2500000000000001,-4862065.137373077
0.2600000000000001,-32104512.23387687,0.2600000000000001,-28275100.93030679,0.2600000000000001,-24036499.39730904,0.2600000000000001,-21504023.38117732,0.2600000000000001,-19610060.98268873,0.2600000000000001,-18022639.74954238,0.2600000000000001,-16619390.37806638,0.2600000000000001,-15350333.12345715,0.2600000000000001,-13134403.80163725,0.2600000000000001,-11283159.11356482,0.2600000000000001,-9741007.899636596,0.2600000000000001,-8458102.881834742,0.2600000000000001,-7389285.915342334,0.2600000000000001,-6495566.001208717,0.2600000000000001,-5744495.900624895
0.2700000000000001,-42190004.45638028,0.2700000000000001,-37092552.94029395,0.2700000000000001,-31356310.44430348,0.2700000000000001,-27848309.11830885,0.2700000000000001,-25187638.84655343,0.2700000000000001,-22950485.51631464,0.2700000000000001,-20981989.63913003,0.2700000000000001,-19217841.53895951,0.2700000000000001,-16189306.23116833,0.2700000000000001,-13718979.19842414,0.2700000000000001,-11706057.50728583,0.2700000000000001,-10063528.83844233,0.2700000000000001,-8717556.264490737,0.2700000000000001,-7607857.369589154,0.2700000000000001,-6686454.116696103
0.2800000000000001,-55173731.4277947,0.2800000000000001,-48385994.85533684,0.2800000000000001,-40606727.55645747,0.2800000000000001,-35740033.2396104,0.2800000000000001,-32010220.1449472,0.2800000000000001,-28878211.53066473,0.2800000000000001,-26146128.87970107,0.2800000000000001,-23727740.26230232,0.2800000000000001,-19659630.02187419,0.2800000000000001,-16428633.61447803,0.2800000000000001,-13856553.04733023,0.2800000000000001,-11798497.95222028,0.2800000000000001,-10139297.77033947,0.2800000000000001,-8789788.181312503,0.2800000000000001,-7681905.895661291
0.2900000000000001,-71730940.63678639,0.2900000000000001,-62693552.27512729,0.2900000000000001,-52135143.05964699,0.2900000000000001,-45394226.63831902,0.2900000000000001,-40199875.02316522,0.2900000000000001,-35865341.51345331,0.2900000000000001,-32131692.78425196,0.2900000000000001,-28876589.49061938,0.2900000000000001,-23524258.41564658,0.2900000000000001,-19391173.77039539,0.2900000000000001,-16176993.47841594,0.2900000000000001,-13653420.14124133,0.2900000000000001,-11649811.01567665,0.2900000000000001,-10040299.13934578,0.2900000000000001,-8732349.842612127
0.3000000000000001,-92612331.03232415,0.3000000000000001,-80591809.89764552,0.3000000000000001,-66279219.39377578,0.3000000000000001,-56993173.33041555,0.3000000000000001,-49840286.30328265,0.3000000000000001,-43937459.20504979,0.3000000000000001,-38933450.62700442,0.3000000000000001,-34645424.835913,0.3000000000000001,-27761821.27485269,0.3000000000000001,-22593738.1574453,0.3000000000000001,-18663315.82496802,0.3000000000000001,-15630755.15318258,0.3000000000000001,-13255779.73014756,0.3000000000000001,-11368558.61185269,0.3000000000000001,-9848253.189057829
0.3100000000000001,-118616322.8352261,0.3100000000000001,-102665979.3660734,0.3100000000000001,-83341497.0385322,0.3100000000000001,-70672519.6223662,0.3100000000000001,-60975186.48626595,0.3100000000000001,-53094005.90133326,0.3100000000000001,-46534247.60888629,0.3100000000000001,-41014982.56540535,0.3100000000000001,-32364220.45201264,0.3100000000000001,-26040970.59754921,0.3100000000000001,-21328656.64066491,0.3100000000000001,-17748183.02450138,0.3100000000000001,-14976777.28044103,0.3100000000000001,-12794457.81732513,0.3100000000000001,-11048957.90236229
0.3200000000000001,-150550295.9513576,0.3200000000000001,-129474798.3932,0.3200000000000001,-103569791.8390906,0.3200000000000001,-86519898.56171484,0.3200000000000001,-73620460.36385122,0.3200000000000001,-63327105.02608346,0.3200000000000001,-54925170.53086487,0.3200000000000001,-47984044.58542402,0.3200000000000001,-37348373.78659807,0.3200000000000001,-29761070.73292482,0.3200000000000001,-24205814.64652567,0.3200000000000001,-20039089.74949896,0.3200000000000001,-16844759.08199965,0.3200000000000001,-14347657.83224559,0.3200000000000001,-12361571.8808091
0.3300000000000001,-189188067.0685176,0.3300000000000001,-161519534.0933033,0.3300000000000001,-127152639.9499155,0.3300000000000001,-104590686.4940522,0.3300000000000001,-87789136.1570027,0.3300000000000001,-74647073.12176837,0.3300000000000001,-64127062.70272756,0.3300000000000001,-55585599.25888799,0.3300000000000001,-42763248.80903718,0.3300000000000001,-33807613.96512347,0.3300000000000001,-27346658.48870524,0.3300000000000001,-22551047.1596971,0.3300000000000001,-18902308.16362254,0.3300000000000001,-16065895.42903144,0.3300000000000001,-13819443.03915173
