pch18_Id_W (ll=3.5e-07) X,pch18_Id_W (ll=3.5e-07) Y,pch18_Id_W (ll=4e-07) X,pch18_Id_W (ll=4e-07) Y,pch18_Id_W (ll=5e-07) X,pch18_Id_W (ll=5e-07) Y,pch18_Id_W (ll=6e-07) X,pch18_Id_W (ll=6e-07) Y,pch18_Id_W (ll=7e-07) X,pch18_Id_W (ll=7e-07) Y,pch18_Id_W (ll=8e-07) X,pch18_Id_W (ll=8e-07) Y,pch18_Id_W (ll=9e-07) X,pch18_Id_W (ll=9e-07) Y,pch18_Id_W (ll=1e-06) X,pch18_Id_W (ll=1e-06) Y,pch18_Id_W (ll=1.2e-06) X,pch18_Id_W (ll=1.2e-06) Y,pch18_Id_W (ll=1.4e-06) X,pch18_Id_W (ll=1.4e-06) Y,pch18_Id_W (ll=1.6e-06) X,pch18_Id_W (ll=1.6e-06) Y,pch18_Id_W (ll=1.8e-06) X,pch18_Id_W (ll=1.8e-06) Y,pch18_Id_W (ll=2e-06) X,pch18_Id_W (ll=2e-06) Y,pch18_Id_W (ll=2.2e-06) X,pch18_Id_W (ll=2.2e-06) Y,pch18_Id_W (ll=2.4e-06) X,pch18_Id_W (ll=2.4e-06) Y
0.2700000000000001,-0.001680827467083345,0.2700000000000001,-0.001527075971667969,0.2700000000000001,-0.001337946957407224,0.2700000000000001,-0.001205476439038508,0.2700000000000001,-0.001098567217072298,0.2700000000000001,-0.001008583436028465,0.2700000000000001,-0.0009315644167857226,0.2700000000000001,-0.0008649581552097405,0.2700000000000001,-0.000755839208978728,0.2700000000000001,-0.0006705009705753004,0.2700000000000001,-0.0006021184132899165,0.2700000000000001,-0.0005461861365268228,0.2700000000000001,-0.0004996356705230852,0.2700000000000001,-0.0004603160755458513,0.2700000000000001,-0.0004266798747200626
0.2800000000000001,-0.002188264615692018,0.2800000000000001,-0.001989614856507997,0.2800000000000001,-0.00174441149396202,0.2800000000000001,-0.001572060687348227,0.2800000000000001,-0.001432723495333473,0.2800000000000001,-0.001315351379656168,0.2800000000000001,-0.001214853343059045,0.2800000000000001,-0.001127928779225996,0.2800000000000001,-0.0009855163344392186,0.2800000000000001,-0.0008741477394565663,0.2800000000000001,-0.0007849176186466384,0.2800000000000001,-0.0007119431488394616,0.2800000000000001,-0.0006512168548684702,0.2800000000000001,-0.0005999294977936664,0.2800000000000001,-0.0005560601134752097
0.2900000000000001,-0.002844245712490828,0.2900000000000001,-0.002587841362280963,0.2900000000000001,-0.002270201892771482,0.2900000000000001,-0.002046168562711251,0.2900000000000001,-0.001864768283610534,0.2900000000000001,-0.001711869477479078,0.2900000000000001,-0.001580924238812619,0.2900000000000001,-0.001467660894195927,0.2900000000000001,-0.001282113419883553,0.2900000000000001,-0.001137042691732252,0.2900000000000001,-0.001020836124789529,0.2900000000000001,-0.0009258198306693681,0.2900000000000001,-0.0008467663356292929,0.2900000000000001,-0.0007800117388492294,0.2900000000000001,-0.0007229207521291833
0.3000000000000001,-0.003690145380338651,0.3000000000000001,-0.003359561352843387,0.3000000000000001,-0.002948471896764104,0.3000000000000001,-0.002657559448969022,0.3000000000000001,-0.002421694972129815,0.3000000000000001,-0.002222806986244726,0.3000000000000001,-0.002052467415062472,0.3000000000000001,-0.001905143716087671,0.3000000000000001,-0.001663856639853988,0.3000000000000001,-0.001475273345553026,0.3000000000000001,-0.001324262404624555,0.3000000000000001,-0.001200824851406282,0.3000000000000001,-0.001098151274300617,0.3000000000000001,-0.001011470637875228,0.3000000000000001,-0.0009373525155795581
0.3100000000000001,-0.004777934571492949,0.3100000000000001,-0.004352239523548848,0.3100000000000001,-0.003820772806295798,0.3100000000000001,-0.003443463753329719,0.3100000000000001,-0.00313722100514745,0.3100000000000001,-0.002878937830756252,0.3100000000000001,-0.002657756824887304,0.3100000000000001,-0.002466506912903735,0.3100000000000001,-0.002153401799363706,0.3100000000000001,-0.001908814144579083,0.3100000000000001,-0.001713045250209121,0.3100000000000001,-0.001553083659542579,0.3100000000000001,-0.001420073348398851,0.3100000000000001,-0.001307812686932239,0.3100000000000001,-0.001211844847950095
0.3200000000000001,-0.006172506975267081,0.3200000000000001,-0.005625104995674469,0.3200000000000001,-0.004938848005524059,0.3200000000000001,-0.004450148671592577,0.3200000000000001,-0.004053173552231407,0.3200000000000001,-0.00371838075865579,0.3200000000000001,-0.003431770618188936,0.3200000000000001,-0.003184041448919842,0.3200000000000001,-0.00277869910495213,0.3200000000000001,-0.002462275240107041,0.3200000000000001,-0.002209153304470074,0.3200000000000001,-0.002002427379349074,0.3200000000000001,-0.001830600443375852,0.3200000000000001,-0.001685627500820356,0.3200000000000001,-0.001561730769456791
0.3300000000000001,-0.007954364643728668,0.3300000000000001,-0.007251575419307084,0.3300000000000001,-0.006366682958821355,0.3300000000000001,-0.005734693015319875,0.3300000000000001,-0.005221049368398688,0.3300000000000001,-0.004787986982414778,0.3300000000000001,-0.004417438350293392,0.3300000000000001,-0.004097330538824382,0.3300000000000001,-0.003573943769524286,0.3300000000000001,-0.003165720451418062,0.3300000000000001,-0.002839391832039407,0.3300000000000001,-0.002573030079732453,0.3300000000000001,-0.002351739936957002,0.3300000000000001,-0.002165108568161665,0.3300000000000001,-0.002005663767618791
0.3400000000000001,-0.01022266061974996,0.3400000000000001,-0.009321993810310708,0.3400000000000001,-0.008182796429348011,0.3400000000000001,-0.0073669503946611,0.3400000000000001,-0.006703723917193479,0.3400000000000001,-0.006144847802387539,0.3400000000000001,-0.005666985871670938,0.3400000000000001,-0.005254461016626026,0.3400000000000001,-0.00458058263235076,0.3400000000000001,-0.004055525370358103,0.3400000000000001,-0.003636148858163222,0.3400000000000001,-0.003294067835960146,0.3400000000000001,-0.003010028297995681,0.3400000000000001,-0.002770586260905609,0.3400000000000001,-0.002566103884204577
0.3500000000000001,-0.01309856871765719,0.3500000000000001,-0.01194664497732009,0.3500000000000001,-0.01048273041775435,0.3500000000000001,-0.009431651268873735,0.3500000000000001,-0.008577256180848395,0.3500000000000001,-0.007857866653527348,0.3500000000000001,-0.007243321746114072,0.3500000000000001,-0.006713259252981971,0.3500000000000001,-0.005848322927584727,0.3500000000000001,-0.005175224552232405,0.3500000000000001,-0.004638122602641812,0.3500000000000001,-0.004200354408689487,0.3500000000000001,-0.003837094531810084,0.3500000000000001,-0.003531033120692805,0.3500000000000001,-0.003269775282226422
0.3600000000000002,-0.0167289100821162,0.3600000000000002,-0.01525897763915201,0.3600000000000002,-0.01338165427506874,0.3600000000000002,-0.01203055219248399,0.3600000000000002,-0.0109326943645019,0.3600000000000002,-0.01000930041224014,0.3600000000000002,-0.009221371346337293,0.3600000000000002,-0.008542460050289856,0.3600000000000002,-0.007436057467587446,0.3600000000000002,-0.00657626825346579,0.3600000000000002,-0.005890956541827654,0.3600000000000002,-0.005332885213461387,0.3600000000000002,-0.004870133922162061,0.3600000000000002,-0.004480482121925547,0.3600000000000002,-0.004148039771816138
