nch18_Cgd_Cgg (ll=4e-07) X,nch18_Cgd_Cgg (ll=4e-07) Y,nch18_Cgd_Cgg (ll=5e-07) X,nch18_Cgd_Cgg (ll=5e-07) Y,nch18_Cgd_Cgg (ll=6e-07) X,nch18_Cgd_Cgg (ll=6e-07) Y,nch18_Cgd_Cgg (ll=7e-07) X,nch18_Cgd_Cgg (ll=7e-07) Y,nch18_Cgd_Cgg (ll=8e-07) X,nch18_Cgd_Cgg (ll=8e-07) Y,nch18_Cgd_Cgg (ll=9e-07) X,nch18_Cgd_Cgg (ll=9e-07) Y,nch18_Cgd_Cgg (ll=1e-06) X,nch18_Cgd_Cgg (ll=1e-06) Y,nch18_Cgd_Cgg (ll=1.2e-06) X,nch18_Cgd_Cgg (ll=1.2e-06) Y,nch18_Cgd_Cgg (ll=1.4e-06) X,nch18_Cgd_Cgg (ll=1.4e-06) Y,nch18_Cgd_Cgg (ll=1.6e-06) X,nch18_Cgd_Cgg (ll=1.6e-06) Y,nch18_Cgd_Cgg (ll=1.8e-06) X,nch18_Cgd_Cgg (ll=1.8e-06) Y,nch18_Cgd_Cgg (ll=2e-06) X,nch18_Cgd_Cgg (ll=2e-06) Y,nch18_Cgd_Cgg (ll=2.2e-06) X,nch18_Cgd_Cgg (ll=2.2e-06) Y,nch18_Cgd_Cgg (ll=2.4e-06) X,nch18_Cgd_Cgg (ll=2.4e-06) Y,nch18_Cgd_Cgg (ll=3.5e-07) X,nch18_Cgd_Cgg (ll=3.5e-07) Y
0.3000000000000001,-0.2130439015015937,0.3000000000000001,-0.1808634169158065,0.3000000000000001,-0.1567487020529118,0.3000000000000001,-0.1380343657018302,0.3000000000000001,-0.1231143616663469,0.3000000000000001,-0.110961563557615,0.3000000000000001,-0.1008874650684908,0.3000000000000001,-0.08519398419712849,0.3000000000000001,-0.0735738911615008,0.3000000000000001,-0.06465313947328494,0.3000000000000001,-0.05760641046569381,0.3000000000000001,-0.05190974241838057,0.3000000000000001,-0.04721550739247038,0.3000000000000001,-0.04328458658282344,0.3000000000000001,-0.2335162421858846
0.3100000000000001,-0.2116844970843777,0.3100000000000001,-0.1793186546748977,0.3100000000000001,-0.1550581211497132,0.3100000000000001,-0.1362428919323766,0.3100000000000001,-0.1212609595403447,0.3100000000000001,-0.1090770262074125,0.3100000000000001,-0.09899500689036449,0.3100000000000001,-0.08333172492709905,0.3100000000000001,-0.07177637406845788,0.3100000000000001,-0.06293535617957167,0.3100000000000001,-0.0559728514525034,0.3100000000000001,-0.05035945151253182,0.3100000000000001,-0.0457448442427317,0.3100000000000001,-0.04188872266766538,0.3100000000000001,-0.2322529589379436
0.3200000000000001,-0.2098877787399391,0.3200000000000001,-0.17732419112384,0.3200000000000001,-0.1529204165419697,0.3200000000000001,-0.1340177388305316,0.3200000000000001,-0.1189939381478742,0.3200000000000001,-0.1068023088737071,0.3200000000000001,-0.09673700090126322,0.3200000000000001,-0.08115185419638604,0.3200000000000001,-0.0697038245929838,0.3200000000000001,-0.06097869536125651,0.3200000000000001,-0.05413060015147305,0.3200000000000001,-0.0486255665982316,0.3200000000000001,-0.04411149934334128,0.3200000000000001,-0.04034769054586958,0.3200000000000001,-0.2305643206889903
0.3300000000000001,-0.2075972801096372,0.3300000000000001,-0.1748348673095668,0.3300000000000001,-0.1503039955019912,0.3300000000000001,-0.1313407276172224,0.3300000000000001,-0.1163071342949586,0.3300000000000001,-0.1041414015748617,0.3300000000000001,-0.09412569866410885,0.3300000000000001,-0.07867824578600839,0.3300000000000001,-0.06738686319242802,0.3300000000000001,-0.05881735576964935,0.3300000000000001,-0.05211545736902106,0.3300000000000001,-0.04674428391391156,0.3300000000000001,-0.04235134082905336,0.3300000000000001,-0.03869660729600875,0.3300000000000001,-0.2283901591834881
0.3400000000000001,-0.2047686975713997,0.3400000000000001,-0.1718228481018758,0.3400000000000001,-0.1471983132926933,0.3400000000000001,-0.1282167670935489,0.3400000000000001,-0.1132181052120498,0.3400000000000001,-0.101121645045278,0.3400000000000001,-0.09119569463714934,0.3400000000000001,-0.07595421083742215,0.3400000000000001,-0.06487242132789199,0.3400000000000001,-0.05649901034512672,0.3400000000000001,-0.04997429025256034,0.3400000000000001,-0.04476087971131147,0.3400000000000001,-0.04050769658923121,0.3400000000000001,-0.03697673169674699,0.3400000000000001,-0.2256797518760549
0.3500000000000001,-0.2013771204755937,0.3500000000000001,-0.1682841690235559,0.3500000000000001,-0.1436188883189642,0.3500000000000001,-0.1246769918384106,0.3500000000000001,-0.1097694172821368,0.3500000000000001,-0.09779339529039606,0.3500000000000001,-0.08800226274371609,0.3500000000000001,-0.07303903065343627,0.3500000000000001,-0.06221933989290086,0.3500000000000001,-0.05408001676341312,0.3500000000000001,-0.0477601708086561,0.3500000000000001,-0.04272494904997207,0.3500000000000001,-0.03862678112174759,0.3500000000000001,-0.03523111853568168,0.3500000000000001,-0.222398952576986
0.3600000000000002,-0.1974232566333325,0.3600000000000002,-0.1642430947415174,0.3600000000000002,-0.1396092182980448,0.3600000000000002,-0.1207783172762784,0.3600000000000002,-0.1060262470372257,0.3600000000000002,-0.09422616176346786,0.3600000000000002,-0.08461648403575264,0.3600000000000002,-0.07000208167761081,0.3600000000000002,-0.05949232409998802,0.3600000000000002,-0.05161960485318823,0.3600000000000002,-0.04552696263986223,0.3600000000000002,-0.04068544020072132,0.3600000000000002,-0.03675317023067065,0.3600000000000002,-0.03350050234984343,0.3600000000000002,-0.2185368714860824
0.3700000000000002,-0.1929371801123857,0.3700000000000002,-0.1597529984315222,0.3700000000000002,-0.1352387853199308,0.3700000000000002,-0.1165991784779378,0.3700000000000002,-0.1020705949828056,0.3700000000000002,-0.09050194147447119,0.3700000000000002,-0.08111818545022141,0.3700000000000002,-0.06691586267017874,0.3700000000000002,-0.05675559776586577,0.3700000000000002,-0.04917429602849802,0.3700000000000002,-0.04332447889484081,0.3700000000000002,-0.03868646819418177,0.3700000000000002,-0.03492617635773431,0.3700000000000002,-0.03182014709123393,0.3700000000000002,-0.2141106897220857
0.3800000000000002,-0.1879784965905465,0.3800000000000002,-0.1548932276679289,0.3800000000000002,-0.1305973269499787,0.3800000000000002,-0.1122322433617737,0.3800000000000002,-0.09799332549786516,0.3800000000000002,-0.08670719750600248,0.3800000000000002,-0.07758822756722543,0.3800000000000002,-0.06384938081401496,0.3800000000000002,-0.05406748937095721,0.3800000000000002,-0.04679354432048585,0.3800000000000002,-0.04119498506227212,0.3800000000000002,-0.03676450280867987,0.3800000000000002,-0.03317757716921731,0.3800000000000002,-0.03021800167766057,0.3800000000000002,-0.2091673698228132
0.3900000000000002,-0.1826326126805745,0.3900000000000002,-0.1497624301452959,0.3900000000000002,-0.1257865177672985,0.3900000000000002,-0.1077756391761638,0.3900000000000002,-0.09388570946944345,0.3900000000000002,-0.08292511967843434,0.3900000000000002,-0.07410164031691178,0.3900000000000002,-0.06086301757751,0.3900000000000002,-0.05147671413774905,0.3900000000000002,-0.04451708375544646,0.3900000000000002,-0.03917132666972185,0.3900000000000002,-0.03494706522767378,0.3900000000000002,-0.03153072888783515,0.3900000000000002,-0.02871412089129922,0.3900000000000002,-0.2037816354258496
