nch18_Id_W (ll=3.5e-07) X,nch18_Id_W (ll=3.5e-07) Y,nch18_Id_W (ll=4e-07) X,nch18_Id_W (ll=4e-07) Y,nch18_Id_W (ll=5e-07) X,nch18_Id_W (ll=5e-07) Y,nch18_Id_W (ll=6e-07) X,nch18_Id_W (ll=6e-07) Y,nch18_Id_W (ll=7e-07) X,nch18_Id_W (ll=7e-07) Y,nch18_Id_W (ll=8e-07) X,nch18_Id_W (ll=8e-07) Y,nch18_Id_W (ll=9e-07) X,nch18_Id_W (ll=9e-07) Y,nch18_Id_W (ll=1e-06) X,nch18_Id_W (ll=1e-06) Y,nch18_Id_W (ll=1.2e-06) X,nch18_Id_W (ll=1.2e-06) Y,nch18_Id_W (ll=1.4e-06) X,nch18_Id_W (ll=1.4e-06) Y,nch18_Id_W (ll=1.6e-06) X,nch18_Id_W (ll=1.6e-06) Y,nch18_Id_W (ll=1.8e-06) X,nch18_Id_W (ll=1.8e-06) Y,nch18_Id_W (ll=2e-06) X,nch18_Id_W (ll=2e-06) Y,nch18_Id_W (ll=2.2e-06) X,nch18_Id_W (ll=2.2e-06) Y,nch18_Id_W (ll=2.4e-06) X,nch18_Id_W (ll=2.4e-06) Y
0.3000000000000001,0.005695796495729851,0.3000000000000001,0.005118490634992339,0.3000000000000001,0.004548643522244971,0.3000000000000001,0.004273462621122846,0.3000000000000001,0.004106420418998757,0.3000000000000001,0.003985905901502446,0.3000000000000001,0.003887171651369496,0.3000000000000001,0.003799190806127625,0.3000000000000001,0.003637606875401191,0.3000000000000001,0.003484956904328824,0.3000000000000001,0.003338360430690019,0.3000000000000001,0.003197970533891243,0.3000000000000001,0.003064366942990614,0.3000000000000001,0.002937934388200601,0.3000000000000001,0.002818782207108421
0.3100000000000001,0.007574431666703976,0.3100000000000001,0.006815825298065104,0.3100000000000001,0.006066537385233569,0.3100000000000001,0.005704012145246297,0.3100000000000001,0.005483153213956939,0.3100000000000001,0.005323080273096925,0.3100000000000001,0.005191371155115747,0.3100000000000001,0.005073624003374637,0.3100000000000001,0.004856787472393379,0.3100000000000001,0.004651676651967541,0.3100000000000001,0.004454711371570138,0.3100000000000001,0.004266185921657781,0.3100000000000001,0.004086893422597578,0.3100000000000001,0.003917338479374138,0.3100000000000001,0.00375764807623562
0.3200000000000001,0.01005506388495087,0.3200000000000001,0.009059906053266224,0.3200000000000001,0.008075902932995049,0.3200000000000001,0.00759852187233253,0.3200000000000001,0.007306400992169075,0.3200000000000001,0.007093591947175826,0.3200000000000001,0.006917707872211578,0.3200000000000001,0.006759976900919299,0.3200000000000001,0.006468852665889467,0.3200000000000001,0.006193291379950407,0.3200000000000001,0.005928825112769496,0.3200000000000001,0.005675925614362804,0.3200000000000001,0.005435644786467102,0.3200000000000001,0.005208620338942133,0.3200000000000001,0.004994979453562963
0.3300000000000001,0.01332172845446483,0.3300000000000001,0.0120187348123768,0.3300000000000001,0.01072829533597879,0.3300000000000001,0.01009998862904259,0.3300000000000001,0.009713479178525133,0.3300000000000001,0.009430313996618716,0.3300000000000001,0.009195208615390688,0.3300000000000001,0.008983748336974063,0.3300000000000001,0.00859276779122242,0.3300000000000001,0.008222692306035022,0.3300000000000001,0.007867908497356036,0.3300000000000001,0.007529091589647564,0.3300000000000001,0.007207590532641617,0.3300000000000001,0.006904175428341766,0.3300000000000001,0.006618936280515225
0.3400000000000001,0.01761045524720063,0.3400000000000001,0.01590803298064629,0.3400000000000001,0.01421837997267568,0.3400000000000001,0.01339193345588083,0.3400000000000001,0.01288040003835136,0.3400000000000001,0.01250333253445532,0.3400000000000001,0.01218880947520332,0.3400000000000001,0.01190515120904457,0.3400000000000001,0.01138003155289424,0.3400000000000001,0.01088333049579343,0.3400000000000001,0.01040792918438081,0.3400000000000001,0.009954705934667444,0.3400000000000001,0.009525324596444987,0.3400000000000001,0.009120660050175674,0.3400000000000001,0.008740695148451055
0.3500000000000001,0.02322204192403312,0.3500000000000001,0.02100304484150451,0.3500000000000001,0.01879458191092263,0.3500000000000001,0.01770832081288136,0.3500000000000001,0.0170312325620799,0.3500000000000001,0.01652883298453372,0.3500000000000001,0.016107819692478,0.3500000000000001,0.01572718950361439,0.3500000000000001,0.01502205850944468,0.3500000000000001,0.01435598959055393,0.3500000000000001,0.01371985018006838,0.3500000000000001,0.01311466956422837,0.3500000000000001,0.0125424028010802,0.3500000000000001,0.01200395507039131,0.3500000000000001,0.01149908059968406
0.3600000000000002,0.03053717769899041,0.3600000000000002,0.02765254105398916,0.3600000000000002,0.02477170402127266,0.3600000000000002,0.02334526179039637,0.3600000000000002,0.02244908523383415,0.3600000000000002,0.02177946270012537,0.3600000000000002,0.02121572632742974,0.3600000000000002,0.02070495007801844,0.3600000000000002,0.01975855044665537,0.3600000000000002,0.01886635429918967,0.3600000000000002,0.01801649683001878,0.3600000000000002,0.0172100163967759,0.3600000000000002,0.01644906134737036,0.3600000000000002,0.01573441531521364,0.3600000000000002,0.01506540264512257
0.3700000000000002,0.04003404945128748,0.3700000000000002,0.03629515293840925,0.3700000000000002,0.03254560917533285,0.3700000000000002,0.03067454628891519,0.3700000000000002,0.02948870116715025,0.3700000000000002,0.02859610300383633,0.3700000000000002,0.02784121790376365,0.3700000000000002,0.02715593561183845,0.3700000000000002,0.02588659247365385,0.3700000000000002,0.0246930389804261,0.3700000000000002,0.02355966705634445,0.3700000000000002,0.02248723546443696,0.3700000000000002,0.02147786272779891,0.3700000000000002,0.02053193441989021,0.3700000000000002,0.01964802088031427
0.3800000000000002,0.05230843628074459,0.3800000000000002,0.04747804388610283,0.3800000000000002,0.04260992007136513,0.3800000000000002,0.04015887840578068,0.3800000000000002,0.03859045238723847,0.3800000000000002,0.03740075003070497,0.3800000000000002,0.03639004386204815,0.3800000000000002,0.03547098064342602,0.3800000000000002,0.03376989328295203,0.3800000000000002,0.03217540940680041,0.3800000000000002,0.0306667622413978,0.3800000000000002,0.02924390639861159,0.3800000000000002,0.02790849998527064,0.3800000000000002,0.02666005392011981,0.3800000000000002,0.02549587043439287
0.3900000000000002,0.06809609238442656,0.3900000000000002,0.06187771139070203,0.3900000000000002,0.05557444081200529,0.3900000000000002,0.05236839274349831,0.3900000000000002,0.0502951776287576,0.3900000000000002,0.04870982239995479,0.3900000000000002,0.04735691574205553,0.3900000000000002,0.04612486194397979,0.3900000000000002,0.04384714480441399,0.3900000000000002,0.0417200984755,0.3900000000000002,0.03971581071071973,0.3900000000000002,0.03783252248423963,0.3900000000000002,0.03607065560784824,0.3900000000000002,0.03442804691607908,0.3900000000000002,0.03289992070545449
0.4000000000000002,0.08829689077169921,0.4000000000000002,0.08032236590020471,0.4000000000000002,0.0721845966202217,0.4000000000000002,0.06799755941741395,0.4000000000000002,0.06525878897174185,0.4000000000000002,0.06314666411433306,0.4000000000000002,0.06133609459964862,0.4000000000000002,0.05968515768739873,0.4000000000000002,0.05663796446603795,0.4000000000000002,0.05380467570416526,0.4000000000000002,0.05114739420028878,0.4000000000000002,0.04866109133830786,0.4000000000000002,0.04634359784963667,0.4000000000000002,0.04418975521015968,0.4000000000000002,0.04219143976470686
0.4100000000000002,0.1139997045466394,0.4100000000000002,0.1038148016628616,0.4100000000000002,0.09334058157428068,0.4100000000000002,0.08788092460918399,0.4100000000000002,0.08426489155922184,0.4100000000000002,0.08145134401387905,0.4100000000000002,0.07902868392750771,0.4100000000000002,0.07681734614991396,0.4100000000000002,0.07274447237121992,0.4100000000000002,0.06897667830239446,0.4100000000000002,0.065461879053324,0.4100000000000002,0.06218911515185656,0.4100000000000002,0.05915130639004174,0.4100000000000002,0.05633814439920811,0.4100000000000002,0.05373618191640834
0.4200000000000002,0.1465063092359856,0.4200000000000002,0.1335539390911779,0.4200000000000002,0.1201141149517177,0.4200000000000002,0.1130053506795906,0.4200000000000002,0.1082329438431024,0.4200000000000002,0.1044852471092776,0.4200000000000002,0.101244178784492,0.4200000000000002,0.09828381441005592,0.4200000000000002,0.09284652237948456,0.4200000000000002,0.08784641778875764,0.4200000000000002,0.08321074166152499,0.4200000000000002,0.0789180696934995,0.4200000000000002,0.07495252429564858,0.4200000000000002,0.07129520273323048,0.4200000000000002,0.0679243104337708
0.4300000000000002,0.187351738121568,0.4300000000000002,0.1709523426810041,0.4300000000000002,0.1537598729651656,0.4300000000000002,0.1445157324323333,0.4300000000000002,0.1382190156312169,0.4300000000000002,0.1332277324571126,0.4300000000000002,0.1288938519075306,0.4300000000000002,0.1249347094711768,0.4300000000000002,0.1176892400959729,0.4300000000000002,0.111072854307022,0.4300000000000002,0.1049817959471451,0.4300000000000002,0.09937658580164996,0.4300000000000002,0.09422623529062263,0.4300000000000002,0.08949789854010384,0.4300000000000002,0.08515692519114869
0.4400000000000002,0.2383176843389003,0.4400000000000002,0.2176462187549446,0.4400000000000002,0.1957180944039083,0.4400000000000002,0.183710952703343,0.4400000000000002,0.1754063811133974,0.4400000000000002,0.1687626829717813,0.4400000000000002,0.1629744231380919,0.4400000000000002,0.1576896765605206,0.4400000000000002,0.1480629339119546,0.4400000000000002,0.1393433494570575,0.4400000000000002,0.1313796355210122,0.4400000000000002,0.1241019642154172,0.4400000000000002,0.1174543854687804,0.4400000000000002,0.1113821147633334,0.4400000000000002,0.1058311536219026
0.4500000000000002,0.3014350591736716,0.4500000000000002,0.2754940610085575,0.4500000000000002,0.2476050035080639,0.4500000000000002,0.2320275361469138,0.4500000000000002,0.2210843700373493,0.4500000000000002,0.2122543296741853,0.4500000000000002,0.2045422572317503,0.4500000000000002,0.1975114551925481,0.4500000000000002,0.184777378506113,0.4500000000000002,0.1733498650991596,0.4500000000000002,0.1630041154269957,0.4500000000000002,0.1536209153286036,0.4500000000000002,0.1451046974653635,0.4500000000000002,0.1373673052409252,0.4500000000000002,0.130326416845385
0.4600000000000002,0.3789721378898804,0.4600000000000002,0.346560706745643,0.4600000000000002,0.3111889592860748,0.4600000000000002,0.2910103118967912,0.4600000000000002,0.2766161284063897,0.4600000000000002,0.2649141207535819,0.4600000000000002,0.254680709380023,0.4600000000000002,0.2453745455585371,0.4600000000000002,0.2286342714844788,0.4600000000000002,0.2137654865766588,0.4600000000000002,0.2004305720376944,0.4600000000000002,0.1884329326697619,0.4600000000000002,0.177616664217287,0.4600000000000002,0.1678446444119686,0.4600000000000002,0.158994350326372
0.4700000000000003,0.4734062215417856,0.4700000000000003,0.4330854044829642,0.4700000000000003,0.3883527033647841,0.4700000000000003,0.3622721784641306,0.4700000000000003,0.3433987120794031,0.4700000000000003,0.3279629282529808,0.4700000000000003,0.3144653778743104,0.4700000000000003,0.3022338654776841,0.4700000000000003,0.2804025456980995,0.4700000000000003,0.2612253795339586,0.4700000000000003,0.2441952486266493,0.4700000000000003,0.2289991689316435,0.4700000000000003,0.2153930716644484,0.4700000000000003,0.2031705837567612,0.4700000000000003,0.1921539318522553
