nch18_Vdsat (ll=3.5e-07) X,nch18_Vdsat (ll=3.5e-07) Y,nch18_Vdsat (ll=4e-07) X,nch18_Vdsat (ll=4e-07) Y,nch18_Vdsat (ll=5e-07) X,nch18_Vdsat (ll=5e-07) Y,nch18_Vdsat (ll=6e-07) X,nch18_Vdsat (ll=6e-07) Y,nch18_Vdsat (ll=7e-07) X,nch18_Vdsat (ll=7e-07) Y,nch18_Vdsat (ll=8e-07) X,nch18_Vdsat (ll=8e-07) Y,nch18_Vdsat (ll=9e-07) X,nch18_Vdsat (ll=9e-07) Y,nch18_Vdsat (ll=1e-06) X,nch18_Vdsat (ll=1e-06) Y,nch18_Vdsat (ll=1.2e-06) X,nch18_Vdsat (ll=1.2e-06) Y,nch18_Vdsat (ll=1.4e-06) X,nch18_Vdsat (ll=1.4e-06) Y,nch18_Vdsat (ll=1.6e-06) X,nch18_Vdsat (ll=1.6e-06) Y,nch18_Vdsat (ll=1.8e-06) X,nch18_Vdsat (ll=1.8e-06) Y,nch18_Vdsat (ll=2e-06) X,nch18_Vdsat (ll=2e-06) Y,nch18_Vdsat (ll=2.2e-06) X,nch18_Vdsat (ll=2.2e-06) Y,nch18_Vdsat (ll=2.4e-06) X,nch18_Vdsat (ll=2.4e-06) Y
0.2300000000000001,0.04868337664911751,0.2300000000000001,0.04780004106572085,0.2300000000000001,0.04636678647732991,0.2300000000000001,0.04526717600917388,0.2300000000000001,0.04440263379254888,0.2300000000000001,0.0437073006388886,0.2300000000000001,0.04313695181851768,0.2300000000000001,0.04266119213542487,0.2300000000000001,0.041913632919258,0.2300000000000001,0.04135371375780866,0.2300000000000001,0.04091905055159248,0.2300000000000001,0.04057201802158852,0.2300000000000001,0.04028862919311786,0.2300000000000001,0.04005289105689015,0.2300000000000001,0.0398537403669173
0.2400000000000001,0.04869216667019034,0.2400000000000001,0.04780935901042228,0.2400000000000001,0.04637753115267442,0.2400000000000001,0.04527956147995278,0.2400000000000001,0.0444167302096428,0.2400000000000001,0.04372311159995407,0.2400000000000001,0.04315444519349702,0.2400000000000001,0.04268031566517089,0.2400000000000001,0.04193582112232007,0.2400000000000001,0.04137868520162181,0.2400000000000001,0.04094652991591823,0.2400000000000001,0.04060175140100079,0.2400000000000001,0.04032038878749577,0.2400000000000001,0.04008647519649403,0.2400000000000001,0.03988897159794862
0.2500000000000001,0.04870390723898565,0.2500000000000001,0.04782182197543611,0.2500000000000001,0.04639192767585926,0.2500000000000001,0.04529617302179614,0.2500000000000001,0.04443564750899174,0.2500000000000001,0.04374433695891991,0.2500000000000001,0.04317793343229162,0.2500000000000001,0.04270599491731239,0.2500000000000001,0.04196561568100732,0.2500000000000001,0.04141221320220861,0.2500000000000001,0.04098341900232359,0.2500000000000001,0.04064165892218415,0.2500000000000001,0.04036300782427544,0.2500000000000001,0.04013153439300204,0.2500000000000001,0.03993623244418322
0.2600000000000001,0.04871956934934548,0.2600000000000001,0.04783847036904171,0.2600000000000001,0.0464111911046813,0.2600000000000001,0.0453184201968631,0.2600000000000001,0.04446099484454571,0.2600000000000001,0.04377278362204453,0.2600000000000001,0.0432094156833156,0.2600000000000001,0.0427404137894976,0.2600000000000001,0.04200554410808682,0.2600000000000001,0.04145713341286902,0.2600000000000001,0.04103282809903712,0.2600000000000001,0.04069509535075604,0.2600000000000001,0.04042005899293689,0.2600000000000001,0.04019183611002782,0.2600000000000001,0.03999946503534317
0.2700000000000001,0.04874043274276647,0.2700000000000001,0.04786067695805856,0.2700000000000001,0.04643692599697657,0.2700000000000001,0.04534816422598909,0.2700000000000001,0.04449489581321258,0.2700000000000001,0.04381083432005928,0.2700000000000001,0.04325152587449579,0.2700000000000001,0.04278644698531521,0.2700000000000001,0.04205892734912139,0.2700000000000001,0.04151716526312583,0.2700000000000001,0.04109883047888844,0.2700000000000001,0.04076644792474991,0.2700000000000001,0.04049620859330479,0.2700000000000001,0.04027229543014121,0.2700000000000001,0.04008380704679283
0.2800000000000001,0.04876817803316356,0.2800000000000001,0.04789024636857724,0.2800000000000001,0.04647124284330443,0.2800000000000001,0.04538785210505666,0.2800000000000001,0.04454013985888296,0.2800000000000001,0.04386161541125658,0.2800000000000001,0.04330771581907045,0.2800000000000001,0.04284785726325645,0.2800000000000001,0.0421301019358753,0.2800000000000001,0.04159715495931614,0.2800000000000001,0.04118672283900328,0.2800000000000001,0.04086141143804338,0.2800000000000001,0.04059750398811273,0.2800000000000001,0.04037927302628241,0.2800000000000001,0.04019589867938141
0.2900000000000001,0.04880500292877821,0.2900000000000001,0.0479295406049312,0.2900000000000001,0.04651690449611874,0.2900000000000001,0.04544068445975342,0.2900000000000001,0.04460037071652167,0.2900000000000001,0.04392920453162037,0.2900000000000001,0.04338248049137201,0.2900000000000001,0.04292953673386656,0.2900000000000001,0.04222468881412872,0.2900000000000001,0.04170336661359834,0.2900000000000001,0.04130333448915257,0.2900000000000001,0.04098731211501724,0.2900000000000001,0.04073170949655375,0.2900000000000001,0.0405209209623569,0.2900000000000001,0.04034423668722666
0.3000000000000001,0.04885376694586339,0.3000000000000001,0.0479816352506541,0.3000000000000001,0.04657750756454541,0.3000000000000001,0.04551082211161308,0.3000000000000001,0.044680316598613,0.3000000000000001,0.04401888229123171,0.3000000000000001,0.04348162898190289,0.3000000000000001,0.04303779488132924,0.3000000000000001,0.04234990957342569,0.3000000000000001,0.04184382008656804,0.3000000000000001,0.04145738168699514,0.3000000000000001,0.04115347453004512,0.3000000000000001,0.04090868292861485,0.3000000000000001,0.04070756658312735,0.3000000000000001,0.04053956389713148
0.3100000000000001,0.04891816869210978,0.3100000000000001,0.0480505105833314,0.3100000000000001,0.0466577029007666,0.3100000000000001,0.04560363490131371,0.3100000000000001,0.04478606469819762,0.3100000000000001,0.04413742931173761,0.3100000000000001,0.04361260091900376,0.3100000000000001,0.04318069143034233,0.3100000000000001,0.04251494460625865,0.3100000000000001,0.0420286663839479,0.3100000000000001,0.04165985436528948,0.3100000000000001,0.04137161541013172,0.3100000000000001,0.04114077342194453,0.3100000000000001,0.04095211222092966,0.3100000000000001,0.04079526925000968
0.3200000000000001,0.0490029586561016,0.3200000000000001,0.04814128045406545,0.3200000000000001,0.04676345718739559,0.3200000000000001,0.04572599323813693,0.3200000000000001,0.04492537841069386,0.3200000000000001,0.04429346456396735,0.3200000000000001,0.04378482162425276,0.3200000000000001,0.04336840448824725,0.3200000000000001,0.0427313178186917,0.3200000000000001,0.04227057956361123,0.3200000000000001,0.04192440889236844,0.3200000000000001,0.04165623307992931,0.3200000000000001,0.04144320490742245,0.3200000000000001,0.04127041104215369,0.3200000000000001,0.04112775508047508
