pch18_gm_Id (ll=3.5e-07) X,pch18_gm_Id (ll=3.5e-07) Y,pch18_gm_Id (ll=4e-07) X,pch18_gm_Id (ll=4e-07) Y,pch18_gm_Id (ll=5e-07) X,pch18_gm_Id (ll=5e-07) Y,pch18_gm_Id (ll=6e-07) X,pch18_gm_Id (ll=6e-07) Y,pch18_gm_Id (ll=7e-07) X,pch18_gm_Id (ll=7e-07) Y,pch18_gm_Id (ll=8e-07) X,pch18_gm_Id (ll=8e-07) Y,pch18_gm_Id (ll=9e-07) X,pch18_gm_Id (ll=9e-07) Y,pch18_gm_Id (ll=1e-06) X,pch18_gm_Id (ll=1e-06) Y,pch18_gm_Id (ll=1.2e-06) X,pch18_gm_Id (ll=1.2e-06) Y,pch18_gm_Id (ll=1.4e-06) X,pch18_gm_Id (ll=1.4e-06) Y,pch18_gm_Id (ll=1.6e-06) X,pch18_gm_Id (ll=1.6e-06) Y,pch18_gm_Id (ll=1.8e-06) X,pch18_gm_Id (ll=1.8e-06) Y,pch18_gm_Id (ll=2e-06) X,pch18_gm_Id (ll=2e-06) Y,pch18_gm_Id (ll=2.2e-06) X,pch18_gm_Id (ll=2.2e-06) Y,pch18_gm_Id (ll=2.4e-06) X,pch18_gm_Id (ll=2.4e-06) Y
0.3600000000000002,24.29127443442209,0.3600000000000002,24.29462818257839,0.3600000000000002,24.22898299898354,0.3600000000000002,24.1434982900084,0.3600000000000002,24.06388323621831,0.3600000000000002,23.99451847642635,0.3600000000000002,23.93490070722797,0.3600000000000002,23.8835904217804,0.3600000000000002,23.80043777674312,0.3600000000000002,23.73636021317319,0.3600000000000002,23.68568086875085,0.3600000000000002,23.64470125264384,0.3600000000000002,23.6109423455359,0.3600000000000002,23.58269061365232,0.3600000000000002,23.55872776753727
0.3700000000000002,23.92293280948536,0.3700000000000002,23.91630450855048,0.3700000000000002,23.83090747500653,0.3700000000000002,23.72901305655576,0.3700000000000002,23.63628164886524,0.3700000000000002,23.5563379810099,0.3700000000000002,23.4880391431469,0.3700000000000002,23.42948474746949,0.3700000000000002,23.33493841500936,0.3700000000000002,23.26231432581507,0.3700000000000002,23.20499311757947,0.3700000000000002,23.15870827195023,0.3700000000000002,23.12061785617492,0.3700000000000002,23.08876555763804,0.3700000000000002,23.06176453387799
0.3800000000000002,23.52526653017156,0.3800000000000002,23.50815341789617,0.3800000000000002,23.40162163101743,0.3800000000000002,23.28198574647002,0.3800000000000002,23.17499865812581,0.3800000000000002,23.08352393152278,0.3800000000000002,23.00574959629553,0.3800000000000002,22.93928483972988,0.3800000000000002,22.83230218657941,0.3800000000000002,22.75036276640358,0.3800000000000002,22.68581515484562,0.3800000000000002,22.63376861784503,0.3800000000000002,22.59098202569159,0.3800000000000002,22.55523210707126,0.3800000000000002,22.52494686556004
0.3900000000000002,23.09732422062991,0.3900000000000002,23.06893988000389,0.3900000000000002,22.9394789086069,0.3900000000000002,22.80052724418106,0.3900000000000002,22.67801586885775,0.3900000000000002,22.57400141232002,0.3900000000000002,22.48594642547698,0.3900000000000002,22.41092262296846,0.3900000000000002,22.29054017531363,0.3900000000000002,22.19861872963887,0.3900000000000002,22.12636519140084,0.3900000000000002,22.06820049973673,0.3900000000000002,22.0204452491059,0.3900000000000002,21.98058442863834,0.3900000000000002,21.94684460611169
0.4000000000000002,22.63810414144652,0.4000000000000002,22.59734537115415,0.4000000000000002,22.44282783553102,0.4000000000000002,22.28290305733603,0.4000000000000002,22.14364635894751,0.4000000000000002,22.02619675421275,0.4000000000000002,21.92719965622728,0.4000000000000002,21.84312304065411,0.4000000000000002,21.70868421385321,0.4000000000000002,21.60639315534914,0.4000000000000002,21.52619854613489,0.4000000000000002,21.4617708255698,0.4000000000000002,21.40895747460399,0.4000000000000002,21.36493135886015,0.4000000000000002,21.3277052354292
0.4100000000000002,22.14667420790932,0.4100000000000002,22.09217437879964,0.4100000000000002,21.9103821183411,0.4100000000000002,21.72802712494541,0.4100000000000002,21.57111347262265,0.4100000000000002,21.43967223099337,0.4100000000000002,21.32940530099093,0.4100000000000002,21.23609619806621,0.4100000000000002,21.08749769923763,0.4100000000000002,20.97490649249089,0.4100000000000002,20.88691232638642,0.4100000000000002,20.81638934916262,0.4100000000000002,20.75869059094296,0.4100000000000002,20.71066689418858,0.4100000000000002,20.67011285135334
0.4200000000000002,21.622433298744,0.4200000000000002,21.55272196743809,0.4200000000000002,21.34174487737314,0.4200000000000002,21.13607068984458,0.4200000000000002,20.96119567000175,0.4200000000000002,20.81577790026301,0.4200000000000002,20.69442783535766,0.4200000000000002,20.59216167126671,0.4200000000000002,20.43005296024548,0.4200000000000002,20.30781703489123,0.4200000000000002,20.21262817388942,0.4200000000000002,20.13655069184586,0.4200000000000002,20.07444458434667,0.4200000000000002,20.02284487573903,0.4200000000000002,19.97933520377731
0.4300000000000002,21.06550002437341,0.4300000000000002,20.97925831900136,0.4300000000000002,20.73798447632071,0.4300000000000002,20.50904141705053,0.4300000000000002,20.31676640290663,0.4300000000000002,20.15813495967752,0.4300000000000002,20.02652223356982,0.4300000000000002,19.91611024225832,0.4300000000000002,19.7419839273663,0.4300000000000002,19.61138257661376,0.4300000000000002,19.51007904830006,0.4300000000000002,19.42935934681558,0.4300000000000002,19.36362112116918,0.4300000000000002,19.30910932810775,0.4300000000000002,19.26321728866992
0.4400000000000002,20.47715959097979,0.4400000000000002,20.3735250032071,0.4400000000000002,20.10210764403732,0.4400000000000002,19.85115854604484,0.4400000000000002,19.6430531545104,0.4400000000000002,19.47278265978964,0.4400000000000002,19.3323799195369,0.4400000000000002,19.21516136843807,0.4400000000000002,19.03130022884909,0.4400000000000002,18.89416625260337,0.4400000000000002,18.78823191758071,0.4400000000000002,18.70408716996743,0.4400000000000002,18.63572888911579,0.4400000000000002,18.5791573338615,0.4400000000000002,18.53160908770342
0.4500000000000002,19.86025343046368,0.4500000000000002,19.73910124512201,0.4500000000000002,19.43927373144639,0.4500000000000002,19.16888400501374,0.4500000000000002,18.94750308948571,0.4500000000000002,18.76790587351633,0.4500000000000002,18.62074376135114,0.4500000000000002,18.49848667617629,0.4500000000000002,18.30777437344219,0.4500000000000002,18.1663295913703,0.4500000000000002,18.05751337254017,0.4500000000000002,17.97134904562449,0.4500000000000002,17.90152119045872,0.4500000000000002,17.84384688595178,0.4500000000000002,17.79544969527639
0.4600000000000002,19.21938470835132,0.4600000000000002,19.08151018883879,0.4600000000000002,18.756652276577,0.4600000000000002,18.4705605502216,0.4600000000000002,18.23925312694022,0.4600000000000002,18.05318068231347,0.4600000000000002,17.90166159194276,0.4600000000000002,17.77639475807825,0.4600000000000002,17.58203479031762,0.4600000000000002,17.43867043444132,0.4600000000000002,17.328812918016,0.4600000000000002,17.24208362290072,0.4600000000000002,17.17196156444696,0.4600000000000002,17.11415215890379,0.4600000000000002,17.06571538510828
0.4700000000000003,18.56084826198839,0.4700000000000003,18.40799791401459,0.4700000000000003,18.06292508211274,0.4700000000000003,17.76572016520463,0.4700000000000003,17.52831419287191,0.4700000000000003,17.33888077506544,0.4700000000000003,17.18554418744612,0.4700000000000003,17.05935939845053,0.4700000000000003,16.86456622904552,0.4700000000000003,16.72161681577433,0.4700000000000003,16.6124796303175,0.4700000000000003,16.52655676141597,0.4700000000000003,16.45723558471738,0.4700000000000003,16.40018405633462,0.4700000000000003,16.35244874993153
0.4800000000000003,17.8922663981294,0.4800000000000003,17.72700908395738,0.4800000000000003,17.367533428649,0.4800000000000003,17.06421326381978,0.4800000000000003,16.82464846067422,0.4800000000000003,16.6349381197948,0.4800000000000003,16.48222778068988,0.4800000000000003,16.35709326750495,0.4800000000000003,16.16481664622037,0.4800000000000003,16.0243694799249,0.4800000000000003,15.91749768361964,0.4800000000000003,15.83356627719804,0.4800000000000003,15.7659810966971,0.4800000000000003,15.71044262616544,0.4800000000000003,15.66403045460317
0.4900000000000003,17.22199381217415,0.4900000000000003,17.04746577657467,0.4900000000000003,16.67983192887548,0.4900000000000003,16.37534081262665,0.4900000000000003,16.13732411553174,0.4900000000000003,15.95013661896179,0.4900000000000003,15.80021070130536,0.4900000000000003,15.67782659511625,0.4900000000000003,15.49055069349163,0.4900000000000003,15.35431653544224,0.4900000000000003,15.25095051619625,0.4900000000000003,15.16994646780736,0.4900000000000003,15.10482602416049,0.4900000000000003,15.05138265493202,0.4900000000000003,15.00676830868748
0.5000000000000002,16.55841346471247,0.5000000000000002,16.37799928625753,0.5000000000000002,16.00831517283464,0.5000000000000002,15.70714481463186,0.5000000000000002,15.47388413106831,0.5000000000000002,15.2915554848469,0.5000000000000002,15.14616279251896,0.5000000000000002,15.02787364350787,0.5000000000000002,14.8475072801475,0.5000000000000002,14.71675894970042,0.5000000000000002,14.61779818596638,0.5000000000000002,14.54038603477851,0.5000000000000002,14.4782387311702,0.5000000000000002,14.42729047345617,0.5000000000000002,14.38479598932072
0.5100000000000002,15.90926132060069,0.5100000000000002,15.72627817901468,0.5100000000000002,15.36004023652555,0.5100000000000002,15.0659488961587,0.5100000000000002,14.83999192956495,0.5100000000000002,14.66430145704628,0.5100000000000002,14.52472775794,0.5100000000000002,14.41149202045515,0.5100000000000002,14.23934429153863,0.5100000000000002,14.11491520310772,0.5100000000000002,14.02092586037121,0.5100000000000002,13.9475097738243,0.5100000000000002,13.88863559611812,0.5100000000000002,13.84041220148525,0.5100000000000002,13.80021812883967
0.5200000000000002,15.28109254568756,0.5200000000000002,15.09853115203641,0.5200000000000002,14.7403021784678,0.5200000000000002,14.45616939840317,0.5200000000000002,14.23934703960836,0.5200000000000002,14.07150336399063,0.5200000000000002,13.93857778136425,0.5200000000000002,13.83098379207189,0.5200000000000002,13.66780576539522,0.5200000000000002,13.55013225635258,0.5200000000000002,13.46138543962186,0.5200000000000002,13.39214261358199,0.5200000000000002,13.33666202379128,0.5200000000000002,13.29124798367267,0.5200000000000002,13.2534150991836
