pch18_Vgs_Vth (ll=3.5e-07) X,pch18_Vgs_Vth (ll=3.5e-07) Y,pch18_Vgs_Vth (ll=4e-07) X,pch18_Vgs_Vth (ll=4e-07) Y,pch18_Vgs_Vth (ll=5e-07) X,pch18_Vgs_Vth (ll=5e-07) Y,pch18_Vgs_Vth (ll=6e-07) X,pch18_Vgs_Vth (ll=6e-07) Y,pch18_Vgs_Vth (ll=7e-07) X,pch18_Vgs_Vth (ll=7e-07) Y,pch18_Vgs_Vth (ll=8e-07) X,pch18_Vgs_Vth (ll=8e-07) Y,pch18_Vgs_Vth (ll=9e-07) X,pch18_Vgs_Vth (ll=9e-07) Y,pch18_Vgs_Vth (ll=1e-06) X,pch18_Vgs_Vth (ll=1e-06) Y,pch18_Vgs_Vth (ll=1.2e-06) X,pch18_Vgs_Vth (ll=1.2e-06) Y,pch18_Vgs_Vth (ll=1.4e-06) X,pch18_Vgs_Vth (ll=1.4e-06) Y,pch18_Vgs_Vth (ll=1.6e-06) X,pch18_Vgs_Vth (ll=1.6e-06) Y,pch18_Vgs_Vth (ll=1.8e-06) X,pch18_Vgs_Vth (ll=1.8e-06) Y,pch18_Vgs_Vth (ll=2e-06) X,pch18_Vgs_Vth (ll=2e-06) Y,pch18_Vgs_Vth (ll=2.2e-06) X,pch18_Vgs_Vth (ll=2.2e-06) Y,pch18_Vgs_Vth (ll=2.4e-06) X,pch18_Vgs_Vth (ll=2.4e-06) Y
0.09999999999999999,0.461799195240443,0.09999999999999999,0.4552861637837287,0.09999999999999999,0.4454442111293775,0.09999999999999999,0.4384981546039957,0.09999999999999999,0.4333840841486362,0.09999999999999999,0.4294766034759911,0.09999999999999999,0.4263981617016502,0.09999999999999999,0.4239114248651979,0.09999999999999999,0.4201415832443214,0.09999999999999999,0.4174197197520193,0.09999999999999999,0.4153628333198438,0.09999999999999999,0.413754464697636,0.09999999999999999,0.4124629595017626,0.09999999999999999,0.4114035910803122,0.09999999999999999,0.41051934118787
0.11,0.4517991952434891,0.11,0.4452861637864649,0.11,0.4354442111317416,0.11,0.4284981546061076,0.11,0.423384084150552,0.11,0.4194766034777425,0.11,0.4163981617032652,0.11,0.4139114248666933,0.11,0.4101415832456254,0.11,0.4074197197531748,0.11,0.4053628333208801,0.11,0.4037544646985749,0.11,0.4024629595026223,0.11,0.4014035910811015,0.11,0.400519341188602
0.12,0.4417991952474989,0.12,0.4352861637900695,0.12,0.4254442111348613,0.12,0.4184981546088988,0.12,0.4133840841530828,0.12,0.4094766034800601,0.12,0.4063981617054009,0.12,0.4039114248686733,0.12,0.4001415832473519,0.12,0.3974197197547041,0.12,0.395362833322251,0.12,0.3937544646998192,0.12,0.3924629595037584,0.12,0.3914035910821499,0.12,0.3905193411895725
0.13,0.4317991952527723,0.13,0.4252861637948193,0.13,0.4154442111389773,0.13,0.4084981546125832,0.13,0.4033840841564277,0.13,0.3994766034831221,0.13,0.3963981617082228,0.13,0.3939114248712904,0.13,0.3901415832496341,0.13,0.3874197197567268,0.13,0.3853628333240667,0.13,0.3837544647014647,0.13,0.3824629595052627,0.13,0.3814035910835362,0.13,0.3805193411908566
0.14,0.421799195259708,0.14,0.4152861638010726,0.14,0.4054442111444051,0.14,0.3984981546174472,0.14,0.393384084160845,0.14,0.3894766034871675,0.14,0.386398161711954,0.14,0.3839114248747508,0.14,0.3801415832526536,0.14,0.3774197197594017,0.14,0.3753628333264676,0.14,0.3737544647036428,0.14,0.3724629595072546,0.14,0.37140359108537,0.14,0.3705193411925566
0.15,0.411799195268825,0.15,0.4052861638093017,0.15,0.3954442111515556,0.15,0.3884981546238618,0.15,0.3833840841666728,0.15,0.3794766034925081,0.15,0.37639816171688,0.15,0.3739114248793198,0.15,0.3701415832566414,0.15,0.3674197197629376,0.15,0.3653628333296421,0.15,0.3637544647065203,0.15,0.3624629595098863,0.15,0.3614035910877947,0.15,0.3605193411948039
0.16,0.4017991952808015,0.16,0.3952861638201237,0.16,0.385444211160975,0.16,0.3784981546323166,0.16,0.3733840841743583,0.16,0.3694766034995524,0.16,0.3663981617233795,0.16,0.36391142488535,0.16,0.3601415832619076,0.16,0.3574197197676061,0.16,0.3553628333338332,0.16,0.353754464710322,0.16,0.3524629595133641,0.16,0.3514035910909977,0.16,0.3505193411977732
0.17,0.3917991952965247,0.17,0.3852861638343488,0.17,0.3754442111733743,0.17,0.3684981546434516,0.17,0.3633840841844878,0.17,0.3594766035088435,0.17,0.3563981617319537,0.17,0.3539114248933051,0.17,0.350141583268854,0.17,0.3474197197737671,0.17,0.3453628333393648,0.17,0.3437544647153387,0.17,0.3424629595179537,0.17,0.3414035910952259,0.17,0.3405193412016921
0.18,0.3817991953171541,0.18,0.3752861638530332,0.18,0.3654442111896815,0.18,0.3584981546581093,0.18,0.3533840841978284,0.18,0.3494766035210771,0.18,0.3463981617432464,0.18,0.3439114249037887,0.18,0.3401415832780097,0.18,0.3374197197818876,0.18,0.3353628333466575,0.18,0.3337544647219546,0.18,0.3324629595240038,0.18,0.3314035911008001,0.18,0.3305193412068601
0.19,0.3717991953442019,0.19,0.3652861638775567,0.19,0.3554442112111111,0.19,0.3484981546773873,0.19,0.3433840842153779,0.19,0.3394766035371789,0.19,0.336398161758112,0.19,0.3339114249175891,0.19,0.3301415832900668,0.19,0.327419719792583,0.19,0.3253628333562609,0.19,0.323754464730667,0.19,0.3224629595319765,0.19,0.321403591108145,0.19,0.3205193412136685
0.2,0.3617991953796349,0.2,0.355286163909718,0.2,0.3454442112392482,0.2,0.3384981547027148,0.2,0.3333840842384439,0.2,0.3294766035583484,0.2,0.3263981617776616,0.2,0.323911424935737,0.2,0.3201415833059241,0.2,0.3174197198066504,0.2,0.3153628333688966,0.2,0.3137544647421294,0.2,0.3124629595424616,0.2,0.3114035911178075,0.2,0.3105193412226254
