pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y,pch18_Cdd_Cgg (ll=3.5e-07) X,pch18_Cdd_Cgg (ll=3.5e-07) Y
0.3500000000000001,0.1974711092225998,0.3500000000000001,0.1670237321459467,0.3500000000000001,0.1444888723482668,0.3500000000000001,0.1272157169316679,0.3500000000000001,0.1135846917290324,0.3500000000000001,0.102567297414157,0.3500000000000001,0.09348428915794556,0.3500000000000001,0.07939937208624367,0.3500000000000001,0.06899223987224831,0.3500000000000001,0.06099324535748792,0.3500000000000001,0.05465523546600408,0.3500000000000001,0.04951048347436214,0.3500000000000001,0.04525148449019233,0.3500000000000001,0.04166787431336032,0.3500000000000001,0.2169456976013593
0.3600000000000002,0.1945502390098396,0.3600000000000002,0.1642403028108287,0.3600000000000002,0.1418546840723369,0.3600000000000002,0.1247327091811747,0.3600000000000002,0.1112472037929313,0.3600000000000002,0.1003659280261917,0.3600000000000002,0.09140834705042879,0.3600000000000002,0.07754279892885388,0.3600000000000002,0.06731807510673922,0.3600000000000002,0.05947148050465333,0.3600000000000002,0.05326195272129557,0.3600000000000002,0.04822660942579607,0.3600000000000002,0.04406169546133461,0.3600000000000002,0.0405597375465593,0.3600000000000002,0.2139594837876549
0.3700000000000002,0.1912937502614552,0.3700000000000002,0.1611458126433108,0.3700000000000002,0.1389379538062602,0.3700000000000002,0.1219939957416729,0.3700000000000002,0.1086777617022275,0.3700000000000002,0.09795320388186357,0.3700000000000002,0.0891388272305719,0.3700000000000002,0.07552134764409031,0.3700000000000002,0.06550088739873237,0.3700000000000002,0.05782372575896925,0.3700000000000002,0.05175625175500392,0.3700000000000002,0.04684134598650912,0.3700000000000002,0.04277963489136295,0.3700000000000002,0.03936698067621809,0.3700000000000002,0.2106319879210732
0.3800000000000002,0.1877373669548794,0.3800000000000002,0.1577775161405096,0.3800000000000002,0.1357768428242763,0.3800000000000002,0.119037800155838,0.3800000000000002,0.1059140441687271,0.3800000000000002,0.09536588875819116,0.3800000000000002,0.08671137606779597,0.3800000000000002,0.07336821213369017,0.3800000000000002,0.06357144855422783,0.3800000000000002,0.05607851571730857,0.3800000000000002,0.05016465351700904,0.3800000000000002,0.04537941896590714,0.3800000000000002,0.04142843187135274,0.3800000000000002,0.03811131083300717,0.3800000000000002,0.2069985738771579
0.3900000000000002,0.183930103449051,0.3900000000000002,0.1541851776776765,0.3900000000000002,0.1324208421560378,0.3900000000000002,0.1159124783481972,0.3900000000000002,0.1030027724978843,0.3900000000000002,0.09264883634126145,0.3900000000000002,0.08416890952914616,0.3900000000000002,0.07112254876840644,0.3900000000000002,0.06156552270029934,0.3900000000000002,0.05426864309315818,0.3900000000000002,0.04851736936838919,0.3900000000000002,0.04386879657981555,0.3900000000000002,0.04003409776782722,0.3900000000000002,0.0368170231301802,0.3900000000000002,0.2031078378522333
0.4000000000000002,0.1799315650185496,0.4000000000000002,0.1504281098233336,0.4000000000000002,0.1289276442593072,0.4000000000000002,0.1126733297094087,0.4000000000000002,0.09999653617345108,0.4000000000000002,0.08985187664999643,0.4000000000000002,0.0815585867177738,0.4000000000000002,0.06882665649228001,0.4000000000000002,0.05952125768310286,0.4000000000000002,0.05242874723298244,0.4000000000000002,0.04684606724227836,0.4000000000000002,0.04233861362484384,0.4000000000000002,0.03862359042742498,0.4000000000000002,0.0355091890466125,0.4000000000000002,0.1990190233755453
0.4100000000000002,0.175808248423268,0.4100000000000002,0.1465712999589343,0.4100000000000002,0.1253592470739724,0.4100000000000002,0.1093787839322653,0.4100000000000002,0.096950119623742,0.4100000000000002,0.08702630820749094,0.4100000000000002,0.07892847467972836,0.4100000000000002,0.06652297409948787,0.4100000000000002,0.05747647702334742,0.4100000000000002,0.05059285919335833,0.4100000000000002,0.04518163256630052,0.4100000000000002,0.04081711681672483,0.4100000000000002,0.03722291796557774,0.4100000000000002,0.03421189730710705,0.4100000000000002,0.1947984567402617
0.4200000000000002,0.1716293369599793,0.4200000000000002,0.1426811655747934,0.4200000000000002,0.1217778470325144,0.4200000000000002,0.1060865147620218,0.4200000000000002,0.09391686356589322,0.4200000000000002,0.08422150557943887,0.4200000000000002,0.07632438806829468,0.4200000000000002,0.06425132677970645,0.4200000000000002,0.05546625846415106,0.4200000000000002,0.04879224997652525,0.4200000000000002,0.04355223717887235,0.4200000000000002,0.03932991629086269,0.4200000000000002,0.03585554312236115,0.4200000000000002,0.03294678767163702,0.4200000000000002,0.1905154649330496
0.4300000000000002,0.1674625375848324,0.4300000000000002,0.138821503322642,0.4300000000000002,0.1182420682102122,0.4300000000000002,0.1028499934988445,0.4300000000000002,0.09094553410187661,0.4300000000000002,0.08148207598263939,0.4300000000000002,0.07378730049385325,0.4300000000000002,0.06204675545974167,0.4300000000000002,0.05352108264043475,0.4300000000000002,0.0470538261699708,0.4300000000000002,0.0419819293586849,0.4300000000000002,0.03789873140385552,0.4300000000000002,0.03454125599910265,0.4300000000000002,0.03173202868804749,0.4300000000000002,0.1862382939914983
0.4400000000000002,0.1633704464610326,0.4400000000000002,0.1350501021530599,0.4400000000000002,0.1148039512879627,0.4400000000000002,0.09971585258577396,0.4400000000000002,0.0880780195270813,0.4400000000000002,0.07884584060962538,0.4400000000000002,0.07135156535732372,0.4400000000000002,0.05993810792474475,0.4400000000000002,0.05166568911471028,0.4400000000000002,0.04539918019312296,0.4400000000000002,0.04048983011700332,0.4400000000000002,0.03654069946817408,0.4400000000000002,0.03329557120243168,0.4400000000000002,0.03058178564981357,0.4400000000000002,0.1820304960432102
0.4500000000000002,0.1594077828358088,0.4500000000000002,0.1314163169753457,0.4500000000000002,0.1115069372187519,0.4500000000000002,0.0967222366484054,0.4500000000000002,0.08534798435788718,0.4500000000000002,0.07634273203096731,0.4500000000000002,0.06904400760938303,0.4500000000000002,0.05794741156012127,0.4500000000000002,0.04991863412738241,0.4500000000000002,0.04384427370695463,0.4500000000000002,0.03908990446471902,0.4500000000000002,0.03526821002186876,0.4500000000000002,0.03212960828363499,0.4500000000000002,0.02950613549942663,0.4500000000000002,0.1779481225072806
0.4600000000000002,0.1556196476701859,0.4600000000000002,0.1279597021167069,0.4600000000000002,0.1083848848495621,0.4600000000000002,0.09389813235549641,0.4600000000000002,0.08278043698655885,0.4600000000000002,0.07399453950993649,0.4600000000000002,0.06688380138353124,0.4600000000000002,0.05608992388417598,0.4600000000000002,0.0482924390003307,0.4600000000000002,0.042399641766301,0.4600000000000002,0.03779119686229156,0.4600000000000002,0.03408915695601605,0.4600000000000002,0.03105035159755247,0.4600000000000002,0.02851132885780553,0.4600000000000002,0.1740378916750233
0.4700000000000003,0.1520407909984878,0.4700000000000003,0.1247096331440403,0.4700000000000003,0.1054620055660973,0.4700000000000003,0.09126353041367419,0.4700000000000003,0.08039204698199055,0.4700000000000003,0.07181532944909369,0.4700000000000003,0.06488295742044188,0.4700000000000003,0.05437468726991198,0.4700000000000003,0.046794163549415,0.4700000000000003,0.04107096171032778,0.4700000000000003,0.03659838460351444,0.4700000000000003,0.03300747149732754,0.4700000000000003,0.03006116109809829,0.4700000000000003,0.0276002784485976,0.4700000000000003,0.170336335197428
0.4800000000000003,0.1486957439027846,0.4800000000000003,0.1216857309648403,0.4800000000000003,0.1027535042029586,0.4800000000000003,0.08883019913808526,0.4800000000000003,0.07819199098367184,0.4800000000000003,0.06981232461724608,0.4800000000000003,0.06304721129921283,0.4800000000000003,0.05280539637483152,0.4800000000000003,0.0454262304018274,0.4800000000000003,0.03985982835492738,0.4800000000000003,0.03551250438471993,0.4800000000000003,0.03202380314638952,0.4800000000000003,0.0291624114266987,0.4800000000000003,0.0267731601841976,0.4800000000000003,0.166869801963261
