nch18_gm_Id (ll=3.5e-07) X,nch18_gm_Id (ll=3.5e-07) Y,nch18_gm_Id (ll=4e-07) X,nch18_gm_Id (ll=4e-07) Y,nch18_gm_Id (ll=5e-07) X,nch18_gm_Id (ll=5e-07) Y,nch18_gm_Id (ll=6e-07) X,nch18_gm_Id (ll=6e-07) Y,nch18_gm_Id (ll=7e-07) X,nch18_gm_Id (ll=7e-07) Y,nch18_gm_Id (ll=8e-07) X,nch18_gm_Id (ll=8e-07) Y,nch18_gm_Id (ll=9e-07) X,nch18_gm_Id (ll=9e-07) Y,nch18_gm_Id (ll=1e-06) X,nch18_gm_Id (ll=1e-06) Y,nch18_gm_Id (ll=1.2e-06) X,nch18_gm_Id (ll=1.2e-06) Y,nch18_gm_Id (ll=1.4e-06) X,nch18_gm_Id (ll=1.4e-06) Y,nch18_gm_Id (ll=1.6e-06) X,nch18_gm_Id (ll=1.6e-06) Y,nch18_gm_Id (ll=1.8e-06) X,nch18_gm_Id (ll=1.8e-06) Y,nch18_gm_Id (ll=2e-06) X,nch18_gm_Id (ll=2e-06) Y,nch18_gm_Id (ll=2.2e-06) X,nch18_gm_Id (ll=2.2e-06) Y,nch18_gm_Id (ll=2.4e-06) X,nch18_gm_Id (ll=2.4e-06) Y
0.09999999999999999,29.71874112671917,0.09999999999999999,29.87094245538901,0.09999999999999999,30.09051959029443,0.09999999999999999,30.24132569556237,0.09999999999999999,30.35119359832617,0.09999999999999999,30.43469891512667,0.09999999999999999,30.50023791908966,0.09999999999999999,30.55299280182057,0.09999999999999999,30.6325526211375,0.09999999999999999,30.6895894081286,0.09999999999999999,30.73241063188248,0.09999999999999999,30.76570385158421,0.09999999999999999,30.79230954543743,0.09999999999999999,30.81404656666516,0.09999999999999999,30.83213207491812
0.11,29.70106497172387,0.11,29.85301582089161,0.11,30.07193035873619,0.11,30.22202999914525,0.11,30.33121604928254,0.11,30.4140836974531,0.11,30.4790335391308,0.11,30.53124662920264,0.11,30.60985177632858,0.11,30.66608069898072,0.11,30.70821339713282,0.11,30.74091491833473,0.11,30.76700790028193,0.11,30.78829715410737,0.11,30.80598875584262
0.12,29.68213321719677,0.12,29.83381220781534,0.12,30.05198579097361,0.12,30.20128552697798,0.12,30.30969520898538,0.12,30.39183436887484,0.12,30.4561096056297,0.12,30.50770129623267,0.12,30.58520956455369,0.12,30.64050872119682,0.12,30.68184807363904,0.12,30.71386723448411,0.12,30.73936856170086,0.12,30.76014084314453,0.12,30.77737747393223
0.13,29.66173468106184,0.13,29.81311735515344,0.13,30.0304592114195,0.13,30.17885038936015,0.13,30.28637362078243,0.13,30.3676784151981,0.13,30.43117937785381,0.13,30.48205676923478,0.13,30.55830214401609,0.13,30.61252918581204,0.13,30.65295277744342,0.13,30.68418369598865,0.13,30.70900117615192,0.13,30.72917567024023,0.13,30.74588602697656
0.14,29.63962209630252,0.14,29.79068031982702,0.14,30.00708505815917,0.14,30.15444116980369,0.14,30.26094962767944,0.14,30.34129655585656,0.14,30.40390694076757,0.14,30.4539616045455,0.14,30.52875029371539,0.14,30.58173905292768,0.14,30.62110400098773,0.14,30.65142311256903,0.14,30.67544917744811,0.14,30.69493160958813,0.14,30.71103253016633
0.15,29.61550611412926,0.15,29.76620736016081,0.15,29.98155239051855,0.15,30.127726009775,0.15,30.23307004525747,0.15,30.31231503417188,0.15,30.37389914668199,0.15,30.42300457539051,0.15,30.4961105027303,0.15,30.54766718624036,0.15,30.58580691374461,0.15,30.6150702175212,0.15,30.63817955512996,0.15,30.65686013900833,0.15,30.67225481055165
0.16,29.58904843785371,0.16,29.73935493315795,0.16,29.95349746772785,0.16,30.0983167245158,0.16,30.20232183338648,0.16,30.28029688235281,0.16,30.3406965150037,0.16,30.38870524651888,0.16,30.45986500113223,0.16,30.50976395655896,0.16,30.54648462749215,0.16,30.57452466268882,0.16,30.59657163113808,0.16,30.61432283846536,0.16,30.62889885871216
0.17,29.5598540190236,0.17,29.70972173856445,0.17,29.92249533812459,0.17,30.06575989986513,0.17,30.16822273018412,0.17,30.2447321403464,0.17,30.30376308625629,0.17,30.35050351064486,0.17,30.41941078316651,0.17,30.46738988095739,0.17,30.50246654719152,0.17,30.52908915165187,0.17,30.54990502757424,0.17,30.56657923140133,0.17,30.58020657302727
0.18,29.52746226850768,0.18,29.67683976629986,0.18,29.88805040903554,0.18,30.02952695954142,0.18,30.13021086093495,0.18,30.20502706702932,0.18,30.26247529610068,0.18,30.30774818034916,0.18,30.37404777216267,0.18,30.41980350067639,0.18,30.45297606080447,0.18,30.47795701084022,0.18,30.49734716775773,0.18,30.51277424990301,0.18,30.52530321298608
0.19,29.491337271446,0.19,29.64016434376302,0.19,29.84958601779752,0.19,29.98900325520614,0.19,30.08763341109463,0.19,30.16049247254868,0.19,30.2161100392313,0.19,30.25968484671513,0.19,30.32296641958035,0.19,30.36614886662806,0.19,30.3971180073704,0.19,30.42019970211334,0.19,30.4379408723442,0.19,30.45192593816878,0.19,30.46318522369209
