pch18_Cgd_Cgg (ll=3.5e-07) X,pch18_Cgd_Cgg (ll=3.5e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0.2,-0.2281061668290275,0.2,-0.2082418261198181,0.2,-0.1773700565687237,0.2,-0.1544811309025342,0.2,-0.1368297097853699,0.2,-0.1228012353515968,0.2,-0.1113834815816096,0.2,-0.1019093938872537,0.2,-0.08709523879130766,0.2,-0.07604290939248715,0.2,-0.0674807188545999,0.2,-0.06065219100248093,0.2,-0.05507911564006773,0.2,-0.05044436579649011,0.2,-0.04652933619323783
0.21,-0.2284301954966298,0.21,-0.2085677899913436,0.21,-0.1776799944691831,0.21,-0.154767746932137,0.21,-0.1370931932597,0.21,-0.1230437094547874,0.21,-0.1116073918990662,0.21,-0.1021170268669372,0.21,-0.0872760421805102,0.21,-0.07620275652413931,0.21,-0.06762386260010668,0.21,-0.0607817572915809,0.21,-0.05519744994716732,0.21,-0.05055326474219142,0.21,-0.04663020254135686
0.2200000000000001,-0.2286980344928771,0.2200000000000001,-0.2088390124825659,0.2200000000000001,-0.1779371659553565,0.2200000000000001,-0.1550035504192799,0.2200000000000001,-0.13730796296612,0.2200000000000001,-0.1232396245882389,0.2200000000000001,-0.1117868687796971,0.2200000000000001,-0.1022822702402502,0.2200000000000001,-0.08741820785929183,0.2200000000000001,-0.0763272422879413,0.2200000000000001,-0.06773448311419621,0.2200000000000001,-0.06088126065584775,0.2200000000000001,-0.05528786328344365,0.2200000000000001,-0.05063611812612737,0.2200000000000001,-0.04670667536623398
0.2300000000000001,-0.2288957058318549,0.2300000000000001,-0.2090419943039881,0.2300000000000001,-0.1781287412081345,0.2300000000000001,-0.1551762997710191,0.2300000000000001,-0.1374623540363384,0.2300000000000001,-0.1233778785501137,0.2300000000000001,-0.1119113488208404,0.2300000000000001,-0.1023950691351946,0.2300000000000001,-0.08751259893127979,0.2300000000000001,-0.07640802060080168,0.2300000000000001,-0.06780491382827031,0.2300000000000001,-0.06094362046008014,0.2300000000000001,-0.05534378324351127,0.2300000000000001,-0.05068679732884999,0.2300000000000001,-0.0467530161844438
0.2400000000000001,-0.2290063602104586,0.2400000000000001,-0.2091604057502469,0.2400000000000001,-0.1782391587172107,0.2400000000000001,-0.1552711402020374,0.2400000000000001,-0.1375422156781546,0.2400000000000001,-0.1234450105465219,0.2400000000000001,-0.1119680324829719,0.2400000000000001,-0.1024432477794455,0.2400000000000001,-0.08754816384994311,0.2400000000000001,-0.07643500618535573,0.2400000000000001,-0.06782589800859287,0.2400000000000001,-0.06096029312929865,0.2400000000000001,-0.05535728389606294,0.2400000000000001,-0.05069791504999713,0.2400000000000001,-0.04676231069014491
0.2500000000000001,-0.2290099578574508,0.2500000000000001,-0.2091747550518443,0.2500000000000001,-0.1782498004914454,0.2500000000000001,-0.1552703003538935,0.2500000000000001,-0.1375306322297532,0.2500000000000001,-0.1234249458904325,0.2500000000000001,-0.1119416503961992,0.2500000000000001,-0.1024122950972589,0.2500000000000001,-0.08751175412322458,0.2500000000000001,-0.07639621729630519,0.2500000000000001,-0.06778645118397909,0.2500000000000001,-0.06092115032128822,0.2500000000000001,-0.05531897673507841,0.2500000000000001,-0.05066072678370365,0.2500000000000001,-0.04672637901505489
0.2600000000000001,-0.2288830560591123,0.2600000000000001,-0.2090621563544152,0.2600000000000001,-0.1781387654395897,0.2600000000000001,-0.1551528897668067,0.2600000000000001,-0.1374077474966807,0.2600000000000001,-0.1232988453098597,0.2600000000000001,-0.1118143345336816,0.2600000000000001,-0.1022852545880445,0.2600000000000001,-0.08738804347319219,0.2600000000000001,-0.07627771589694943,0.2600000000000001,-0.06767381658136484,0.2600000000000001,-0.06081444561281905,0.2600000000000001,-0.05521798579100159,0.2600000000000001,-0.05056511233020366,0.2600000000000001,-0.04663576216563957
0.2700000000000001,-0.2285987842965148,0.2700000000000001,-0.2087962783011241,0.2700000000000001,-0.1778808224292958,0.2700000000000001,-0.1548948784913786,0.2700000000000001,-0.1371507724921548,0.2700000000000001,-0.1230451371338834,0.2700000000000001,-0.1115656702568982,0.2700000000000001,-0.1020427920182607,0.2700000000000001,-0.08715961689264458,0.2700000000000001,-0.0760637088546571,0.2700000000000001,-0.06747357267474852,0.2700000000000001,-0.06062692479033954,0.2700000000000001,-0.05504205840511875,0.2700000000000001,-0.05039968564461487,0.2700000000000001,-0.046479830075743
0.2800000000000001,-0.2281271053525015,0.2800000000000001,-0.208347573318334,0.2800000000000001,-0.1774476444605085,0.2800000000000001,-0.1544693594358689,0.2800000000000001,-0.1367342748690172,0.2800000000000001,-0.1226398274952121,0.2800000000000001,-0.1111730208140897,0.2800000000000001,-0.1016635288142794,0.2800000000000001,-0.08680731026111388,0.2800000000000001,-0.07573688421288681,0.2800000000000001,-0.0671699610498054,0.2800000000000001,-0.06034414280894731,0.2800000000000001,-0.05477787022804078,0.2800000000000001,-0.05015208762817724,0.2800000000000001,-0.04624706239042594
0.2900000000000001,-0.2274354689272577,0.2900000000000001,-0.2076838981835196,0.2900000000000001,-0.1768084365357642,0.2900000000000001,-0.153847203943919,0.2900000000000001,-0.1361308564835089,0.2900000000000001,-0.1220571900803865,0.2900000000000001,-0.1106122206644594,0.2900000000000001,-0.1011247324397825,0.2900000000000001,-0.08631088238293894,0.2900000000000001,-0.07527905624874544,0.2900000000000001,-0.06674650135709104,0.2900000000000001,-0.0599510483031462,0.2900000000000001,-0.05441158030374522,0.2900000000000001,-0.04980951341238135,0.2900000000000001,-0.04592554980317415
0.3000000000000001,-0.2264899548230614,0.3000000000000001,-0.2067716294240401,0.3000000000000001,-0.1759310627156578,0.3000000000000001,-0.1529982118285006,0.3000000000000001,-0.1353123138378205,0.3000000000000001,-0.1212709231348371,0.3000000000000001,-0.1098587184616157,0.3000000000000001,-0.1004034381858114,0.3000000000000001,-0.08565008278677361,0.3000000000000001,-0.07467217373941185,0.3000000000000001,-0.06618694064204647,0.3000000000000001,-0.05943287719091114,0.3000000000000001,-0.05392967310432056,0.3000000000000001,-0.04935950715214836,0.3000000000000001,-0.04550374575868778
