nch18_Cdd_Cgg (ll=2e-07) X,nch18_Cdd_Cgg (ll=2e-07) Y,nch18_Cdd_Cgg (ll=3e-07) X,nch18_Cdd_Cgg (ll=3e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0.3000000000000001,0.3331277406351927,0.3000000000000001,0.2767092073357251,0.3000000000000001,0.235791978866508,0.3000000000000001,0.2049777618155446,0.3000000000000001,0.1807315086521594,0.3000000000000001,0.1613565156738868,0.3000000000000001,0.1455511293055346,0.3000000000000001,0.13243368252478,0.3000000000000001,0.121387140525534,0.3000000000000001,0.1038478060638607,0.3000000000000001,0.09022306245358229,0.3000000000000001,0.0796188293237004,0.3000000000000001,0.07115462749239665,0.3000000000000001,0.06425647011485444,0.3000000000000001,0.05853571395710391,0.3000000000000001,0.0537206524375323
0.3100000000000001,0.3328136549950599,0.3100000000000001,0.276138087055722,0.3100000000000001,0.2348929665908162,0.3100000000000001,0.2038209637309062,0.3100000000000001,0.1793260198317393,0.3100000000000001,0.159781528909118,0.3100000000000001,0.143865899882545,0.3100000000000001,0.1306813429350371,0.3100000000000001,0.1195987361411388,0.3100000000000001,0.1020475584890016,0.3100000000000001,0.08842971824195248,0.3100000000000001,0.07787054324741759,0.3100000000000001,0.06946944408668959,0.3100000000000001,0.06264168902111092,0.3100000000000001,0.05699288761152922,0.3100000000000001,0.05224829961078449
0.3200000000000001,0.3322632683856609,0.3200000000000001,0.2752498967074789,0.3200000000000001,0.2336097070653844,0.3200000000000001,0.2022445120261395,0.3200000000000001,0.1774844168164798,0.3200000000000001,0.1577726587390064,0.3200000000000001,0.1417596279881382,0.3200000000000001,0.1285263768202056,0.3200000000000001,0.1174286613924047,0.3200000000000001,0.09990877324742302,0.3200000000000001,0.08634638236285722,0.3200000000000001,0.07587367472580372,0.3200000000000001,0.06757014857852835,0.3200000000000001,0.06084130367123133,0.3200000000000001,0.05528806319016701,0.3200000000000001,0.05063358952936266
0.3300000000000001,0.3314248991100039,0.3300000000000001,0.2739835625030436,0.3300000000000001,0.2318816456970536,0.3300000000000001,0.2001955334458889,0.3300000000000001,0.1751672923236085,0.3300000000000001,0.1553039291468856,0.3300000000000001,0.1392182929326519,0.3300000000000001,0.1259648361913484,0.3300000000000001,0.1148812012085457,0.3300000000000001,0.09744756984601796,0.3300000000000001,0.08399804134127326,0.3300000000000001,0.07365780888588677,0.3300000000000001,0.0654884161836853,0.3300000000000001,0.05888761425448429,0.3300000000000001,0.05345331712276204,0.3300000000000001,0.04890789267051145
0.3400000000000001,0.3302431129753483,0.3400000000000001,0.2722775377803037,0.3400000000000001,0.2296541970192269,0.3400000000000001,0.1976329765570309,0.3400000000000001,0.1723520563178111,0.3400000000000001,0.1523689690598347,0.3400000000000001,0.1362486503062265,0.3400000000000001,0.1230136494946705,0.3400000000000001,0.1119809534281236,0.3400000000000001,0.09469828672771505,0.3400000000000001,0.0814244725779059,0.3400000000000001,0.07126430741162856,0.3400000000000001,0.06326522583892352,0.3400000000000001,0.0568202472789619,0.3400000000000001,0.05152648360226769,0.3400000000000001,0.04710709325136774
0.3500000000000001,0.3286618664185855,0.3500000000000001,0.2700749300038541,0.3500000000000001,0.2268853442598524,0.3500000000000001,0.1945343006699138,0.3500000000000001,0.1690384159854074,0.3500000000000001,0.1489848558184398,0.3500000000000001,0.1328804494392229,0.3500000000000001,0.1197114101633554,0.3500000000000001,0.1087724396934148,0.3500000000000001,0.09171144058771408,0.3500000000000001,0.07867717596906651,0.3500000000000001,0.06874285760867538,0.3500000000000001,0.06094735860384614,0.3500000000000001,0.05468276629313439,0.3500000000000001,0.0495479514019872,0.3500000000000001,0.04526859931722968
0.3600000000000002,0.3266289013475608,0.3600000000000002,0.2673297602635971,0.3600000000000002,0.2235523961334568,0.3600000000000002,0.1909011513717676,0.3600000000000002,0.1652517455678738,0.3600000000000002,0.1451932471799933,0.3600000000000002,0.1291657233575333,0.3600000000000002,0.116116272547312,0.3600000000000002,0.1053170036667677,0.3600000000000002,0.08854950731316091,0.3600000000000002,0.07581488327665918,0.3600000000000002,0.06614716896058309,0.3600000000000002,0.05858344831289083,0.3600000000000002,0.05251911591264832,0.3600000000000002,0.04755748717883793,0.3600000000000002,0.04342851119547648
0.3700000000000002,0.3241010846315054,0.3700000000000002,0.2640135630353606,0.3700000000000002,0.2196576302269568,0.3700000000000002,0.186762683472528,0.3700000000000002,0.1610433609919682,0.3700000000000002,0.1410582927348618,0.3700000000000002,0.1251750843385105,0.3700000000000002,0.1123012414674757,0.3700000000000002,0.1016875405315,0.3700000000000002,0.08528135300921166,0.3700000000000002,0.07289851385479749,0.3700000000000002,0.06353060895663837,0.3700000000000002,0.05622026687848461,0.3700000000000002,0.0503704726986297,0.3700000000000002,0.04559156185149592,0.3700000000000002,0.04161934243465854
0.3800000000000002,0.3210500379274866,0.3800000000000002,0.2601211826253941,0.3800000000000002,0.2152315185274102,0.3800000000000002,0.1821755543052584,0.3800000000000002,0.156487387368919,0.3800000000000002,0.1366615873414194,0.3800000000000002,0.1209916907665217,0.3800000000000002,0.1083477662780745,0.3800000000000002,0.0979620943404494,0.3800000000000002,0.0819763855468509,0.3800000000000002,0.06998645982013695,0.3800000000000002,0.06094246319324219,0.3800000000000002,0.05389976157174776,0.3800000000000002,0.04827288803543176,0.3800000000000002,0.04368146368150103,0.3800000000000002,0.03986849951931573
0.3900000000000002,0.3174671380432241,0.3900000000000002,0.255674537704291,0.3900000000000002,0.2103326191994772,0.3900000000000002,0.1772203445604967,0.3900000000000002,0.1516747260448449,0.3900000000000002,0.132095129081876,0.3900000000000002,0.1167040588906036,0.3900000000000002,0.1043388630830132,0.3900000000000002,0.09421750349028744,0.3900000000000002,0.07869940333436751,0.3900000000000002,0.06713086025663423,0.3900000000000002,0.05842524532770174,0.3900000000000002,0.05165710678512056,0.3900000000000002,0.04625587367788535,0.3900000000000002,0.04185227219015473,0.3900000000000002,0.03819754199515213
