nch18_ft  (ll=2e-07) X,nch18_ft  (ll=2e-07) Y,nch18_ft  (ll=3e-07) X,nch18_ft  (ll=3e-07) Y,nch18_ft  (ll=4e-07) X,nch18_ft  (ll=4e-07) Y,nch18_ft  (ll=5e-07) X,nch18_ft  (ll=5e-07) Y,nch18_ft  (ll=6e-07) X,nch18_ft  (ll=6e-07) Y,nch18_ft  (ll=7e-07) X,nch18_ft  (ll=7e-07) Y,nch18_ft  (ll=8e-07) X,nch18_ft  (ll=8e-07) Y,nch18_ft  (ll=9e-07) X,nch18_ft  (ll=9e-07) Y,nch18_ft  (ll=1e-06) X,nch18_ft  (ll=1e-06) Y,nch18_ft  (ll=1.2e-06) X,nch18_ft  (ll=1.2e-06) Y,nch18_ft  (ll=1.4e-06) X,nch18_ft  (ll=1.4e-06) Y,nch18_ft  (ll=1.6e-06) X,nch18_ft  (ll=1.6e-06) Y,nch18_ft  (ll=1.8e-06) X,nch18_ft  (ll=1.8e-06) Y,nch18_ft  (ll=2e-06) X,nch18_ft  (ll=2e-06) Y,nch18_ft  (ll=2.2e-06) X,nch18_ft  (ll=2.2e-06) Y,nch18_ft  (ll=2.4e-06) X,nch18_ft  (ll=2.4e-06) Y
0.3000000000000001,-306718019.1246612,0.3000000000000001,-168751346.332413,0.3000000000000001,-133145261.9043836,0.3000000000000001,-112496144.5360069,0.3000000000000001,-99504587.06994781,0.3000000000000001,-88340772.39556368,0.3000000000000001,-78683629.36797352,0.3000000000000001,-70316991.41059552,0.3000000000000001,-63061146.23702257,0.3000000000000001,-51273249.46084731,0.3000000000000001,-39843309.70466039,0.3000000000000001,-31796537.05174978,0.3000000000000001,-25934443.70470684,0.3000000000000001,-21541473.86354742,0.3000000000000001,-18169840.95564977,0.3000000000000001,-15528565.39711545
0.3100000000000001,-393807263.4390102,0.3100000000000001,-214546798.0473771,0.3100000000000001,-167047422.2794423,0.3100000000000001,-139240864.5381938,0.3100000000000001,-121204498.2348716,0.3100000000000001,-106064448.3389142,0.3100000000000001,-93261090.67651977,0.3100000000000001,-82398989.70174864,0.3100000000000001,-73156555.41466065,0.3100000000000001,-58499049.41294924,0.3100000000000001,-44840570.47217376,0.3100000000000001,-35427721.05990186,0.3100000000000001,-28681352.7049537,0.3100000000000001,-23688824.14243113,0.3100000000000001,-19894332.77326943,0.3100000000000001,-16944644.77194668
0.3200000000000001,-502948460.8570085,0.3200000000000001,-270894663.6641032,0.3200000000000001,-207717535.2869532,0.3200000000000001,-170517096.0620334,0.3200000000000001,-145899648.8007956,0.3200000000000001,-125768133.6061933,0.3200000000000001,-109152965.5008472,0.3200000000000001,-95361067.51748645,0.3200000000000001,-83848969.90489799,0.3200000000000001,-66016253.13903404,0.3200000000000001,-50018877.8998437,0.3200000000000001,-39196585.48631158,0.3200000000000001,-31545635.64597867,0.3200000000000001,-25941536.65741971,0.3200000000000001,-21715371.57736716,0.3200000000000001,-18449869.90403455
0.3300000000000001,-638465091.9799242,0.3300000000000001,-339384019.3929646,0.3300000000000001,-255762552.3045699,0.3300000000000001,-206463246.9446405,0.3300000000000001,-173515691.44772,0.3300000000000001,-147319138.5767202,0.3300000000000001,-126235102.8316867,0.3300000000000001,-109110619.6721948,0.3300000000000001,-95080553.16893338,0.3300000000000001,-73821126.99923466,0.3300000000000001,-55411994.54189894,0.3300000000000001,-43147979.82309823,0.3300000000000001,-34572623.49106932,0.3300000000000001,-28341566.56552924,0.3300000000000001,-23670457.94602842,0.3300000000000001,-20077304.69327646
0.3400000000000001,-804997592.3831437,0.3400000000000001,-421526821.9043156,0.3400000000000001,-311621695.6554169,0.3400000000000001,-247083563.0578074,0.3400000000000001,-203919477.1484766,0.3400000000000001,-170585283.7233151,0.3400000000000001,-144418418.0091806,0.3400000000000001,-123605408.4623266,0.3400000000000001,-106847215.2469726,0.3400000000000001,-81954966.42521703,0.3400000000000001,-61082183.1534875,0.3400000000000001,-47344136.42961992,0.3400000000000001,-37818287.59944115,0.3400000000000001,-30937502.71685443,0.3400000000000001,-25801328.22746037,0.3400000000000001,-21862788.57640624
0.3500000000000001,-1007332470.6888,0.3500000000000001,-518661704.6302938,0.3500000000000001,-375547436.292266,0.3500000000000001,-292281982.241606,0.3500000000000001,-236971427.4110675,0.3500000000000001,-195479809.3318383,0.3500000000000001,-163678634.4925901,0.3500000000000001,-138869203.428202,0.3500000000000001,-119203861.2791566,0.3500000000000001,-90498743.51512255,0.3500000000000001,-67113204.30658171,0.3500000000000001,-51858920.88460271,0.3500000000000001,-41345003.66406876,0.3500000000000001,-33781532.52473707,0.3500000000000001,-28151777.13264472,0.3500000000000001,-23843352.78683476
0.3600000000000002,-1250189590.070669,0.3600000000000002,-631878669.5488319,0.3600000000000002,-447627755.5061654,0.3600000000000002,-341923699.7223558,0.3600000000000002,-272581645.7935133,0.3600000000000002,-221995707.0221801,0.3600000000000002,-184070888.1375201,0.3600000000000002,-154993177.5894632,0.3600000000000002,-132258352.8260251,0.3600000000000002,-99562439.27497013,0.3600000000000002,-73601950.19014858,0.3600000000000002,-56772058.49273635,0.3600000000000002,-45217636.87384577,0.3600000000000002,-36926740.92792524,0.3600000000000002,-30765736.7119543,0.3600000000000002,-26055805.88592139
0.3700000000000002,-1537997096.044394,0.3700000000000002,-761988027.6766253,0.3700000000000002,-527848904.6421977,0.3700000000000002,-395907988.4751931,0.3700000000000002,-310753644.612084,0.3700000000000002,-250220990.1125638,0.3700000000000002,-205727402.0688835,0.3700000000000002,-172125072.282568,0.3700000000000002,-146157694.9258287,0.3700000000000002,-109272304.6647421,0.3700000000000002,-80650196.63366376,0.3700000000000002,-62163856.93888443,0.3700000000000002,-49500039.95330896,0.3700000000000002,-40424667.40296102,0.3700000000000002,-33685483.10390001,0.3700000000000002,-28535354.95529939
0.3800000000000002,-1874692453.120965,0.3800000000000002,-909546488.2410533,0.3800000000000002,-616182490.3184392,0.3800000000000002,-454230821.7737077,0.3800000000000002,-351604479.1333047,0.3800000000000002,-280333342.6319031,0.3800000000000002,-228841497.3184221,0.3800000000000002,-190450739.9204881,0.3800000000000002,-161070727.0170918,0.3800000000000002,-119758504.4263891,0.3800000000000002,-88357240.50658235,0.3800000000000002,-68110558.65759885,0.3800000000000002,-54251896.2320393,0.3800000000000002,-44323009.5375352,0.3800000000000002,-36949868.08937061,0.3800000000000002,-31314181.64700537
0.3900000000000002,-2263583768.744557,0.3900000000000002,-1074934135.589294,0.3900000000000002,-712670494.4005402,0.3900000000000002,-517019848.597935,0.3900000000000002,-395358639.9306191,0.3900000000000002,-312578517.3020685,0.3900000000000002,-253643716.6563091,0.3900000000000002,-210172968.5102554,0.3900000000000002,-177170846.832168,0.3900000000000002,-131144565.1662139,0.3900000000000002,-96813726.58572155,0.3900000000000002,-74680332.66547443,0.3900000000000002,-59525867.95424687,0.3900000000000002,-48663447.27483485,0.3900000000000002,-40592573.66825423,0.3900000000000002,-34419991.7283851
