pch18_Cdd_Cgg (ll=2e-07) X,pch18_Cdd_Cgg (ll=2e-07) Y,pch18_Cdd_Cgg (ll=3e-07) X,pch18_Cdd_Cgg (ll=3e-07) Y,pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y
0.2,0.2991002382074457,0.2,0.2466316551904348,0.2,0.2098247119384741,0.2,0.1825861458361788,0.2,0.1616563397470473,0.2,0.1450325589187762,0.2,0.1315102282672585,0.2,0.1202955162972656,0.2,0.1108441362087259,0.2,0.09579370218567336,0.2,0.08437579436946438,0.2,0.07539156748865637,0.2,0.06813765083967151,0.2,0.06215793927161888,0.2,0.05714370902122619,0.2,0.05287853304793086
0.21,0.2998221915344509,0.21,0.2473949934759266,0.21,0.2105718829074616,0.21,0.1832991100429782,0.21,0.1623247333723631,0.21,0.1456582023651265,0.21,0.1320963916965219,0.21,0.1208457992472626,0.21,0.1113620126930166,0.21,0.09625596924680632,0.21,0.08479225566764717,0.21,0.07577018529330304,0.21,0.06848457528112734,0.21,0.06247798310329309,0.21,0.05744069253611031,0.21,0.05315553113841012
0.2200000000000001,0.3005530395153032,0.2200000000000001,0.2481587078477966,0.2200000000000001,0.211314948874161,0.2200000000000001,0.1840055689823087,0.2200000000000001,0.1629842175764623,0.2200000000000001,0.1462732340758034,0.2200000000000001,0.1326707762000245,0.2200000000000001,0.1213835305058321,0.2200000000000001,0.1118668516781354,0.2200000000000001,0.09670479344396564,0.2200000000000001,0.08519507963864836,0.2200000000000001,0.07613526254553593,0.2200000000000001,0.06881822013446379,0.2200000000000001,0.06278509758861479,0.2200000000000001,0.05772514165851228,0.2200000000000001,0.05342040781925466
0.2300000000000001,0.3012918141578727,0.2300000000000001,0.2489212407718338,0.2300000000000001,0.212051717638654,0.2300000000000001,0.1847028863020038,0.2300000000000001,0.1636312680538466,0.2300000000000001,0.1468734669967188,0.2300000000000001,0.133228723723911,0.2300000000000001,0.121903730123433,0.2300000000000001,0.1123534633393147,0.2300000000000001,0.09713479232187144,0.2300000000000001,0.08557871982359161,0.2300000000000001,0.07648123243715538,0.2300000000000001,0.06913308245560597,0.2300000000000001,0.06307389208369313,0.2300000000000001,0.05799180477317493,0.2300000000000001,0.05366806394498272
0.2400000000000001,0.3020372925983164,0.2400000000000001,0.2496803249003274,0.2400000000000001,0.2127789047914072,0.2400000000000001,0.185387082313054,0.2400000000000001,0.1642606490886861,0.2400000000000001,0.1474527465144363,0.2400000000000001,0.1337634389625001,0.2400000000000001,0.1223991744911002,0.2400000000000001,0.112814353174845,0.2400000000000001,0.09753824420223786,0.2400000000000001,0.0859352617658966,0.2400000000000001,0.07680018355578394,0.2400000000000001,0.06942136638892486,0.2400000000000001,0.06333674936373038,0.2400000000000001,0.05823327676002794,0.2400000000000001,0.05389132210230322
0.2500000000000001,0.3027878750532729,0.2500000000000001,0.2504326793476654,0.2500000000000001,0.2134916781871834,0.2500000000000001,0.186052280122971,0.2500000000000001,0.1648647416723125,0.2500000000000001,0.1480022049992245,0.2500000000000001,0.1342652020240013,0.2500000000000001,0.1228595887016419,0.2500000000000001,0.1132389084716741,0.2500000000000001,0.09790428811074328,0.2500000000000001,0.08625363799742387,0.2500000000000001,0.07708110237102821,0.2500000000000001,0.06967225819582994,0.2500000000000001,0.06356313448321811,0.2500000000000001,0.05843934109363998,0.2500000000000001,0.05408030045111413
0.2600000000000001,0.3035414205641097,0.2600000000000001,0.2511735997035395,0.2600000000000001,0.2141830464350738,0.2600000000000001,0.1866899665408472,0.2600000000000001,0.165432664552833,0.2600000000000001,0.1485093031747303,0.2600000000000001,0.1347203708615148,0.2600000000000001,0.1232706364527388,0.2600000000000001,0.1136123924394991,0.2600000000000001,0.09821795357017687,0.2600000000000001,0.08651869571418436,0.2600000000000001,0.07730898950837246,0.2600000000000001,0.06987109352065847,0.2600000000000001,0.06373881163965206,0.2600000000000001,0.0585962332985832,0.2600000000000001,0.05422171920384744
0.2700000000000001,0.3042950275511915,0.2700000000000001,0.2518964120947663,0.2700000000000001,0.2148430537389156,0.2700000000000001,0.1872880289000969,0.2700000000000001,0.1659491594143621,0.2700000000000001,0.1489566427625885,0.2700000000000001,0.1351101713950314,0.2700000000000001,0.1236127178073539,0.2700000000000001,0.113914767167784,0.2700000000000001,0.09845905836505157,0.2700000000000001,0.0867101720356455,0.2700000000000001,0.07746391664906056,0.2700000000000001,0.06999849196287175,0.2700000000000001,0.06384504959820375,0.2700000000000001,0.0586859098093574,0.2700000000000001,0.05429822583515329
0.2800000000000001,0.3050447436051325,0.2800000000000001,0.2525917597311908,0.2800000000000001,0.2154577472418228,0.2800000000000001,0.1878295397605203,0.2800000000000001,0.166393236399024,0.2800000000000001,0.1493205726940552,0.2800000000000001,0.135409321613933,0.2800000000000001,0.1238596416808566,0.2800000000000001,0.114119429274086,0.2800000000000001,0.09860108277091924,0.2800000000000001,0.08680170890914882,0.2800000000000001,0.07752017123060224,0.2800000000000001,0.07002961524532784,0.2800000000000001,0.06385797692682242,0.2800000000000001,0.05868548559184897,0.2800000000000001,0.05428790253874666
0.2900000000000001,0.3057851869164395,0.2900000000000001,0.2532466936284535,0.2900000000000001,0.2160078991155074,0.2900000000000001,0.1882912911079647,0.2900000000000001,0.1667366288778904,0.2900000000000001,0.1495696829039204,0.2900000000000001,0.1355846220103663,0.2900000000000001,0.1239773361732766,0.2900000000000001,0.1141920452308208,0.2900000000000001,0.09861023863756364,0.2900000000000001,0.08676015422456998,0.2900000000000001,0.07744575053285382,0.2900000000000001,0.069933817013395,0.2900000000000001,0.06374835605283484,0.2900000000000001,0.05856710706676692,0.2900000000000001,0.05416421787058763
