pch18_Vdsat (ll=2e-07) X,pch18_Vdsat (ll=2e-07) Y,pch18_Vdsat (ll=3e-07) X,pch18_Vdsat (ll=3e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0.3000000000000001,-0.04292456842752872,0.3000000000000001,-0.04218770240788561,0.3000000000000001,-0.04171025390834139,0.3000000000000001,-0.04139023966259262,0.3000000000000001,-0.04071725796000054,0.3000000000000001,-0.04022965220849026,0.3000000000000001,-0.03986154138488518,0.3000000000000001,-0.03957440155421561,0.3000000000000001,-0.03934447856010507,0.3000000000000001,-0.0389998250060781,0.3000000000000001,-0.03926589371677455,0.3000000000000001,-0.03947179554902427,0.3000000000000001,-0.03963598845547087,0.3000000000000001,-0.03977005320823113,0.3000000000000001,-0.03988163028177994,0.3000000000000001,-0.03997596822554479
0.3100000000000001,-0.04300454223173072,0.3100000000000001,-0.04232108168517139,0.3100000000000001,-0.04188455702120294,0.3100000000000001,-0.0415933468071174,0.3100000000000001,-0.04095066517715767,0.3100000000000001,-0.04048609495463192,0.3100000000000001,-0.04013610164933049,0.3100000000000001,-0.03986361131518401,0.3100000000000001,-0.03964580235884414,0.3100000000000001,-0.03932007581523146,0.3100000000000001,-0.03960779197767821,0.3100000000000001,-0.03983088668916548,0.3100000000000001,-0.0400090795514925,0.3100000000000001,-0.04015477490474302,0.3100000000000001,-0.04027617397431098,0.3100000000000001,-0.04037892069736276
0.3200000000000001,-0.04310792580214017,0.3200000000000001,-0.0424943568867236,0.3200000000000001,-0.04211087667878067,0.3200000000000001,-0.04185678553217019,0.3200000000000001,-0.04125211625576033,0.3200000000000001,-0.04081628420911344,0.3200000000000001,-0.04048880026530934,0.3200000000000001,-0.04023445242840763,0.3200000000000001,-0.0400316076771386,0.3200000000000001,-0.03972919372251629,0.3200000000000001,-0.04004382328107635,0.3200000000000001,-0.04028824744628227,0.3200000000000001,-0.04048377930528455,0.3200000000000001,-0.04064385946517862,0.3200000000000001,-0.04077739264154619,0.3200000000000001,-0.04089051761668627
0.3300000000000001,-0.0432411120029946,0.3300000000000001,-0.04271831559445988,0.3300000000000001,-0.04240292707851867,0.3300000000000001,-0.04219613850850829,0.3300000000000001,-0.04163862351060348,0.3300000000000001,-0.0412382189053118,0.3300000000000001,-0.04093835509190447,0.3300000000000001,-0.04070618904633459,0.3300000000000001,-0.04052158763852384,0.3300000000000001,-0.04024750237603877,0.3300000000000001,-0.0405951922452825,0.3300000000000001,-0.04086575467791594,0.3300000000000001,-0.0410824945213232,0.3300000000000001,-0.04126014228233355,0.3300000000000001,-0.04140847549532028,0.3300000000000001,-0.04153424526847514
0.3400000000000001,-0.04341201283016511,0.3400000000000001,-0.04300608656302966,0.3400000000000001,-0.04277713741329797,0.3400000000000001,-0.04262986044979727,0.3400000000000001,-0.04213009292341972,0.3400000000000001,-0.04177277227577893,0.3400000000000001,-0.04150632369449485,0.3400000000000001,-0.0413008856408835,0.3400000000000001,-0.04113819592970967,0.3400000000000001,-0.04089801175522257,0.3400000000000001,-0.0412857690654858,0.3400000000000001,-0.0415879255703503,0.3400000000000001,-0.04183024631905882,0.3400000000000001,-0.04202904786656574,0.3400000000000001,-0.04219517712486695,0.3400000000000001,-0.0423361332428551
0.3500000000000001,-0.04363031084931159,0.3500000000000001,-0.04337337013410392,0.3500000000000001,-0.04325276392580282,0.3500000000000001,-0.04317927250502201,0.3500000000000001,-0.04274920234079334,0.3500000000000001,-0.04244347849849524,0.3500000000000001,-0.04221681699071647,0.3500000000000001,-0.04204306138346029,0.3500000000000001,-0.04190625220113564,0.3500000000000001,-0.04170594741060237,0.3500000000000001,-0.04214154506601866,0.3500000000000001,-0.04248131457393869,0.3500000000000001,-0.04275401936414733,0.3500000000000001,-0.04297789950871509,0.3500000000000001,-0.04316509381267228,0.3500000000000001,-0.0433240022659381
0.3600000000000002,-0.04390769951852536,0.3600000000000002,-0.04383855626211833,0.3600000000000002,-0.04385179850649748,0.3600000000000002,-0.04386829220197061,0.3600000000000002,-0.04352097883109369,0.3600000000000002,-0.04327599592910563,0.3600000000000002,-0.04309587483805126,0.3600000000000002,-0.04295899661238037,0.3600000000000002,-0.04285219273207171,0.3600000000000002,-0.04269791666898951,0.3600000000000002,-0.04318971224986501,0.3600000000000002,-0.04357352550649501,0.3600000000000002,-0.04388172002328409,0.3600000000000002,-0.04413483331553181,0.3600000000000002,-0.04434654082454895,0.3600000000000002,-0.04452631041576484
0.3700000000000002,-0.04425808235670671,0.3700000000000002,-0.04442266211057958,0.3700000000000002,-0.04459859432956696,0.3700000000000002,-0.04472282238640589,0.3700000000000002,-0.04447201043575903,0.3700000000000002,-0.04429719374209194,0.3700000000000002,-0.04417046080032749,0.3700000000000002,-0.04407565774794925,0.3700000000000002,-0.04400294066985106,0.3700000000000002,-0.04390069914838257,0.3700000000000002,-0.0444573651398119,0.3700000000000002,-0.04489184623951761,0.3700000000000002,-0.04524075852712401,0.3700000000000002,-0.04552733822231168,0.3700000000000002,-0.0457670578800581,0.3700000000000002,-0.04597062979023694
0.3800000000000002,-0.04469768995427326,0.3800000000000002,-0.04514901639258925,0.3800000000000002,-0.04551914275120406,0.3800000000000002,-0.04576975340019489,0.3800000000000002,-0.04562927079028435,0.3800000000000002,-0.04553386067630094,0.3800000000000002,-0.04546709135543224,0.3800000000000002,-0.04541926955556209,0.3800000000000002,-0.04538443609557692,0.3800000000000002,-0.04533971955891938,0.3800000000000002,-0.04596989881065944,0.3800000000000002,-0.04646159256727207,0.3800000000000002,-0.04685635208013544,0.3800000000000002,-0.04718052748890401,0.3800000000000002,-0.04745165551917475,0.3800000000000002,-0.04768187248884671
0.3900000000000002,-0.04524506394595672,0.3900000000000002,-0.04604262726892399,0.3900000000000002,-0.04663997386349586,0.3900000000000002,-0.04703559186766383,0.3900000000000002,-0.04701860556090594,0.3900000000000002,-0.04701111155736528,0.3900000000000002,-0.04701019558246915,0.3900000000000002,-0.04701364666003566,0.3900000000000002,-0.04701995045167814,0.3900000000000002,-0.04703734605709937,0.3900000000000002,-0.04774926432483077,0.3900000000000002,-0.04830433618832203,0.3900000000000002,-0.0487497346383819,0.3900000000000002,-0.04911533609398468,0.3900000000000002,-0.04942100392262598,0.3900000000000002,-0.04968047343289569
