nch18_Id_W  (ll=2e-07) X,nch18_Id_W  (ll=2e-07) Y,nch18_Id_W  (ll=3e-07) X,nch18_Id_W  (ll=3e-07) Y,nch18_Id_W  (ll=4e-07) X,nch18_Id_W  (ll=4e-07) Y,nch18_Id_W  (ll=5e-07) X,nch18_Id_W  (ll=5e-07) Y,nch18_Id_W  (ll=6e-07) X,nch18_Id_W  (ll=6e-07) Y,nch18_Id_W  (ll=7e-07) X,nch18_Id_W  (ll=7e-07) Y,nch18_Id_W  (ll=8e-07) X,nch18_Id_W  (ll=8e-07) Y,nch18_Id_W  (ll=9e-07) X,nch18_Id_W  (ll=9e-07) Y,nch18_Id_W  (ll=1e-06) X,nch18_Id_W  (ll=1e-06) Y,nch18_Id_W  (ll=1.2e-06) X,nch18_Id_W  (ll=1.2e-06) Y,nch18_Id_W  (ll=1.4e-06) X,nch18_Id_W  (ll=1.4e-06) Y,nch18_Id_W  (ll=1.6e-06) X,nch18_Id_W  (ll=1.6e-06) Y,nch18_Id_W  (ll=1.8e-06) X,nch18_Id_W  (ll=1.8e-06) Y,nch18_Id_W  (ll=2e-06) X,nch18_Id_W  (ll=2e-06) Y,nch18_Id_W  (ll=2.2e-06) X,nch18_Id_W  (ll=2.2e-06) Y,nch18_Id_W  (ll=2.4e-06) X,nch18_Id_W  (ll=2.4e-06) Y
0.2,0.001895677680472828,0.2,0.001119491356396283,0.2,0.000955733821113146,0.2,0.0008742202058358538,0.2,0.0008638270208627287,0.2,0.0008504391955665728,0.2,0.0008354663327267379,0.2,0.0008197431195063661,0.2,0.0008037572912138774,0.2,0.0007720382076794712,0.2,0.0007353694284434484,0.2,0.0007019082889635393,0.2,0.0006713408215583647,0.2,0.0006433334140290259,0.2,0.0006175838523183782,0.2,0.0005938299297565964
0.21,0.002507873358866008,0.21,0.001477965718045637,0.21,0.001260195584519748,0.21,0.001151713938849702,0.21,0.001135365634990151,0.21,0.00111589457070352,0.21,0.001094843563496865,0.21,0.001073141780535905,0.21,0.001051330426140326,0.21,0.00100851350697018,0.21,0.0009569528565107262,0.21,0.0009108541748006949,0.21,0.0008693173792907643,0.21,0.0008316322742967897,0.21,0.0007972395829241942,0.21,0.0007656928784744686
0.2200000000000001,0.003315403467139249,0.2200000000000001,0.00194978712074058,0.2200000000000001,0.00166029889843049,0.2200000000000001,0.00151595526361157,0.2200000000000001,0.001490850835011268,0.2200000000000001,0.001462743121281258,0.2200000000000001,0.00143323969569876,0.2200000000000001,0.001403334490604448,0.2200000000000001,0.001373603763436759,0.2200000000000001,0.001315841805288631,0.2200000000000001,0.001243821840301787,0.2200000000000001,0.001180594970701419,0.2200000000000001,0.001124337917136462,0.2200000000000001,0.001073763573644256,0.2200000000000001,0.001027927435488851,0.2200000000000001,0.0009861119920781568
0.2300000000000001,0.004379436280825959,0.2300000000000001,0.002570099025489327,0.2300000000000001,0.002185438630831582,0.2300000000000001,0.001993422136672984,0.2300000000000001,0.00195556595682432,0.2300000000000001,0.00191525227804726,0.2300000000000001,0.001874024665503635,0.2300000000000001,0.001832881906681891,0.2300000000000001,0.001792398746985991,0.2300000000000001,0.001714530975846597,0.2300000000000001,0.001614551900184948,0.2300000000000001,0.001528206864113508,0.2300000000000001,0.001452264075352069,0.2300000000000001,0.001384574523502289,0.2300000000000001,0.001323627962646508,0.2300000000000001,0.001268314519137519
0.2400000000000001,0.005779723760923142,0.2400000000000001,0.003384602987445798,0.2400000000000001,0.002873731589596715,0.2400000000000001,0.002618368827338673,0.2400000000000001,0.002562095477478739,0.2400000000000001,0.002504605942322611,0.2400000000000001,0.002447158464743459,0.2400000000000001,0.002390649933256578,0.2400000000000001,0.002335588918878115,0.2400000000000001,0.002230705528981336,0.2400000000000001,0.002092720444112169,0.2400000000000001,0.001975305424737438,0.2400000000000001,0.001873131519221447,0.2400000000000001,0.001782787500808719,0.2400000000000001,0.001701945999981491,0.2400000000000001,0.001628937158208139
0.2500000000000001,0.007619967515872153,0.2500000000000001,0.004452567986655695,0.2500000000000001,0.003774456766449374,0.2500000000000001,0.003434967322992578,0.2500000000000001,0.00335229057931763,0.2500000000000001,0.003270733421921518,0.2500000000000001,0.003190908243485727,0.2500000000000001,0.003113432246453835,0.2500000000000001,0.003038640633292847,0.2500000000000001,0.002897511290924712,0.2500000000000001,0.002708139293715865,0.2500000000000001,0.002549151607485189,0.2500000000000001,0.002412157935367464,0.2500000000000001,0.002291929194280968,0.2500000000000001,0.002184974550186739,0.2500000000000001,0.002088834732935249
0.2600000000000001,0.01003459984635911,0.2600000000000001,0.005850621488124779,0.2600000000000001,0.004951111051548899,0.2600000000000001,0.004499974986036388,0.2600000000000001,0.004379702337482768,0.2600000000000001,0.004264562336645995,0.2600000000000001,0.004153955006222532,0.2600000000000001,0.0040479343269829,0.2600000000000001,0.003946491723674803,0.2600000000000001,0.003756820375427703,0.2600000000000001,0.00349834927079801,0.2600000000000001,0.003283991960222349,0.2600000000000001,0.003100963829856251,0.2600000000000001,0.002941455454344836,0.2600000000000001,0.002800340303728897,0.2600000000000001,0.002674058662871846
0.2700000000000001,0.01319729103686932,0.2700000000000001,0.007677491449875785,0.2700000000000001,0.006485206841568752,0.2700000000000001,0.005886031528788468,0.2700000000000001,0.005712569499084501,0.2700000000000001,0.005550771164206489,0.2700000000000001,0.005397957138996524,0.2700000000000001,0.005253179668632741,0.2700000000000001,0.005115823505661646,0.2700000000000001,0.004861283812653663,0.2700000000000001,0.004510419706024703,0.2700000000000001,0.004222672337683972,0.2700000000000001,0.003979042532166192,0.2700000000000001,0.003768105831846815,0.2700000000000001,0.003582462718626836,0.2700000000000001,0.003417035363918007
0.2800000000000001,0.01733153527218683,0.2800000000000001,0.01005989106770754,0.2800000000000001,0.0084809526649866,0.2800000000000001,0.007685698822500832,0.2800000000000001,0.007437455627250791,0.2800000000000001,0.007211123283650309,0.2800000000000001,0.007000643118678459,0.2800000000000001,0.0068034031858294,0.2800000000000001,0.006617785290939653,0.2800000000000001,0.006276782195375694,0.2800000000000001,0.005803099615115563,0.2800000000000001,0.005418568661232736,0.2800000000000001,0.005095520149849569,0.2800000000000001,0.004817526105485708,0.2800000000000001,0.004574062803331049,0.2800000000000001,0.004357978805063591
0.2900000000000001,0.02272370264795429,0.2900000000000001,0.01315975818603108,0.2900000000000001,0.01107097038596624,0.2900000000000001,0.01001636540432107,0.2900000000000001,0.00966363645940204,0.2900000000000001,0.009348469122720304,0.2900000000000001,0.009059509639783046,0.2900000000000001,0.008791500106386595,0.2900000000000001,0.00854123336516646,0.2900000000000001,0.008085326726185211,0.2900000000000001,0.007449370631020976,0.2900000000000001,0.006937882139751435,0.2900000000000001,0.006511250255688836,0.2900000000000001,0.006146201109885264,0.2900000000000001,0.00582796163789084,0.2900000000000001,0.005546575170278633
0.3000000000000001,0.02973896807885277,0.3000000000000001,0.01718307674842467,0.3000000000000001,0.01442321132687346,0.3000000000000001,0.01302614284056233,0.3000000000000001,0.01252834203314067,0.3000000000000001,0.01209150579469291,0.3000000000000001,0.01169620351424309,0.3000000000000001,0.01133310020694016,0.3000000000000001,0.01099654745405102,0.3000000000000001,0.01038846318456959,0.3000000000000001,0.009539453550490965,0.3000000000000001,0.008862348754702024,0.3000000000000001,0.008301290625467592,0.3000000000000001,0.007823742634054706,0.3000000000000001,0.007409210938241058,0.3000000000000001,0.007043979606482363
0.3100000000000001,0.0388405327928256,0.3100000000000001,0.02239051587805058,0.3100000000000001,0.01874923731978531,0.3100000000000001,0.01690088234269753,0.3100000000000001,0.0162029586198894,0.3100000000000001,0.01560038348803634,0.3100000000000001,0.01506166492868858,0.3100000000000001,0.01457133576449982,0.3100000000000001,0.01412008545799596,0.3100000000000001,0.01331122752982474,0.3100000000000001,0.01218431829878997,0.3100000000000001,0.01129241134426963,0.3100000000000001,0.01055780794530453,0.3100000000000001,0.009935575595190847,0.3100000000000001,0.00939759613752561,0.3100000000000001,0.008925162907414427
0.3200000000000001,0.05061253316223772,0.3200000000000001,0.02911012049630049,0.3200000000000001,0.02431402967222104,0.3200000000000001,0.02187243586788104,0.3200000000000001,0.02090029119501647,0.3200000000000001,0.02007324282020788,0.3200000000000001,0.01934210346329136,0.3200000000000001,0.01868236407929675,0.3200000000000001,0.01807932829739025,0.3200000000000001,0.01700669013271883,0.3200000000000001,0.01551973705458653,0.3200000000000001,0.01435089306001576,0.3200000000000001,0.01339344685377424,0.3200000000000001,0.01258605594566367,0.3200000000000001,0.01189054245050981,0.3200000000000001,0.01128163570986861
0.3300000000000001,0.06578697710344748,0.3300000000000001,0.03775227287390794,0.3300000000000001,0.03144747707447874,0.3300000000000001,0.02822827386977261,0.3300000000000001,0.02688297467257254,0.3300000000000001,0.02575375307627709,0.3300000000000001,0.02476586159340668,0.3300000000000001,0.02388168616843234,0.3300000000000001,0.02307874493193611,0.3300000000000001,0.02166109937135737,0.3300000000000001,0.01971089556660238,0.3300000000000001,0.01818718682790422,0.3300000000000001,0.01694517571770907,0.3300000000000001,0.01590202984120445,0.3300000000000001,0.01500643046760614,0.3300000000000001,0.01422455389119415
0.3400000000000001,0.08527495165815713,0.3400000000000001,0.04882711318504004,0.3400000000000001,0.04055766841730131,0.3400000000000001,0.03632254670532151,0.3400000000000001,0.03447309460802484,0.3400000000000001,0.03293968963987992,0.3400000000000001,0.0316111843125584,0.3400000000000001,0.03043126289999873,0.3400000000000001,0.02936636351703289,0.3400000000000001,0.02749958536615671,0.3400000000000001,0.0249575295236453,0.3400000000000001,0.02298192844415683,0.3400000000000001,0.02137857545120041,0.3400000000000001,0.02003679833298646,0.3400000000000001,0.01888828336741703,0.3400000000000001,0.01788816521743912
0.3500000000000001,0.1102021954889251,0.3500000000000001,0.06296455205293366,0.3500000000000001,0.05214606997052005,0.3500000000000001,0.04658862838641,0.3500000000000001,0.04406302350479031,0.3500000000000001,0.04199252704246756,0.3500000000000001,0.04021484494863645,0.3500000000000001,0.03864735575681835,0.3500000000000001,0.03724095632214524,0.3500000000000001,0.03479230110831693,0.3500000000000001,0.0314994722097745,0.3500000000000001,0.02895204305340376,0.3500000000000001,0.02689246240289388,0.3500000000000001,0.02517437904669552,0.3500000000000001,0.02370771742743883,0.3500000000000001,0.02243348918507342
0.3600000000000002,0.1419489089152971,0.3600000000000002,0.08093691599743112,0.3600000000000002,0.06682458295891655,0.3600000000000002,0.05955309300316727,0.3600000000000002,0.05612737947545315,0.3600000000000002,0.05334791489588156,0.3600000000000002,0.0509814609068678,0.3600000000000002,0.04890889851032235,0.3600000000000002,0.04705962278072114,0.3600000000000002,0.04386075518565174,0.3600000000000002,0.03962238177248452,0.3600000000000002,0.03635594240696238,0.3600000000000002,0.03372362941112112,0.3600000000000002,0.03153385453541599,0.3600000000000002,0.02966895057479703,0.3600000000000002,0.02805202958760649
0.3700000000000002,0.182193351053425,0.3700000000000002,0.1036841140941143,0.3700000000000002,0.08533433276298093,0.3700000000000002,0.07585092230249996,0.3700000000000002,0.07123584905532601,0.3700000000000002,0.06752673114687029,0.3700000000000002,0.06439315746889646,0.3700000000000002,0.06166603166380553,0.3700000000000002,0.05924538461754863,0.3700000000000002,0.0550839328269126,0.3700000000000002,0.04966326712677009,0.3700000000000002,0.04549851023182239,0.3700000000000002,0.04215135810464318,0.3700000000000002,0.03937347444922072,0.3700000000000002,0.03701254898880519,0.3700000000000002,0.0349692117615128
0.3800000000000002,0.2329583005961064,0.3800000000000002,0.1323409651300287,0.3800000000000002,0.1085658032850197,0.3800000000000002,0.09624150318249558,0.3800000000000002,0.0900663702403644,0.3800000000000002,0.08514616486818707,0.3800000000000002,0.08101900568682419,0.3800000000000002,0.07744821352629139,0.3800000000000002,0.07429420512009542,0.3800000000000002,0.06890363375870737,0.3800000000000002,0.06201527383808038,0.3800000000000002,0.05673536786342522,0.3800000000000002,0.0525012226532113,0.3800000000000002,0.04899405721804757,0.3800000000000002,0.04601848069614682,0.3800000000000002,0.04344713472620849
0.3900000000000002,0.2966587730554441,0.3900000000000002,0.168265935618122,0.3900000000000002,0.1375795713130307,0.3900000000000002,0.121624634493162,0.3900000000000002,0.1134178506006873,0.3900000000000002,0.1069299883051705,0.3900000000000002,0.1015234012564878,0.3900000000000002,0.09687109680144143,0.3900000000000002,0.09278065255351733,0.3900000000000002,0.08582832171463879,0.3900000000000002,0.07713106763173365,0.3900000000000002,0.07047580179852347,0.3900000000000002,0.06514760796281779,0.3900000000000002,0.06074115205472756,0.3900000000000002,0.05700797126123072,0.3900000000000002,0.05378616436475628
0.4000000000000002,0.3761484439484867,0.4000000000000002,0.2130699769849852,0.4000000000000002,0.1736264124807889,0.4000000000000002,0.153055345281336,0.4000000000000002,0.142221241848757,0.4000000000000002,0.1337168916498018,0.4000000000000002,0.126672328507995,0.4000000000000002,0.1206411936087761,0.4000000000000002,0.1153613110130774,0.4000000000000002,0.106434741119906,0.4000000000000002,0.09552411821143228,0.4000000000000002,0.08718370900835115,0.4000000000000002,0.08051434948984977,0.4000000000000002,0.0750054156657073,0.4000000000000002,0.07034365859090076,0.4000000000000002,0.06632490289329726
0.4100000000000002,0.4747610395851294,0.4100000000000002,0.2686434258239599,0.4100000000000002,0.2181649926988941,0.4100000000000002,0.1917559073018397,0.4100000000000002,0.1775474976951282,0.4100000000000002,0.1664655684470162,0.4100000000000002,0.157336357886478,0.4100000000000002,0.1495573278427086,0.4100000000000002,0.1427750742786395,0.4100000000000002,0.1313666656868434,0.4100000000000002,0.1177672889193163,0.4100000000000002,0.107376018282533,0.4100000000000002,0.09907300581618249,0.4100000000000002,0.09222076388414766,0.4100000000000002,0.0864276512492228,0.4100000000000002,0.08143817828108574
0.4200000000000002,0.5963416763761133,0.4200000000000002,0.337178141210203,0.4200000000000002,0.2728748531761532,0.4200000000000002,0.2391231378462714,0.4200000000000002,0.2206108341145438,0.4200000000000002,0.2062552654007485,0.4200000000000002,0.1944893467138814,0.4200000000000002,0.1845080615188431,0.4200000000000002,0.1758396906135316,0.4200000000000002,0.1613304221790678,0.4200000000000002,0.1444883972566794,0.4200000000000002,0.1316182917758031,0.4200000000000002,0.121338510307812,0.4200000000000002,0.112860084418941,0.4200000000000002,0.1056973123262347,0.4200000000000002,0.09953290716536746
0.4300000000000002,0.7452621002870961,0.4300000000000002,0.4211814080989635,0.4300000000000002,0.3396621405911624,0.4300000000000002,0.2967291002453379,0.4300000000000002,0.2727659141106082,0.4300000000000002,0.2542808300952358,0.4300000000000002,0.2392021983349102,0.4300000000000002,0.2264646990267679,0.4300000000000002,0.2154443541076097,0.4300000000000002,0.1970872455637171,0.4300000000000002,0.1763627963856145,0.4300000000000002,0.1605175703203216,0.4300000000000002,0.1478622846044895,0.4300000000000002,0.1374286127947514,0.4300000000000002,0.1286188882914011,0.4300000000000002,0.1210419654440467
