nch18_Vgs_Vth  (ll=2e-07) X,nch18_Vgs_Vth  (ll=2e-07) Y,nch18_Vgs_Vth  (ll=3e-07) X,nch18_Vgs_Vth  (ll=3e-07) Y,nch18_Vgs_Vth  (ll=4e-07) X,nch18_Vgs_Vth  (ll=4e-07) Y,nch18_Vgs_Vth  (ll=5e-07) X,nch18_Vgs_Vth  (ll=5e-07) Y,nch18_Vgs_Vth  (ll=6e-07) X,nch18_Vgs_Vth  (ll=6e-07) Y,nch18_Vgs_Vth  (ll=7e-07) X,nch18_Vgs_Vth  (ll=7e-07) Y,nch18_Vgs_Vth  (ll=8e-07) X,nch18_Vgs_Vth  (ll=8e-07) Y,nch18_Vgs_Vth  (ll=9e-07) X,nch18_Vgs_Vth  (ll=9e-07) Y,nch18_Vgs_Vth  (ll=1e-06) X,nch18_Vgs_Vth  (ll=1e-06) Y,nch18_Vgs_Vth  (ll=1.2e-06) X,nch18_Vgs_Vth  (ll=1.2e-06) Y,nch18_Vgs_Vth  (ll=1.4e-06) X,nch18_Vgs_Vth  (ll=1.4e-06) Y,nch18_Vgs_Vth  (ll=1.6e-06) X,nch18_Vgs_Vth  (ll=1.6e-06) Y,nch18_Vgs_Vth  (ll=1.8e-06) X,nch18_Vgs_Vth  (ll=1.8e-06) Y,nch18_Vgs_Vth  (ll=2e-06) X,nch18_Vgs_Vth  (ll=2e-06) Y,nch18_Vgs_Vth  (ll=2.2e-06) X,nch18_Vgs_Vth  (ll=2.2e-06) Y,nch18_Vgs_Vth  (ll=2.4e-06) X,nch18_Vgs_Vth  (ll=2.4e-06) Y
0.3000000000000001,-0.2437538831523093,0.3000000000000001,-0.2381143100411577,0.3000000000000001,-0.2288383309064776,0.3000000000000001,-0.2213483521005297,0.3000000000000001,-0.2144143474101722,0.3000000000000001,-0.2088102426770034,0.3000000000000001,-0.2041544618177972,0.3000000000000001,-0.2002027459742072,0.3000000000000001,-0.1967916611420604,0.3000000000000001,-0.1911671991490675,0.3000000000000001,-0.186746071091803,0.3000000000000001,-0.1830497455378785,0.3000000000000001,-0.179908741178913,0.3000000000000001,-0.1772030802544969,0.3000000000000001,-0.174845535642699,0.3000000000000001,-0.1727711270587629
0.3100000000000001,-0.2337541250223881,0.3100000000000001,-0.2281144447939797,0.3100000000000001,-0.2188384421631349,0.3100000000000001,-0.2113484514148526,0.3100000000000001,-0.204414441603149,0.3100000000000001,-0.1988103326332016,0.3100000000000001,-0.1941545481164623,0.3100000000000001,-0.1902028290351382,0.3100000000000001,-0.1867917412883697,0.3100000000000001,-0.1811672741986345,0.3100000000000001,-0.1767461392008174,0.3100000000000001,-0.1730498082595096,0.3100000000000001,-0.1699087995315453,0.3100000000000001,-0.1672031349525527,0.3100000000000001,-0.1648455872133651,0.3100000000000001,-0.1627711759064641
0.3200000000000001,-0.2237544378580065,0.3200000000000001,-0.2181146186770396,0.3200000000000001,-0.2088385852783318,0.3200000000000001,-0.2013485788418365,0.3200000000000001,-0.1944145620118082,0.3200000000000001,-0.1888104473027304,0.3200000000000001,-0.1841546578773602,0.3200000000000001,-0.1802029344832389,0.3200000000000001,-0.1767918428778684,0.3200000000000001,-0.1711673690892217,0.3200000000000001,-0.1667462250925659,0.3200000000000001,-0.1630498872010729,0.3200000000000001,-0.1599088728600209,0.3200000000000001,-0.1572032036019729,0.3200000000000001,-0.1548456518703009,0.3200000000000001,-0.1527712370957529
0.3300000000000001,-0.2137548411118437,0.3300000000000001,-0.2081148423097515,0.3300000000000001,-0.1988387687361128,0.3300000000000001,-0.1913487417496837,0.3300000000000001,-0.1844147153683606,0.3300000000000001,-0.1788105929324594,0.3300000000000001,-0.1741547969557372,0.3300000000000001,-0.1702030678461059,0.3300000000000001,-0.1667919711569726,0.3300000000000001,-0.161167488603229,0.3300000000000001,-0.1567463330208046,0.3300000000000001,-0.153049986218496,0.3300000000000001,-0.1499089647062792,0.3300000000000001,-0.147203289488162,0.3300000000000001,-0.1448457326838101,0.3300000000000001,-0.1427713135129503
0.3400000000000001,-0.2037553589954503,0.3400000000000001,-0.1981151288929335,0.3400000000000001,-0.1888390030316509,0.3400000000000001,-0.1813489492156603,0.3400000000000001,-0.1744149099289286,0.3400000000000001,-0.1688107771563508,0.3400000000000001,-0.1641549724864457,0.3400000000000001,-0.16020323584303,0.3400000000000001,-0.1567921324897718,0.3400000000000001,-0.1511676385214383,0.3400000000000001,-0.1467464681289971,0.3400000000000001,-0.143050109974105,0.3400000000000001,-0.139909079352168,0.3400000000000001,-0.1372033965817214,0.3400000000000001,-0.134845833363331,0.3400000000000001,-0.132771408643991
0.3500000000000001,-0.1937560214245288,0.3500000000000001,-0.1881154947266516,0.3500000000000001,-0.1788393010615661,0.3500000000000001,-0.1713492123476134,0.3500000000000001,-0.1644151557513027,0.3500000000000001,-0.158811009241387,0.3500000000000001,-0.1541551931051381,0.3500000000000001,-0.1502034465860938,0.3500000000000001,-0.1467923345423762,0.3500000000000001,-0.1411678257806994,0.3500000000000001,-0.1367466365931644,0.3500000000000001,-0.1330502640668705,0.3500000000000001,-0.1299092219389771,0.3500000000000001,-0.1272035296488305,0.3500000000000001,-0.1248459583598799,0.3500000000000001,-0.1227715266699723
0.3600000000000002,-0.1837568650767801,0.3600000000000002,-0.1781159597961897,0.3600000000000002,-0.1688396785625934,0.3600000000000002,-0.161349544642183,0.3600000000000002,-0.1544154650014839,0.3600000000000002,-0.1488113003561297,0.3600000000000002,-0.1441554691871286,0.3600000000000002,-0.1402037097949139,0.3600000000000002,-0.1367925864774801,0.3600000000000002,-0.1311680586365309,0.3600000000000002,-0.1267468457693685,0.3600000000000002,-0.12305045516655,0.3600000000000002,-0.1199093985900504,0.3600000000000002,-0.1172036943638691,0.3600000000000002,-0.1148461129700232,0.3600000000000002,-0.1127716725635534
0.3700000000000002,-0.1737579345503731,0.3700000000000002,-0.1681165484232479,0.3700000000000002,-0.1588401545947755,0.3700000000000002,-0.1513499623745666,0.3700000000000002,-0.144415852282349,0.3700000000000002,-0.1388116638540769,0.3700000000000002,-0.1341558130951788,0.3700000000000002,-0.130204037015522,0.3700000000000002,-0.1267928991492384,0.3700000000000002,-0.1211683468202931,0.3700000000000002,-0.1167471043360124,0.3700000000000002,-0.1130506911423587,0.3700000000000002,-0.1099096165274543,0.3700000000000002,-0.1072038974156621,0.3700000000000002,-0.1048463034330432,0.3700000000000002,-0.1027718521782102
0.3800000000000002,-0.1637592835984434,0.3800000000000002,-0.1581172899730041,0.3800000000000002,-0.1488407520592309,0.3800000000000002,-0.1413504850085358,0.3800000000000002,-0.1344163349715543,0.3800000000000002,-0.1288121155577627,0.3800000000000002,-0.1241562394215063,0.3800000000000002,-0.1202044418284124,0.3800000000000002,-0.1167932852833546,0.3800000000000002,-0.1111687016762292,0.3800000000000002,-0.1067474224170598,0.3800000000000002,-0.1030509811730626,0.3800000000000002,-0.0999098841703463,0.3800000000000002,-0.09720414659557558,0.3800000000000002,-0.09484653701013124,0.3800000000000002,-0.09277207231968526
0.3900000000000002,-0.1537609763969035,0.3900000000000002,-0.1481182195976876,0.3900000000000002,-0.1388414982313474,0.3900000000000002,-0.1313511356066515,0.3900000000000002,-0.1244169335475103,0.3900000000000002,-0.1188126740220763,0.3900000000000002,-0.1141567652025979,0.3900000000000002,-0.1102049400248942,0.3900000000000002,-0.106793759622374,0.3900000000000002,-0.1011691362603024,0.3900000000000002,-0.09674781166916613,0.3900000000000002,-0.09305133582252628,0.3900000000000002,-0.08991021120007719,0.3900000000000002,-0.08720445085351425,0.3900000000000002,-0.08484682203250843,0.3900000000000002,-0.0827723407873639
