pch18_Vgs_Vth (ll=2e-07) X,pch18_Vgs_Vth (ll=2e-07) Y,pch18_Vgs_Vth (ll=3e-07) X,pch18_Vgs_Vth (ll=3e-07) Y,pch18_Vgs_Vth (ll=4e-07) X,pch18_Vgs_Vth (ll=4e-07) Y,pch18_Vgs_Vth (ll=5e-07) X,pch18_Vgs_Vth (ll=5e-07) Y,pch18_Vgs_Vth (ll=6e-07) X,pch18_Vgs_Vth (ll=6e-07) Y,pch18_Vgs_Vth (ll=7e-07) X,pch18_Vgs_Vth (ll=7e-07) Y,pch18_Vgs_Vth (ll=8e-07) X,pch18_Vgs_Vth (ll=8e-07) Y,pch18_Vgs_Vth (ll=9e-07) X,pch18_Vgs_Vth (ll=9e-07) Y,pch18_Vgs_Vth (ll=1e-06) X,pch18_Vgs_Vth (ll=1e-06) Y,pch18_Vgs_Vth (ll=1.2e-06) X,pch18_Vgs_Vth (ll=1.2e-06) Y,pch18_Vgs_Vth (ll=1.4e-06) X,pch18_Vgs_Vth (ll=1.4e-06) Y,pch18_Vgs_Vth (ll=1.6e-06) X,pch18_Vgs_Vth (ll=1.6e-06) Y,pch18_Vgs_Vth (ll=1.8e-06) X,pch18_Vgs_Vth (ll=1.8e-06) Y,pch18_Vgs_Vth (ll=2e-06) X,pch18_Vgs_Vth (ll=2e-06) Y,pch18_Vgs_Vth (ll=2.2e-06) X,pch18_Vgs_Vth (ll=2.2e-06) Y,pch18_Vgs_Vth (ll=2.4e-06) X,pch18_Vgs_Vth (ll=2.4e-06) Y
0.2,0.3558282146432852,0.2,0.3274507468342368,0.2,0.314128015289626,0.2,0.3066679273726176,0.2,0.2994436799281389,0.2,0.294438931089352,0.2,0.290751737438595,0.2,0.2879131964982437,0.2,0.2856548928766936,0.2,0.2822765604875217,0.2,0.2788191789771664,0.2,0.2762318544427076,0.2,0.2742192213236139,0.2,0.2726068900501369,0.2,0.2712850289604884,0.2,0.2701808969354629
0.21,0.3458282342869992,0.21,0.3174507609293782,0.21,0.3041280269359645,0.21,0.2966679372491523,0.21,0.2894436892833601,0.21,0.2844389398353639,0.21,0.2807517455868445,0.21,0.2779132040933136,0.21,0.2756548999713382,0.21,0.2722765667313831,0.21,0.2688191845633331,0.21,0.2662318594877784,0.21,0.2642192259186599,0.21,0.2626068942663614,0.21,0.2612850328541087,0.21,0.260180900551407
0.2200000000000001,0.3358282601283815,0.2200000000000001,0.3074507797067108,0.2200000000000001,0.2941280425230619,0.2200000000000001,0.2866679504990098,0.2200000000000001,0.2794437018115672,0.2200000000000001,0.2744389515333285,0.2200000000000001,0.270751756475425,0.2200000000000001,0.2679132142356169,0.2200000000000001,0.2656549094401535,0.2200000000000001,0.2622765750578496,0.2200000000000001,0.2588191920090181,0.2200000000000001,0.2562318662097275,0.2200000000000001,0.254219232039215,0.2200000000000001,0.2526068998810138,0.2200000000000001,0.2512850380381559,0.2200000000000001,0.2501809053649759
0.2300000000000001,0.3258282940960712,0.2300000000000001,0.2974508046956402,0.2300000000000001,0.2841280633592868,0.2300000000000001,0.2766679682510703,0.2300000000000001,0.2694437185656885,0.2300000000000001,0.2644389671570641,0.2300000000000001,0.2607517710043915,0.2300000000000001,0.257913227758953,0.2300000000000001,0.2556549220581896,0.2300000000000001,0.2522765861440341,0.2300000000000001,0.2488192019172967,0.2300000000000001,0.2462318751513812,0.2300000000000001,0.2442192401783863,0.2300000000000001,0.2426069073455918,0.2300000000000001,0.2412850449288589,0.2300000000000001,0.2401809117621518
0.2400000000000001,0.3158283387064023,0.2400000000000001,0.287450837912106,0.2400000000000001,0.2741280911744729,0.2400000000000001,0.2666679919998336,0.2400000000000001,0.2594437409360388,0.2400000000000001,0.2544389879900767,0.2400000000000001,0.2507517903584262,0.2400000000000001,0.2479132457596563,0.2400000000000001,0.2456549388436824,0.2400000000000001,0.2422766008783982,0.2400000000000001,0.2388192150789009,0.2400000000000001,0.2362318870240789,0.2400000000000001,0.2342192509820808,0.2400000000000001,0.2326069172513007,0.2400000000000001,0.2312850540710877,0.2400000000000001,0.2301809202480959
0.2500000000000001,0.3058283972365539,0.2500000000000001,0.2774508820067829,0.2500000000000001,0.2641281282490132,0.2500000000000001,0.2566680237174914,0.2500000000000001,0.2494437707522768,0.2500000000000001,0.2444390157182169,0.2500000000000001,0.2407518160913624,0.2500000000000001,0.2379132696740959,0.2500000000000001,0.2356549611295141,0.2500000000000001,0.2322766204224131,0.2500000000000001,0.2288192325267612,0.2500000000000001,0.2262319027565309,0.2500000000000001,0.224219265293222,0.2500000000000001,0.2226069303694097,0.2500000000000001,0.2212850661754664,0.2500000000000001,0.2201809314814877
0.2600000000000001,0.2958284739459293,0.2600000000000001,0.2674509404551293,0.2600000000000001,0.2541281775791541,0.2600000000000001,0.2466680659971772,0.2600000000000001,0.239443810413125,0.2600000000000001,0.2344390525471948,0.2600000000000001,0.230751850233137,0.2600000000000001,0.2279133013765874,0.2600000000000001,0.2256549906533643,0.2600000000000001,0.2222766462882115,0.2600000000000001,0.2188192556046579,0.2600000000000001,0.2162319235562548,0.2600000000000001,0.214219284207323,0.2600000000000001,0.2126069477019778,0.2600000000000001,0.2112850821650046,0.2600000000000001,0.2101809463176801
0.2700000000000001,0.2858285743578595,0.2700000000000001,0.2574510177995285,0.2700000000000001,0.2441282430869588,0.2700000000000001,0.2366681222344524,0.2700000000000001,0.2294438630499754,0.2700000000000001,0.2244391013503272,0.2700000000000001,0.2207518954239584,0.2700000000000001,0.2179133433020098,0.2700000000000001,0.2156550296704442,0.2700000000000001,0.2122766804354833,0.2700000000000001,0.2088192860528227,0.2700000000000001,0.206231950986208,0.2700000000000001,0.2042193091417919,0.2700000000000001,0.202606970545081,0.2700000000000001,0.201285103233244,0.2700000000000001,0.2001809658624867
0.2800000000000001,0.2758287056162444,0.2800000000000001,0.2474511199555577,0.2800000000000001,0.234128329884739,0.2800000000000001,0.2266681968550786,0.2800000000000001,0.2194439327312374,0.2800000000000001,0.2144391658524883,0.2800000000000001,0.2107519550809756,0.2800000000000001,0.2079133985978338,0.2800000000000001,0.2056550810931088,0.2800000000000001,0.2022767253912233,0.2800000000000001,0.1988193261137421,0.2800000000000001,0.1962319870594406,0.2800000000000001,0.1942193419215519,0.2800000000000001,0.1926070005669533,0.2800000000000001,0.1912851309160725,0.2800000000000001,0.1901809915386473
0.2900000000000001,0.2658288769344093,0.2900000000000001,0.2374512545961197,0.2900000000000001,0.2241284446047955,0.2900000000000001,0.2166682955977384,0.2900000000000001,0.2094440247147817,0.2900000000000001,0.2044392508566367,0.2900000000000001,0.2007520336030177,0.2900000000000001,0.1979134713105845,0.2900000000000001,0.1956551486618243,0.2900000000000001,0.1922767843960876,0.2900000000000001,0.1888193786614509,0.2900000000000001,0.1862320343548262,0.2900000000000001,0.1842193848837243,0.2900000000000001,0.1826070399035216,0.2900000000000001,0.1812851671795973,0.2900000000000001,0.1801810251671254
0.3000000000000001,0.2558291001563879,0.3000000000000001,0.2274514316288276,0.3000000000000001,0.2141285958060568,0.3000000000000001,0.2066684258607323,0.3000000000000001,0.1994441457559871,0.3000000000000001,0.1944393625193222,0.3000000000000001,0.1907521366190563,0.3000000000000001,0.1879135666116937,0.3000000000000001,0.1856552371519911,0.3000000000000001,0.1822768615810603,0.3000000000000001,0.1788194473576851,0.3000000000000001,0.1762320961568789,0.3000000000000001,0.1742194410041424,0.3000000000000001,0.1726070912739023,0.3000000000000001,0.1712852145263508,0.3000000000000001,0.1701810690654272
0.3100000000000001,0.2458293904537189,0.3100000000000001,0.2174516637831116,0.3100000000000001,0.2041287944693529,0.3100000000000001,0.1966685971212133,0.3100000000000001,0.189444304478397,0.3100000000000001,0.1844395086810973,0.3100000000000001,0.1807522712854326,0.3100000000000001,0.1779136910671771,0.3100000000000001,0.1756553526204713,0.3100000000000001,0.1722769621775301,0.3100000000000001,0.1688195368376721,0.3100000000000001,0.166232176622152,0.3100000000000001,0.1642195140479788,0.3100000000000001,0.1626071581179411,0.3100000000000001,0.1612852761218101,0.3100000000000001,0.1601811261647024
0.3200000000000001,0.235829767183597,0.3200000000000001,0.2074519673238676,0.3200000000000001,0.1941290545920649,0.3200000000000001,0.1866688214340093,0.3200000000000001,0.1794445118124161,0.3200000000000001,0.1744396992561015,0.3200000000000001,0.1707524466352928,0.3200000000000001,0.1679138529539349,0.3200000000000001,0.1656555026942188,0.3200000000000001,0.1622770927624696,0.3200000000000001,0.1588196529270029,0.3200000000000001,0.156232280973523,0.3200000000000001,0.1542196087455907,0.3200000000000001,0.1526072447567628,0.3200000000000001,0.1512853559420778,0.3200000000000001,0.1501812001464369
0.3300000000000001,0.2258302549364,0.3300000000000001,0.1974523629074889,0.3300000000000001,0.1841293938902777,0.3300000000000001,0.1766691140137887,0.3300000000000001,0.1694447815040654,0.3300000000000001,0.164439946681702,0.3300000000000001,0.1607526739803675,0.3300000000000001,0.1579140626222418,0.3300000000000001,0.1556556969001018,0.3300000000000001,0.1522772615373121,0.3300000000000001,0.1488198028881954,0.3300000000000001,0.146232415720903,0.3300000000000001,0.1442197309921506,0.3300000000000001,0.1426073565749023,0.3300000000000001,0.1412854589412557,0.3300000000000001,0.1401812955972522
0.3400000000000001,0.2158308848018492,0.3400000000000001,0.1874528765927852,0.3400000000000001,0.1741298346110686,0.3400000000000001,0.1666694938979746,0.3400000000000001,0.1594451306894373,0.3400000000000001,0.1544402664227323,0.3400000000000001,0.1507529673588517,0.3400000000000001,0.147914332897814,0.3400000000000001,0.1456559470291273,0.3400000000000001,0.1422774786336505,0.3400000000000001,0.1388199956902307,0.3400000000000001,0.1362325889018947,0.3400000000000001,0.1342198880648,0.3400000000000001,0.1326075002180048,0.3400000000000001,0.1312855912328081,0.3400000000000001,0.1301814181763614
