nch18_gm_Id (ll=2e-07) X,nch18_gm_Id (ll=2e-07) Y,nch18_gm_Id (ll=3e-07) X,nch18_gm_Id (ll=3e-07) Y,nch18_gm_Id (ll=4e-07) X,nch18_gm_Id (ll=4e-07) Y,nch18_gm_Id (ll=5e-07) X,nch18_gm_Id (ll=5e-07) Y,nch18_gm_Id (ll=6e-07) X,nch18_gm_Id (ll=6e-07) Y,nch18_gm_Id (ll=7e-07) X,nch18_gm_Id (ll=7e-07) Y,nch18_gm_Id (ll=8e-07) X,nch18_gm_Id (ll=8e-07) Y,nch18_gm_Id (ll=9e-07) X,nch18_gm_Id (ll=9e-07) Y,nch18_gm_Id (ll=1e-06) X,nch18_gm_Id (ll=1e-06) Y,nch18_gm_Id (ll=1.2e-06) X,nch18_gm_Id (ll=1.2e-06) Y,nch18_gm_Id (ll=1.4e-06) X,nch18_gm_Id (ll=1.4e-06) Y,nch18_gm_Id (ll=1.6e-06) X,nch18_gm_Id (ll=1.6e-06) Y,nch18_gm_Id (ll=1.8e-06) X,nch18_gm_Id (ll=1.8e-06) Y,nch18_gm_Id (ll=2e-06) X,nch18_gm_Id (ll=2e-06) Y,nch18_gm_Id (ll=2.2e-06) X,nch18_gm_Id (ll=2.2e-06) Y,nch18_gm_Id (ll=2.4e-06) X,nch18_gm_Id (ll=2.4e-06) Y
0.2400000000000001,27.69526572248549,0.2400000000000001,27.47932368441311,0.2400000000000001,27.32463154223526,0.2400000000000001,27.21050261411101,0.2400000000000001,26.9510748141625,0.2400000000000001,26.7611797862615,0.2400000000000001,26.61385450222575,0.2400000000000001,26.4948483297528,0.2400000000000001,26.39584943761349,0.2400000000000001,26.23876717174205,0.2400000000000001,25.86315746384118,0.2400000000000001,25.58607905016389,0.2400000000000001,25.37259723504297,0.2400000000000001,25.2026671885699,0.2400000000000001,25.06393858148154,0.2400000000000001,24.94837160619914
0.2500000000000001,27.58722314304224,0.2500000000000001,27.36835888909253,0.2500000000000001,27.20294439413424,0.2500000000000001,27.07905210146643,0.2500000000000001,26.81087420599546,0.2500000000000001,26.61357119565748,0.2500000000000001,26.45987272652974,0.2500000000000001,26.33530840145103,0.2500000000000001,26.23140728383704,0.2500000000000001,26.06604457807022,0.2500000000000001,25.69437125059498,0.2500000000000001,25.41971701934939,0.2500000000000001,25.20781716260695,0.2500000000000001,25.03896457289189,0.2500000000000001,24.90099431146542,0.2500000000000001,24.78597510041529
0.2600000000000001,27.46550746182506,0.2600000000000001,27.24373384300858,0.2600000000000001,27.06658960164046,0.2600000000000001,26.93205874657627,0.2600000000000001,26.65462777845676,0.2600000000000001,26.44953639815593,0.2600000000000001,26.28917378544695,0.2600000000000001,26.15882640506787,0.2600000000000001,26.04984781730406,0.2600000000000001,25.87595952560257,0.2600000000000001,25.50957603352118,0.2600000000000001,25.23832675994585,0.2600000000000001,25.02876199804981,0.2600000000000001,24.86158921232051,0.2600000000000001,24.72487360280643,0.2600000000000001,24.61082041480934
0.2700000000000001,27.32851184208402,0.2700000000000001,27.10395540286353,0.2700000000000001,26.9141124011702,0.2700000000000001,26.76811631559424,0.2700000000000001,26.48105458893606,0.2700000000000001,26.26790994420707,0.2700000000000001,26.10069848921197,0.2700000000000001,25.96444075715905,0.2700000000000001,25.85029905863767,0.2700000000000001,25.66779791461744,0.2700000000000001,25.3082873682988,0.2700000000000001,25.04159357665522,0.2700000000000001,24.83524839501761,0.2700000000000001,24.67046267807619,0.2700000000000001,24.53558380741099,0.2700000000000001,24.42298629954616
0.2800000000000001,27.17456708576626,0.2800000000000001,26.94750593771947,0.2800000000000001,26.74408228336087,0.2800000000000001,26.58588716240797,0.2800000000000001,26.28899006099233,0.2800000000000001,26.06768057568351,0.2800000000000001,25.8935719539601,0.2800000000000001,25.75139821263728,0.2800000000000001,25.63211653868488,0.2800000000000001,25.44110045750258,0.2800000000000001,25.09027030202951,0.2800000000000001,24.82944586633706,0.2800000000000001,24.62732879717719,0.2800000000000001,24.46573441425724,0.2800000000000001,24.33335187008317,0.2800000000000001,24.2227626487627
0.2900000000000001,27.00198137267214,0.2900000000000001,26.77288905460917,0.2900000000000001,26.5551485895998,0.2900000000000001,26.38416435479592,0.2900000000000001,26.07744941058636,0.2900000000000001,25.84805290361944,0.2900000000000001,25.66716152860311,0.2900000000000001,25.51920673497104,0.2900000000000001,25.39493027934908,0.2900000000000001,25.19569659058149,0.2900000000000001,24.85555486792067,0.2900000000000001,24.60205554514202,0.2900000000000001,24.4052789974169,0.2900000000000001,24.24775803783891,0.2900000000000001,24.1185906276614,0.2900000000000001,24.01060782572414
0.3000000000000001,26.8090923736609,0.3000000000000001,26.57868638873313,0.3000000000000001,26.34610477298346,0.3000000000000001,26.16193889975985,0.3000000000000001,25.84569026318204,0.3000000000000001,25.60850237681408,0.3000000000000001,25.42112237368735,0.3000000000000001,25.26767076204181,0.3000000000000001,25.13866934553078,0.3000000000000001,24.93170761911213,0.3000000000000001,24.60441585521021,0.3000000000000001,24.35979893724571,0.3000000000000001,24.16954314600132,0.3000000000000001,24.01702267190429,0.3000000000000001,23.89181818703473,0.3000000000000001,23.78705747737805
0.3100000000000001,26.59433090886976,0.3100000000000001,26.36362323477524,0.3100000000000001,26.11595649211577,0.3100000000000001,25.91846468014363,0.3100000000000001,25.5932645238013,0.3100000000000001,25.34881170496856,0.3100000000000001,25.15541753424659,0.3100000000000001,24.99689487724858,0.3100000000000001,24.86354955084658,0.3100000000000001,24.64950475432452,0.3100000000000001,24.33730371179534,0.3100000000000001,24.10316617371027,0.3100000000000001,23.92062544871504,0.3100000000000001,23.77402973868256,0.3100000000000001,23.6535219765336,0.3100000000000001,23.55257757415228
0.3200000000000001,26.3562929866673,0.3200000000000001,26.1266380321068,0.3200000000000001,25.86398528898173,0.3200000000000001,25.6533100284507,0.3200000000000001,25.32004621507209,0.3200000000000001,25.06907427142312,0.3200000000000001,24.87029768632658,0.3200000000000001,24.70724134987542,0.3200000000000001,24.5700105515063,0.3200000000000001,24.34961080680161,0.3200000000000001,24.05471793815,0.3200000000000001,23.83261287464406,0.3200000000000001,23.65892460776804,0.3200000000000001,23.51911342176285,0.3200000000000001,23.40396771776064,0.3200000000000001,23.30736384396256
0.3300000000000001,26.09381390656777,0.3300000000000001,25.86694725646879,0.3300000000000001,25.58979593000594,0.3300000000000001,25.36638159904762,0.3300000000000001,25.02622005057456,0.3300000000000001,24.7696498029436,0.3300000000000001,24.56622731685672,0.3300000000000001,24.39923047616232,0.3300000000000001,24.25859387697866,0.3300000000000001,24.03254301350908,0.3300000000000001,23.7570245665117,0.3300000000000001,23.54835941461272,0.3300000000000001,23.38451968620817,0.3300000000000001,23.25221657474555,0.3300000000000001,23.14296793498329,0.3300000000000001,23.05110482383069
0.3400000000000001,25.8060344483026,0.3400000000000001,25.58409362618962,0.3400000000000001,25.29333256238068,0.3400000000000001,25.05790481854049,0.3400000000000001,24.7122167765617,0.3400000000000001,24.45106163076691,0.3400000000000001,24.24375088123343,0.3400000000000001,24.0733819456659,0.3400000000000001,23.92976497875372,0.3400000000000001,23.69860962403364,0.3400000000000001,23.44423567593522,0.3400000000000001,23.25016036297172,0.3400000000000001,23.0969340774392,0.3400000000000001,22.97265237729072,0.3400000000000001,22.86964351324134,0.3400000000000001,22.78274489273603
0.3500000000000001,25.49244579367392,0.3500000000000001,25.2779627670906,0.3500000000000001,24.97484827979324,0.3500000000000001,24.72834769782715,0.3500000000000001,24.37858784145376,0.3500000000000001,24.11383507047112,0.3500000000000001,23.90330579150381,0.3500000000000001,23.73001127738327,0.3500000000000001,23.58370012613594,0.3500000000000001,23.34769294842602,0.3500000000000001,23.11578925090518,0.3500000000000001,22.93708704974052,0.3500000000000001,22.79492440567514,0.3500000000000001,22.67890180535457,0.3500000000000001,22.58223108331826,0.3500000000000001,22.50030233137764
0.3600000000000002,25.15289814561316,0.3600000000000002,24.94875328043686,0.3600000000000002,24.63481657828788,0.3600000000000002,24.37828322787714,0.3600000000000002,24.02582516583977,0.3600000000000002,23.75829324248391,0.3600000000000002,23.54500827555406,0.3600000000000002,23.36901590108668,0.3600000000000002,23.22007997826239,0.3600000000000002,22.97907155709604,0.3600000000000002,22.77038644067164,0.3600000000000002,22.60738349629197,0.3600000000000002,22.4763568776339,0.3600000000000002,22.36851101522651,0.3600000000000002,22.27800136238955,0.3600000000000002,22.20080813515767
0.3700000000000002,24.78755996088939,0.3700000000000002,24.59688960282139,0.3700000000000002,24.27378339973143,0.3700000000000002,24.00820098922248,0.3700000000000002,23.65415112364434,0.3700000000000002,23.38434774218534,0.3700000000000002,23.16845923142402,0.3700000000000002,22.98970523221908,0.3700000000000002,22.83794919919352,0.3700000000000002,22.59134576388005,0.3700000000000002,22.40595173016474,0.3700000000000002,22.25846133518375,0.3700000000000002,22.13823596064377,0.3700000000000002,22.03815217345119,0.3700000000000002,21.95335023450126,0.3700000000000002,21.88042534766307
