pch18_Cgd_Cgg (ll=2e-07) X,pch18_Cgd_Cgg (ll=2e-07) Y,pch18_Cgd_Cgg (ll=3e-07) X,pch18_Cgd_Cgg (ll=3e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0.21,-0.299801729883643,0.21,-0.2473927629138948,0.21,-0.2105708557556502,0.21,-0.1832979955127312,0.21,-0.1623233828478612,0.21,-0.1456566527226459,0.21,-0.1320946754537641,0.21,-0.1208439421985322,0.21,-0.1113600353391619,0.21,-0.09625379764768632,0.21,-0.08478992567130322,0.21,-0.07576773081294112,0.21,-0.06848202067874438,0.21,-0.0624753464164748,0.21,-0.05743798746478454,0.21,-0.05315276831570923
0.2200000000000001,-0.3005306362073534,0.2200000000000001,-0.2481562331242567,0.2200000000000001,-0.2113137786260653,0.2200000000000001,-0.1840042929782766,0.2200000000000001,-0.1629826730917044,0.2200000000000001,-0.1462714632208062,0.2200000000000001,-0.1326688159229927,0.2200000000000001,-0.1213814101056888,0.2200000000000001,-0.1118645944435088,0.2200000000000001,-0.09670231522215339,0.2200000000000001,-0.08519242113403847,0.2200000000000001,-0.07613246229557449,0.2200000000000001,-0.06881530583685226,0.2200000000000001,-0.06278208975957281,0.2200000000000001,-0.05772205588640206,0.2200000000000001,-0.05341725620688491
0.2300000000000001,-0.3012673473027688,0.2300000000000001,-0.2489184994736849,0.2300000000000001,-0.2120503860785257,0.2300000000000001,-0.1847014274102672,0.2300000000000001,-0.1636295038202865,0.2300000000000001,-0.146871445443162,0.2300000000000001,-0.133226486801034,0.2300000000000001,-0.121901311095528,0.2300000000000001,-0.1123508886545115,0.2300000000000001,-0.09713196617505826,0.2300000000000001,-0.08557568836108026,0.2300000000000001,-0.07647803946460928,0.2300000000000001,-0.06912975947686667,0.2300000000000001,-0.06307046244647695,0.2300000000000001,-0.05798828622509129,0.2300000000000001,-0.05366447027052209
0.2400000000000001,-0.3020106263398442,0.2400000000000001,-0.2496772912104912,0.2400000000000001,-0.2127773912087189,0.2400000000000001,-0.1853854161816268,0.2400000000000001,-0.1642586356967383,0.2400000000000001,-0.147450440568055,0.2400000000000001,-0.1337608880749354,0.2400000000000001,-0.1223964164257667,0.2400000000000001,-0.1128114179707471,0.2400000000000001,-0.09753502273347982,0.2400000000000001,-0.08593180628086479,0.2400000000000001,-0.07679654388037153,0.2400000000000001,-0.06941757838247013,0.2400000000000001,-0.06333283961735395,0.2400000000000001,-0.05822926549654779,0.2400000000000001,-0.05388722503509613
0.2500000000000001,-0.3027588523287605,0.2500000000000001,-0.2504293228480446,0.2500000000000001,-0.2134899588945339,0.2500000000000001,-0.1860503789393521,0.2500000000000001,-0.1648624454408699,0.2500000000000001,-0.147999575998578,0.2500000000000001,-0.1342622942977502,0.2500000000000001,-0.122856445134883,0.2500000000000001,-0.1132355631978067,0.2500000000000001,-0.09790061675322576,0.2500000000000001,-0.08624969965635436,0.2500000000000001,-0.07707695377316401,0.2500000000000001,-0.06966794019841831,0.2500000000000001,-0.06355867740170523,0.2500000000000001,-0.05843476799437036,0.2500000000000001,-0.05407562926408449
0.2600000000000001,-0.3035098530388113,0.2600000000000001,-0.2511698837536773,0.2600000000000001,-0.2141810941679279,0.2600000000000001,-0.1866877983968719,0.2600000000000001,-0.1654300467459554,0.2600000000000001,-0.1485063065849173,0.2600000000000001,-0.13471705686299,0.2600000000000001,-0.1232670537832754,0.2600000000000001,-0.1136085799177374,0.2600000000000001,-0.09821376934693903,0.2600000000000001,-0.08651420659996437,0.2600000000000001,-0.07730426016315642,0.2600000000000001,-0.06986617055025668,0.2600000000000001,-0.06373372964402051,0.2600000000000001,-0.05859101861535446,0.2600000000000001,-0.05421639231290761
0.2700000000000001,-0.3042606818054471,0.2700000000000001,-0.2518922916548176,0.2700000000000001,-0.2148408369104225,0.2700000000000001,-0.1872855570238474,0.2700000000000001,-0.1659461753065748,0.2700000000000001,-0.1489532271067097,0.2700000000000001,-0.1351063939601679,0.2700000000000001,-0.1236086340475285,0.2700000000000001,-0.1139104212831659,0.2700000000000001,-0.09845428849718817,0.2700000000000001,-0.08670505369869783,0.2700000000000001,-0.0774585236448251,0.2700000000000001,-0.06999287751958935,0.2700000000000001,-0.06383925324911001,0.2700000000000001,-0.05867996165645968,0.2700000000000001,-0.05429214929076618
0.2800000000000001,-0.3050073223917069,0.2800000000000001,-0.2525871784691884,0.2800000000000001,-0.2154552290231905,0.2800000000000001,-0.1878267215955431,0.2800000000000001,-0.1663898341753836,0.2800000000000001,-0.1493166783169795,0.2800000000000001,-0.1354050145152073,0.2800000000000001,-0.1238549850560295,0.2800000000000001,-0.1141144735275541,0.2800000000000001,-0.09859564317817707,0.2800000000000001,-0.08679587084849404,0.2800000000000001,-0.07751401905379306,0.2800000000000001,-0.07002320981249259,0.2800000000000001,-0.06385136344814375,0.2800000000000001,-0.05867869849502626,0.2800000000000001,-0.05428096860130437
0.2900000000000001,-0.3057443040150212,0.2900000000000001,-0.2532415801273386,0.2900000000000001,-0.2160050363123012,0.2900000000000001,-0.1882880772241793,0.2900000000000001,-0.1667327483659592,0.2900000000000001,-0.1495652405810518,0.2900000000000001,-0.1355797084910097,0.2900000000000001,-0.1239720236153888,0.2900000000000001,-0.1141863912151414,0.2900000000000001,-0.09860403242042241,0.2900000000000001,-0.0867534924157284,0.2900000000000001,-0.0774387296593378,0.2900000000000001,-0.06992650671810814,0.2900000000000001,-0.06374080806155696,0.2900000000000001,-0.05855936075977432,0.2900000000000001,-0.05415630386976359
0.3000000000000001,-0.3064642081061306,0.3000000000000001,-0.2538378150998618,0.3000000000000001,-0.2164642446837275,0.3000000000000001,-0.1886384731261289,0.3000000000000001,-0.1669377716076167,0.3000000000000001,-0.1496583274461245,0.3000000000000001,-0.1355881700433246,0.3000000000000001,-0.123916838782356,0.3000000000000001,-0.1140833669512522,0.3000000000000001,-0.09843801533723241,0.3000000000000001,-0.08653793455649776,0.3000000000000001,-0.07719458681985099,0.3000000000000001,-0.06966673172152167,0.3000000000000001,-0.06347354292446586,0.3000000000000001,-0.05828978854043336,0.3000000000000001,-0.05388774586413385
0.3100000000000001,-0.3071570509090001,0.3100000000000001,-0.2543521660811832,0.3100000000000001,-0.216798420738945,0.3100000000000001,-0.1888371482536625,0.3100000000000001,-0.1669575349094569,0.3100000000000001,-0.1495452615912897,0.3100000000000001,-0.1353784998989591,0.3100000000000001,-0.1236375777269235,0.3100000000000001,-0.1137543457252687,0.3100000000000001,-0.09804922530536675,0.3100000000000001,-0.08610357083969905,0.3100000000000001,-0.07673895757398233,0.3100000000000001,-0.06920416449826843,0.3100000000000001,-0.06301255287938154,0.3100000000000001,-0.05783542790283437,0.3100000000000001,-0.05344296003850502
