pch18_gm_gds  (ll=2e-07) X,pch18_gm_gds  (ll=2e-07) Y,pch18_gm_gds  (ll=3e-07) X,pch18_gm_gds  (ll=3e-07) Y,pch18_gm_gds  (ll=4e-07) X,pch18_gm_gds  (ll=4e-07) Y,pch18_gm_gds  (ll=5e-07) X,pch18_gm_gds  (ll=5e-07) Y,pch18_gm_gds  (ll=6e-07) X,pch18_gm_gds  (ll=6e-07) Y,pch18_gm_gds  (ll=7e-07) X,pch18_gm_gds  (ll=7e-07) Y,pch18_gm_gds  (ll=8e-07) X,pch18_gm_gds  (ll=8e-07) Y,pch18_gm_gds  (ll=9e-07) X,pch18_gm_gds  (ll=9e-07) Y,pch18_gm_gds  (ll=1e-06) X,pch18_gm_gds  (ll=1e-06) Y,pch18_gm_gds  (ll=1.2e-06) X,pch18_gm_gds  (ll=1.2e-06) Y,pch18_gm_gds  (ll=1.4e-06) X,pch18_gm_gds  (ll=1.4e-06) Y,pch18_gm_gds  (ll=1.6e-06) X,pch18_gm_gds  (ll=1.6e-06) Y,pch18_gm_gds  (ll=1.8e-06) X,pch18_gm_gds  (ll=1.8e-06) Y,pch18_gm_gds  (ll=2e-06) X,pch18_gm_gds  (ll=2e-06) Y,pch18_gm_gds  (ll=2.2e-06) X,pch18_gm_gds  (ll=2.2e-06) Y,pch18_gm_gds  (ll=2.4e-06) X,pch18_gm_gds  (ll=2.4e-06) Y
0.3700000000000002,72.86986892821615,0.3700000000000002,137.8075663999332,0.3700000000000002,157.7248157420999,0.3700000000000002,169.7190856193866,0.3700000000000002,186.0747828894059,0.3700000000000002,198.6406753618446,0.3700000000000002,208.5601962142429,0.3700000000000002,216.5693300564153,0.3700000000000002,223.1606221330879,0.3700000000000002,233.3499864478729,0.3700000000000002,271.1350901934092,0.3700000000000002,308.3241958993182,0.3700000000000002,344.9031207199108,0.3700000000000002,380.8692360647405,0.3700000000000002,416.2262801723151,0.3700000000000002,450.9816670673849
0.3800000000000002,72.51112467950361,0.3800000000000002,136.6933177631535,0.3800000000000002,156.4760693280621,0.3800000000000002,168.4809937795242,0.3800000000000002,185.0749184698141,0.3800000000000002,197.8777003757526,0.3800000000000002,208.0169617135803,0.3800000000000002,216.2245573834284,0.3800000000000002,222.9932817250039,0.3800000000000002,233.4820154421368,0.3800000000000002,271.4633924261709,0.3800000000000002,308.8106319119304,0.3800000000000002,345.5104046496846,0.3800000000000002,381.5614445515411,0.3800000000000002,416.9690474841042,0.3800000000000002,451.7422432513718
0.3900000000000002,72.13945204001581,0.3900000000000002,135.5576840809737,0.3900000000000002,155.2095589180432,0.3900000000000002,167.2293769894028,0.3900000000000002,184.0785026043019,0.3900000000000002,197.130690965471,0.3900000000000002,207.4993515125866,0.3900000000000002,215.9130901378675,0.3900000000000002,222.8654841636826,0.3900000000000002,233.6630251178893,0.3900000000000002,271.8127463520416,0.3900000000000002,309.2819224367838,0.3900000000000002,346.0596332341175,0.3900000000000002,382.1470834839445,0.3900000000000002,417.5519644639788,0.3900000000000002,452.2855841764907
0.4000000000000002,71.75477919349994,0.4000000000000002,134.3856103852919,0.4000000000000002,153.8916722846334,0.4000000000000002,165.9172016261283,0.4000000000000002,183.0197937133409,0.4000000000000002,196.3187542968564,0.4000000000000002,206.9142087429889,0.4000000000000002,215.5317485839504,0.4000000000000002,222.6657571564726,0.4000000000000002,233.7687088226305,0.4000000000000002,272.0252153419556,0.4000000000000002,309.5475055414665,0.4000000000000002,346.3286936578914,0.4000000000000002,382.3735883242906,0.4000000000000002,417.693118086716,0.4000000000000002,452.3015251501034
0.4100000000000002,71.3549375951448,0.4100000000000002,133.1495527232216,0.4100000000000002,152.4733235485486,0.4100000000000002,164.4821269949568,0.4100000000000002,181.8171243383571,0.4100000000000002,195.3452680145114,0.4100000000000002,206.1531957165042,0.4100000000000002,214.9628644788751,0.4100000000000002,222.2688776614666,0.4100000000000002,233.6624566393064,0.4100000000000002,271.9328893912958,0.4100000000000002,309.4099630334804,0.4100000000000002,346.0923522871029,0.4100000000000002,381.989512891204,0.4100000000000002,417.11637383147,0.4100000000000002,451.4906982268868
0.4200000000000002,70.93482005100604,0.4200000000000002,131.8101894489242,0.4200000000000002,150.8950416935173,0.4200000000000002,162.8548172158501,0.4200000000000002,180.3842885367119,0.4200000000000002,194.111578279638,0.4200000000000002,205.1082488942735,0.4200000000000002,214.0910977345885,0.4200000000000002,221.5537646046042,0.4200000000000002,233.2148212555537,0.4200000000000002,271.3820002908635,0.4200000000000002,308.6935648292329,0.4200000000000002,345.155021315592,0.4200000000000002,380.7813235394917,0.4200000000000002,415.592013001352,0.4200000000000002,449.6088369728965
0.4300000000000002,70.48579244899784,0.4300000000000002,130.3201572029151,0.4300000000000002,149.0957491150239,0.4300000000000002,160.9704800303635,0.4300000000000002,178.6446747889894,0.4300000000000002,192.5328756237474,0.4300000000000002,203.6886616999446,0.4300000000000002,212.8213789556531,0.4300000000000002,220.4220486558879,0.4300000000000002,232.3229074319339,0.4300000000000002,270.2557296105026,0.4300000000000002,307.2701516265702,0.4300000000000002,343.3794198783264,0.4300000000000002,378.6045766924432,0.4300000000000002,412.9701902239485,0.4300000000000002,446.5022973395747
0.4400000000000002,69.99562438043256,0.4400000000000002,128.6306657094345,0.4400000000000002,147.0235382028394,0.4400000000000002,158.7809281988739,0.4400000000000002,176.5447048803717,0.4400000000000002,190.5523430940318,0.4400000000000002,201.8355879902526,0.4400000000000002,211.0935711946852,0.4400000000000002,218.8127784258292,0.4400000000000002,230.9249922214204,0.4400000000000002,268.4902106576234,0.4400000000000002,305.0761462614278,0.4400000000000002,340.7042892236488,0.4400000000000002,375.4020777974463,0.4400000000000002,409.1993091248542,0.4400000000000002,442.1264480858354
0.4500000000000002,69.44915250742648,0.4500000000000002,126.6998321624251,0.4500000000000002,144.6457828068592,0.4500000000000002,156.2639613641834,0.4500000000000002,174.0630754309344,0.4500000000000002,188.1499803266464,0.4500000000000002,199.5303737600009,0.4500000000000002,208.8903081351496,0.4500000000000002,216.7097908585931,0.4500000000000002,229.007063974481,0.4500000000000002,266.0802462126312,0.4500000000000002,302.1171489113541,0.4500000000000002,337.1476292962736,0.4500000000000002,371.2055663486539,0.4500000000000002,404.3259935662376,0.4500000000000002,436.5437891940654
0.4600000000000002,68.82973839719455,0.4600000000000002,124.5007824681991,0.4600000000000002,141.9558716892161,0.4600000000000002,153.4275786884022,0.4600000000000002,171.2135508138554,0.4600000000000002,185.344141561443,0.4600000000000002,196.79503338079,0.4600000000000002,206.2365762258129,0.4600000000000002,214.140535649043,0.4600000000000002,226.6004384490416,0.4600000000000002,263.0743719654113,0.4600000000000002,298.460281755498,0.4600000000000002,332.7962050805583,0.4600000000000002,366.1222943724708,0.4600000000000002,398.4786698312772,0.4600000000000002,429.9044851843727
