pch18_gm_Id  (ll=2e-07) X,pch18_gm_Id  (ll=2e-07) Y,pch18_gm_Id  (ll=3e-07) X,pch18_gm_Id  (ll=3e-07) Y,pch18_gm_Id  (ll=4e-07) X,pch18_gm_Id  (ll=4e-07) Y,pch18_gm_Id  (ll=5e-07) X,pch18_gm_Id  (ll=5e-07) Y,pch18_gm_Id  (ll=6e-07) X,pch18_gm_Id  (ll=6e-07) Y,pch18_gm_Id  (ll=7e-07) X,pch18_gm_Id  (ll=7e-07) Y,pch18_gm_Id  (ll=8e-07) X,pch18_gm_Id  (ll=8e-07) Y,pch18_gm_Id  (ll=9e-07) X,pch18_gm_Id  (ll=9e-07) Y,pch18_gm_Id  (ll=1e-06) X,pch18_gm_Id  (ll=1e-06) Y,pch18_gm_Id  (ll=1.2e-06) X,pch18_gm_Id  (ll=1.2e-06) Y,pch18_gm_Id  (ll=1.4e-06) X,pch18_gm_Id  (ll=1.4e-06) Y,pch18_gm_Id  (ll=1.6e-06) X,pch18_gm_Id  (ll=1.6e-06) Y,pch18_gm_Id  (ll=1.8e-06) X,pch18_gm_Id  (ll=1.8e-06) Y,pch18_gm_Id  (ll=2e-06) X,pch18_gm_Id  (ll=2e-06) Y,pch18_gm_Id  (ll=2.2e-06) X,pch18_gm_Id  (ll=2.2e-06) Y,pch18_gm_Id  (ll=2.4e-06) X,pch18_gm_Id  (ll=2.4e-06) Y
0.2800000000000001,27.0632492357446,0.2800000000000001,28.17700724636383,0.2800000000000001,28.54726941256749,0.2800000000000001,28.72409617914001,0.2800000000000001,28.51647846628133,0.2800000000000001,28.37268649341752,0.2800000000000001,28.26688683535814,0.2800000000000001,28.18557740894591,0.2800000000000001,28.12100742909983,0.2800000000000001,28.0246666285762,0.2800000000000001,27.96831529190526,0.2800000000000001,27.92633757800533,0.2800000000000001,27.89380077971203,0.2800000000000001,27.86780872431192,0.2800000000000001,27.84654687445736,0.2800000000000001,27.82881903298478
0.2900000000000001,26.94342495331394,0.2900000000000001,28.01102392162653,0.2900000000000001,28.35220574034336,0.2900000000000001,28.51027335812772,0.2900000000000001,28.29422615206553,0.2900000000000001,28.14471355631037,0.2900000000000001,28.03476268350749,0.2900000000000001,27.95029049862122,0.2900000000000001,27.8832210784885,0.2900000000000001,27.78315947126693,0.2900000000000001,27.72586233827789,0.2900000000000001,27.68331392742772,0.2900000000000001,27.65041260868681,0.2900000000000001,27.62417719045961,0.2900000000000001,27.60274705467076,0.2900000000000001,27.58489950365293
0.3000000000000001,26.8100554222761,0.3000000000000001,27.8253114308609,0.3000000000000001,28.13389750022132,0.3000000000000001,28.27107349228531,0.3000000000000001,28.04670408965315,0.3000000000000001,27.8916287030135,0.3000000000000001,27.77768251247698,0.3000000000000001,27.690187643042,0.3000000000000001,27.62074086119525,0.3000000000000001,27.51715494275347,0.3000000000000001,27.45954821451287,0.3000000000000001,27.41692972781066,0.3000000000000001,27.3840657896705,0.3000000000000001,27.35791565251438,0.3000000000000001,27.33659037595683,0.3000000000000001,27.31885338063186
0.3100000000000001,26.66181372897199,0.3100000000000001,27.61813826389618,0.3100000000000001,27.89049800629257,0.3100000000000001,28.00461355541726,0.3100000000000001,27.77226521574526,0.3100000000000001,27.61193903366022,0.3100000000000001,27.49425760099494,0.3100000000000001,27.40395267916163,0.3100000000000001,27.33230242819231,0.3100000000000001,27.22545439099496,0.3100000000000001,27.16826592708356,0.3100000000000001,27.12613398237452,0.3100000000000001,27.09374406823205,0.3100000000000001,27.06802940284825,0.3100000000000001,27.04709522000985,0.3100000000000001,27.02970657978415
0.3200000000000001,26.49738469622065,0.3200000000000001,27.38785888398623,0.3200000000000001,27.62029191946601,0.3200000000000001,27.70916080713008,0.3200000000000001,27.46939222993346,0.3200000000000001,27.30424732286001,0.3200000000000001,27.18315790001058,0.3200000000000001,27.09029218158787,0.3200000000000001,27.01663070226308,0.3200000000000001,26.90678995802364,0.3200000000000001,26.85076112371441,0.3200000000000001,26.80966066459456,0.3200000000000001,26.77815780935437,0.3200000000000001,26.75319988229117,0.3200000000000001,26.73291220933326,0.3200000000000001,26.71607880735077
0.3300000000000001,26.31549856015162,0.3300000000000001,27.13294388725667,0.3300000000000001,27.32169760410339,0.3300000000000001,27.38310648171352,0.3300000000000001,27.13661700057994,0.3300000000000001,26.96712839611654,0.3300000000000001,26.84295450890442,0.3300000000000001,26.74775096315966,0.3300000000000001,26.67223360848229,0.3300000000000001,26.55958569294892,0.3300000000000001,26.50535117018419,0.3300000000000001,26.46571590647867,0.3300000000000001,26.43540638810575,0.3300000000000001,26.41142736209795,0.3300000000000001,26.39195092627486,0.3300000000000001,26.37579713680253
0.3400000000000001,26.11495945638018,0.3400000000000001,26.85197641699713,0.3400000000000001,26.99321077894622,0.3400000000000001,27.02486627145281,0.3400000000000001,26.77235533258236,0.3400000000000001,26.59891706963083,0.3400000000000001,26.47187392520495,0.3400000000000001,26.37444164407201,0.3400000000000001,26.29711322290587,0.3400000000000001,26.18164394467501,0.3400000000000001,26.12957701667082,0.3400000000000001,26.09160625981382,0.3400000000000001,26.06258987405977,0.3400000000000001,26.03963072901247,0.3400000000000001,26.0209710045679,0.3400000000000001,26.0054806602515
0.3500000000000001,25.89465854692689,0.3500000000000001,26.54359481596821,0.3500000000000001,26.63327263636952,0.3500000000000001,26.63269991052695,0.3500000000000001,26.37466468068586,0.3500000000000001,26.19742963883317,0.3500000000000001,26.0674987027431,0.3500000000000001,25.96773380399746,0.3500000000000001,25.88844917696972,0.3500000000000001,25.76982681522067,0.3500000000000001,25.71987430683414,0.3500000000000001,25.68340796019402,0.3500000000000001,25.65548095713506,0.3500000000000001,25.6333244459752,0.3500000000000001,25.61526531888809,0.3500000000000001,25.60023043371882
0.3600000000000002,25.65355835691653,0.3600000000000002,26.20636613359218,0.3600000000000002,26.24006478128127,0.3600000000000002,26.20447355281289,0.3600000000000002,25.94097445980681,0.3600000000000002,25.75968966365717,0.3600000000000002,25.62650198877281,0.3600000000000002,25.52400345799553,0.3600000000000002,25.44236568900379,0.3600000000000002,25.31985973213128,0.3600000000000002,25.27140867268302,0.3600000000000002,25.23583545258165,0.3600000000000002,25.20842550590804,0.3600000000000002,25.18654894789352,0.3600000000000002,25.16861775448563,0.3600000000000002,25.15361219941604
0.3700000000000002,25.3906335223685,0.3700000000000002,25.83859111434174,0.3700000000000002,25.81126913940705,0.3700000000000002,25.73743628052925,0.3700000000000002,25.46789216354992,0.3700000000000002,25.281783154099,0.3700000000000002,25.14455597144363,0.3700000000000002,25.03859312121817,0.3700000000000002,24.95393954577759,0.3700000000000002,24.82642269991184,0.3700000000000002,24.77825122852655,0.3700000000000002,24.74249108743418,0.3700000000000002,24.71465682256048,0.3700000000000002,24.69224100733175,0.3700000000000002,24.67372251033632,0.3700000000000002,24.65811859423115
