nch18_gm_gds (ll=2e-07) X,nch18_gm_gds (ll=2e-07) Y,nch18_gm_gds (ll=3e-07) X,nch18_gm_gds (ll=3e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0.2700000000000001,70.43838811515768,0.2700000000000001,161.2335166277723,0.2700000000000001,197.1502699848739,0.2700000000000001,216.9639076157136,0.2700000000000001,237.3604409499158,0.2700000000000001,254.2911471577362,0.2700000000000001,268.6059891582805,0.2700000000000001,280.8695421890509,0.2700000000000001,291.4935858158251,0.2700000000000001,308.9856993385683,0.2700000000000001,333.8584012179753,0.2700000000000001,355.8457505366248,0.2700000000000001,375.4129538758065,0.2700000000000001,392.9351451664089,0.2700000000000001,408.7157668515359,0.2700000000000001,423.0019489924902
0.2800000000000001,70.23636939779321,0.2800000000000001,160.4328757844613,0.2800000000000001,196.0394562392384,0.2800000000000001,215.679387022305,0.2800000000000001,235.9133234892825,0.2800000000000001,252.7156570426729,0.2800000000000001,266.9292410316388,0.2800000000000001,279.1133368083568,0.2800000000000001,289.6754890324242,0.2800000000000001,307.0837195902784,0.2800000000000001,331.9830908216668,0.2800000000000001,354.0042030562472,0.2800000000000001,373.6123436158152,0.2800000000000001,391.18150830097,0.2800000000000001,407.0137727924321,0.2800000000000001,421.3549977873379
0.2900000000000001,70.01258841499984,0.2900000000000001,159.5500006863792,0.2900000000000001,194.8260782214863,0.2900000000000001,214.2887730318931,0.2900000000000001,234.3639057642753,0.2900000000000001,251.0460111817171,0.2900000000000001,265.1694109105337,0.2900000000000001,277.2870687798367,0.2900000000000001,287.8015928698543,0.2900000000000001,305.156334996412,0.2900000000000001,330.124788199815,0.2900000000000001,352.2201206608272,0.2900000000000001,371.9079399477432,0.2900000000000001,389.5611726771685,0.2900000000000001,405.4805571422362,0.2900000000000001,419.9107144394433
0.3000000000000001,69.76529843380018,0.3000000000000001,158.5815347936705,0.3000000000000001,193.5099873232744,0.3000000000000001,212.7962691301997,0.3000000000000001,232.7221205016782,0.3000000000000001,249.2979286898449,0.3000000000000001,263.3478678853652,0.3000000000000001,275.4175155883661,0.3000000000000001,285.9037900162261,0.3000000000000001,303.2447282290133,0.3000000000000001,328.3333966444574,0.3000000000000001,350.551435634189,0.3000000000000001,370.3650729679161,0.3000000000000001,388.1462927630454,0.3000000000000001,404.1945794626272,0.3000000000000001,418.7533942440888
0.3100000000000001,69.49294910364998,0.3100000000000001,157.5258348090404,0.3100000000000001,192.0942234637133,0.3100000000000001,211.2103977064422,0.3100000000000001,231.0032233150646,0.3100000000000001,247.4932137007618,0.3100000000000001,261.4926159544582,0.3100000000000001,273.5384594581491,0.3100000000000001,284.0211983905119,0.3100000000000001,301.3974049736744,0.3100000000000001,326.666026169261,0.3100000000000001,349.0630936169555,0.3100000000000001,369.0558262431423,0.3100000000000001,387.0154653240414,0.3100000000000001,403.240393377464,0.3100000000000001,417.9730531014058
0.3200000000000001,69.19429522869868,0.3200000000000001,156.3834476206627,0.3200000000000001,190.5855713391048,0.3200000000000001,209.5444641472878,0.3200000000000001,229.2279889433389,0.3200000000000001,245.6596076315221,0.3200000000000001,259.6377573466438,0.3200000000000001,271.6897387463376,0.3200000000000001,282.1987927702883,0.3200000000000001,299.6679998805647,0.3200000000000001,325.1841341896317,0.3200000000000001,347.8235630233203,0.3200000000000001,368.0549493322623,0.3200000000000001,386.2490796235548,0.3200000000000001,402.7034684952437,0.3200000000000001,417.6597540239178
0.3300000000000001,68.86850897567767,0.3300000000000001,155.157521960891,0.3300000000000001,188.9948939666062,0.3300000000000001,207.8166265277289,0.3300000000000001,227.4223049873439,0.3300000000000001,243.8298450504101,0.3300000000000001,257.8219865494071,0.3300000000000001,269.9151804026155,0.3300000000000001,280.4847908638227,0.3300000000000001,298.1116462371163,0.3300000000000001,323.9490823834299,0.3300000000000001,346.8996343654079,0.3300000000000001,367.4339531659976,0.3300000000000001,385.9227602278098,0.3300000000000001,402.6630291041794,0.3300000000000001,417.8958868772806
0.3400000000000001,68.51527930311806,0.3400000000000001,153.8540586039632,0.3400000000000001,187.3370812347812,0.3400000000000001,206.0493688543632,0.3400000000000001,225.6159437997302,0.3400000000000001,242.0396989191042,0.3400000000000001,256.0859236837017,0.3400000000000001,268.2592582986566,0.3400000000000001,278.9266842740935,0.3400000000000001,296.7799079859969,0.3400000000000001,323.0161613656656,0.3400000000000001,346.3496175250183,0.3400000000000001,367.2535542311679,0.3400000000000001,386.0991263793827,0.3400000000000001,403.1831907855927,0.3400000000000001,418.7467382035226
0.3500000000000001,68.13487517078737,0.3500000000000001,152.4818795242344,0.3500000000000001,185.6304384915759,0.3500000000000001,204.2681890311133,0.3500000000000001,223.8403489424647,0.3500000000000001,240.3249033999613,0.3500000000000001,254.4682449733073,0.3500000000000001,266.762515589846,0.3500000000000001,277.566038652223,0.3500000000000001,295.7145743363832,0.3500000000000001,322.4274720992966,0.3500000000000001,346.2154151952274,0.3500000000000001,367.5550334326718,0.3500000000000001,386.818518403318,0.3500000000000001,404.3031261691874,0.3500000000000001,420.2501588989946
0.3600000000000002,67.7281432714864,0.3600000000000002,151.0521889942553,0.3600000000000002,183.8953660487483,0.3600000000000002,202.4993850709694,0.3600000000000002,222.1254059823904,0.3600000000000002,238.7170340919913,0.3600000000000002,253.0008114805987,0.3600000000000002,265.4560763106215,0.3600000000000002,276.4325096188845,0.3600000000000002,294.9409869644247,0.3600000000000002,322.2044538557047,0.3600000000000002,346.5143778077098,0.3600000000000002,368.3515241643789,0.3600000000000002,388.0898077408849,0.3600000000000002,406.0274710809964,0.3600000000000002,422.4066284125157
