nch18_Vdsat  (ll=2e-07) X,nch18_Vdsat  (ll=2e-07) Y,nch18_Vdsat  (ll=3e-07) X,nch18_Vdsat  (ll=3e-07) Y,nch18_Vdsat  (ll=4e-07) X,nch18_Vdsat  (ll=4e-07) Y,nch18_Vdsat  (ll=5e-07) X,nch18_Vdsat  (ll=5e-07) Y,nch18_Vdsat  (ll=6e-07) X,nch18_Vdsat  (ll=6e-07) Y,nch18_Vdsat  (ll=7e-07) X,nch18_Vdsat  (ll=7e-07) Y,nch18_Vdsat  (ll=8e-07) X,nch18_Vdsat  (ll=8e-07) Y,nch18_Vdsat  (ll=9e-07) X,nch18_Vdsat  (ll=9e-07) Y,nch18_Vdsat  (ll=1e-06) X,nch18_Vdsat  (ll=1e-06) Y,nch18_Vdsat  (ll=1.2e-06) X,nch18_Vdsat  (ll=1.2e-06) Y,nch18_Vdsat  (ll=1.4e-06) X,nch18_Vdsat  (ll=1.4e-06) Y,nch18_Vdsat  (ll=1.6e-06) X,nch18_Vdsat  (ll=1.6e-06) Y,nch18_Vdsat  (ll=1.8e-06) X,nch18_Vdsat  (ll=1.8e-06) Y,nch18_Vdsat  (ll=2e-06) X,nch18_Vdsat  (ll=2e-06) Y,nch18_Vdsat  (ll=2.2e-06) X,nch18_Vdsat  (ll=2.2e-06) Y,nch18_Vdsat  (ll=2.4e-06) X,nch18_Vdsat  (ll=2.4e-06) Y
0.2,0.04212591286789651,0.2,0.04287483168342437,0.2,0.04299946082782105,0.2,0.04300386048675105,0.2,0.04298349557073689,0.2,0.04295686573037683,0.2,0.04293115752363971,0.2,0.04290832175613091,0.2,0.04288864869032313,0.2,0.04285770112331908,0.2,0.04234481700021295,0.2,0.04196144370351897,0.2,0.04166452205512212,0.2,0.04142808808065542,0.2,0.04123557740936353,0.2,0.04107593606359317
0.21,0.04213203406434254,0.21,0.04288236258100123,0.21,0.04300934597443868,0.21,0.04301608919864425,0.21,0.0429987392898212,0.21,0.04297496222585755,0.21,0.04295194958743386,0.21,0.04293166188311292,0.21,0.04291439992087141,0.21,0.04288790359519834,0.21,0.04237834842453841,0.21,0.04199797769814382,0.21,0.04170378130785258,0.21,0.0414698337274314,0.21,0.04127960163428731,0.21,0.04112205662617018
0.2200000000000001,0.04214010567314925,0.2200000000000001,0.04289227080499815,0.2200000000000001,0.04302232978313744,0.2200000000000001,0.0430321307427045,0.2200000000000001,0.04301868018966622,0.2200000000000001,0.0429985857553859,0.2200000000000001,0.04297904742416576,0.2200000000000001,0.04296203956699893,0.2200000000000001,0.04294787757009937,0.2200000000000001,0.04292709575551879,0.2200000000000001,0.04242168519133062,0.2200000000000001,0.04204505312557426,0.2200000000000001,0.04175424983141007,0.2200000000000001,0.04152339740229195,0.2200000000000001,0.04133600112348072,0.2200000000000001,0.04118106447243586
0.2300000000000001,0.04215073647021628,0.2300000000000001,0.04290529060400963,0.2300000000000001,0.04303935982633714,0.2300000000000001,0.04305314169854793,0.2300000000000001,0.04304472199921264,0.2300000000000001,0.0430293689523041,0.2300000000000001,0.04301429606693155,0.2300000000000001,0.04300149746381003,0.2300000000000001,0.04299130867977597,0.2300000000000001,0.04297783887527287,0.2300000000000001,0.04247756759630431,0.2300000000000001,0.04210557255603584,0.2300000000000001,0.0418189776178723,0.2300000000000001,0.04159196343643527,0.2300000000000001,0.04140808303205129,0.2300000000000001,0.04125637942758097
0.2400000000000001,0.04216471872871432,0.2400000000000001,0.04292237475532341,0.2400000000000001,0.0430616614070535,0.2400000000000001,0.04308061319130908,0.2400000000000001,0.04307866610967637,0.2400000000000001,0.04306939920533404,0.2400000000000001,0.0430600471777491,0.2400000000000001,0.04305263221299455,0.2400000000000001,0.04304751769531347,0.2400000000000001,0.04304336852058027,0.2400000000000001,0.04254944144887754,0.2400000000000001,0.04218317271557093,0.2400000000000001,0.04190177493623708,0.2400000000000001,0.04167950023406142,0.2400000000000001,0.04149996029055728,0.2400000000000001,0.04135224692664112
0.2500000000000001,0.04218308014840172,0.2500000000000001,0.04294475537753641,0.2500000000000001,0.04309081283914774,0.2500000000000001,0.0431164594271574,0.2500000000000001,0.04312281334092773,0.2500000000000001,0.04312133175440439,0.2500000000000001,0.04311928191735541,0.2500000000000001,0.04311872579821394,0.2500000000000001,0.04312006524771167,0.2500000000000001,0.04312774561852129,0.2500000000000001,0.04264161150338881,0.2500000000000001,0.04228238020702513,0.2500000000000001,0.04200737016649234,0.2500000000000001,0.04179092001498166,0.2500000000000001,0.04161671305302344,0.2500000000000001,0.04147390098085034
0.2600000000000001,0.04220714872401668,0.2600000000000001,0.04297401950036403,0.2600000000000001,0.04312883802904375,0.2600000000000001,0.04316312552234376,0.2600000000000001,0.04318008636757226,0.2600000000000001,0.04318852428692182,0.2600000000000001,0.04319575576371103,0.2600000000000001,0.04320389901162541,0.2600000000000001,0.04321340897209144,0.2600000000000001,0.04323602895170367,0.2600000000000001,0.04275941527359933,0.2600000000000001,0.04240878667213986,0.2600000000000001,0.04214158620481408,0.2600000000000001,0.04193225631560157,0.2600000000000001,0.04176456714303047,0.2600000000000001,0.04162774342833329
0.2700000000000001,0.04223863286035524,0.2700000000000001,0.04301220185913809,0.2700000000000001,0.04317831875868874,0.2700000000000001,0.04322371674685487,0.2700000000000001,0.04325417432714138,0.2700000000000001,0.04327519386614122,0.2700000000000001,0.0432941653748787,0.2700000000000001,0.04331328635873249,0.2700000000000001,0.04333308493798173,0.2700000000000001,0.04337446617272425,0.2700000000000001,0.04290941380839957,0.2700000000000001,0.04256923947126156,0.2700000000000001,0.04231153104125379,0.2700000000000001,0.04211085440660739,0.2700000000000001,0.04195108423832581,0.2700000000000001,0.04182153381326225
0.2800000000000001,0.04227971895752747,0.2800000000000001,0.04306189719913289,0.2800000000000001,0.04324252855515914,0.2800000000000001,0.04330215040658673,0.2800000000000001,0.0433496997756667,0.2800000000000001,0.04338659523262674,0.2800000000000001,0.04342033539329513,0.2800000000000001,0.04345322917361208,0.2800000000000001,0.04348590536166704,0.2800000000000001,0.04355069693111325,0.2800000000000001,0.04309959246608735,0.2800000000000001,0.04277204035298376,0.2800000000000001,0.04252579443965027,0.2800000000000001,0.04233556604152222,0.2800000000000001,0.04218535472831498,0.2800000000000001,0.0420645803895811
0.2900000000000001,0.04233318826961122,0.2900000000000001,0.04312639378795251,0.2900000000000001,0.04332558894819889,0.2900000000000001,0.04340332996206667,0.2900000000000001,0.04347240593205919,0.2900000000000001,0.04352921675251044,0.2900000000000001,0.04358141984449845,0.2900000000000001,0.04363148004230178,0.2900000000000001,0.04368016422874615,0.2900000000000001,0.04377395706479833,0.2900000000000001,0.04333956011409111,0.2900000000000001,0.04302713997443162,0.2900000000000001,0.0427946380154583,0.2900000000000001,0.04261693529643935,0.2900000000000001,0.04247817950048721,0.2900000000000001,0.04236791802922121
0.3000000000000001,0.04240255390730227,0.3000000000000001,0.04320982865042661,0.3000000000000001,0.04343264703527947,0.3000000000000001,0.04353333838793727,0.3000000000000001,0.04362935884172726,0.3000000000000001,0.04371098637053504,0.3000000000000001,0.04378610835653506,0.3000000000000001,0.0438574067930757,0.3000000000000001,0.04392583727704599,0.3000000000000001,0.04405526714430891,0.3000000000000001,0.04364072965474991,0.3000000000000001,0.04334631068783879,0.3000000000000001,0.04313016062965188,0.3000000000000001,0.0429673569317859,0.3000000000000001,0.04284222163057819,0.3000000000000001,0.04274445359115524
0.3100000000000001,0.04249221719203638,0.3100000000000001,0.04331736302667154,0.3100000000000001,0.043570070362814,0.3100000000000001,0.04369964400962366,0.3100000000000001,0.04382915456039949,0.3100000000000001,0.04394147480716318,0.3100000000000001,0.04404482187681583,0.3100000000000001,0.04414217845272656,0.3100000000000001,0.04423475672805352,0.3100000000000001,0.04440758243186011,0.3100000000000001,0.0440164568156736,0.3100000000000001,0.04374327426313324,0.3100000000000001,0.04354641544832847,0.3100000000000001,0.04340118330525186,0.3100000000000001,0.04329210369921304,0.3100000000000001,0.04320905418834189
0.3200000000000001,0.04260763994280136,0.3200000000000001,0.04345537348281687,0.3200000000000001,0.04374565100126375,0.3200000000000001,0.04391130701458286,0.3200000000000001,0.04408211575247183,0.3200000000000001,0.04423207712605331,0.3200000000000001,0.04436987624582774,0.3200000000000001,0.04449890920805332,0.3200000000000001,0.04462073487552212,0.3200000000000001,0.0448458754568249,0.3200000000000001,0.04448210868633834,0.3200000000000001,0.044233756109423,0.3200000000000001,0.04405945023376781,0.3200000000000001,0.04393475137749551,0.3200000000000001,0.04384442224548388,0.3200000000000001,0.04377854984045142
0.3300000000000001,0.04275552548954979,0.3300000000000001,0.04363164980066322,0.3300000000000001,0.04396880530156407,0.3300000000000001,0.04417916865444263,0.3300000000000001,0.04440045558906136,0.3300000000000001,0.04459614729115162,0.3300000000000001,0.04477558572178878,0.3300000000000001,0.04494273056094281,0.3300000000000001,0.04509960532008239,0.3300000000000001,0.04538711836880236,0.3300000000000001,0.04505502993501009,0.3300000000000001,0.04483543449832691,0.3300000000000001,0.04468723983468969,0.3300000000000001,0.04458629918540924,0.3300000000000001,0.0445176491154689,0.3300000000000001,0.0444716206328756
0.3400000000000001,0.04294399618153924,0.3400000000000001,0.04385558522967578,0.3400000000000001,0.04425074940195404,0.3400000000000001,0.04451599837112881,0.3400000000000001,0.04479838036814462,0.3400000000000001,0.04504905455861535,0.3400000000000001,0.0452782737020756,0.3400000000000001,0.04549075807985976,0.3400000000000001,0.0456891479935333,0.3400000000000001,0.04605013192506135,0.3400000000000001,0.0457543748377162,0.3400000000000001,0.04556775403716091,0.3400000000000001,0.04544948114121517,0.3400000000000001,0.04537574299595196,0.3400000000000001,0.04533189180698749,0.3400000000000001,0.04530854132752289
0.3500000000000001,0.04318274907485713,0.3500000000000001,0.04413833819622742,0.3500000000000001,0.04460462378682774,0.3500000000000001,0.04493656775397523,0.3500000000000001,0.0452920972935651,0.3500000000000001,0.04560812721834549,0.3500000000000001,0.045896156350786,0.3500000000000001,0.04616191944398236,0.3500000000000001,0.04640886621105352,0.3500000000000001,0.04685527344356134,0.3500000000000001,0.04660077906864211,0.3500000000000001,0.04645157896767532,0.3500000000000001,0.04636722764953057,0.3500000000000001,0.04632429378946423,0.3500000000000001,0.04630849288329728,0.3500000000000001,0.04631076484403335
0.3600000000000002,0.04348316494138583,0.3600000000000002,0.04449293789824748,0.3600000000000002,0.0450455343416185,0.3600000000000002,0.04545761606939597,0.3600000000000002,0.0458996923261364,0.3600000000000002,0.04629245042865382,0.3600000000000002,0.04664906875633955,0.3600000000000002,0.04697661692185707,0.3600000000000002,0.04727959276384669,0.3600000000000002,0.04782394885588099,0.3600000000000002,0.04761585804627396,0.3600000000000002,0.04750867501297051,0.3600000000000002,0.04746235434013545,0.3600000000000002,0.04745390570447298,0.3600000000000002,0.04746946294748249,0.3600000000000002,0.04750034086993439
0.3700000000000002,0.04385833991441179,0.3700000000000002,0.04493430073534575,0.3700000000000002,0.0455904742740405,0.3700000000000002,0.04609767229835344,0.3700000000000002,0.0466408472068541,0.3700000000000002,0.04712249278806652,0.3700000000000002,0.04755801445429511,0.3700000000000002,0.04795621150900125,0.3700000000000002,0.0483229186097996,0.3700000000000002,0.04897795436293421,0.3700000000000002,0.0488215386124455,0.3700000000000002,0.04876102843032429,0.3700000000000002,0.04875686360656609,0.3700000000000002,0.04878656929462172,0.3700000000000002,0.0488367620707976,0.3700000000000002,0.04889918643757954
0.3800000000000002,0.04432300578869199,0.3800000000000002,0.04547912221453019,0.3800000000000002,0.04625809328875813,0.3800000000000002,0.04687670548175896,0.3800000000000002,0.04753637655857566,0.3800000000000002,0.04811955219086401,0.3800000000000002,0.04864453832325875,0.3800000000000002,0.0491223376740185,0.3800000000000002,0.04956046137050665,0.3800000000000002,0.05033867925622792,0.3800000000000002,0.05023925606231138,0.3800000000000002,0.05023003570049152,0.3800000000000002,0.05027206743723552,0.3800000000000002,0.05034348666673644,0.3800000000000002,0.05043146859960907,0.3800000000000002,0.05052824917161702
0.3900000000000002,0.04489330651824398,0.3900000000000002,0.04614561217922626,0.3900000000000002,0.04706828972412073,0.3900000000000002,0.04781559035399285,0.3900000000000002,0.04860758605924088,0.3900000000000002,0.04930503504260642,0.3900000000000002,0.04992994864252474,0.3900000000000002,0.05049608474628217,0.3900000000000002,0.05101301852080376,0.3900000000000002,0.05192622884408617,0.3900000000000002,0.05188907489541512,0.3900000000000002,0.05193562276997207,0.3900000000000002,0.05202770580034105,0.3900000000000002,0.05214418966718046,0.3900000000000002,0.05227289775325104,0.3900000000000002,0.05240662683265978
0.4000000000000002,0.04558640709245854,0.4000000000000002,0.04695305206479976,0.4000000000000002,0.04804161923932977,0.4000000000000002,0.04893539872018299,0.4000000000000002,0.04987547951943729,0.4000000000000002,0.0506996112202974,0.4000000000000002,0.05143444252667112,0.4000000000000002,0.0520971086144831,0.4000000000000002,0.05269967639208354,0.4000000000000002,0.05375854885878097,0.4000000000000002,0.05378881318044573,0.4000000000000002,0.05389537327138153,0.4000000000000002,0.05404108065800167,0.4000000000000002,0.05420568074945483,0.4000000000000002,0.0543777499360934,0.4000000000000002,0.05455072337796259
0.4100000000000002,0.04641992813402187,0.4100000000000002,0.04792117237299306,0.4100000000000002,0.04919853934708907,0.4100000000000002,0.05025655620191802,0.4100000000000002,0.05135987203069169,0.4100000000000002,0.05232231479385437,0.4100000000000002,0.05317621381845904,0.4100000000000002,0.0539427589450546,0.4100000000000002,0.05463696408518324,0.4100000000000002,0.05585064355921396,0.4100000000000002,0.05595326089755524,0.4100000000000002,0.05612375473651072,0.4100000000000002,0.05632629356506132,0.4100000000000002,0.05654168358246219,0.4100000000000002,0.05675937500854004,0.4100000000000002,0.05697352701894898
0.4200000000000002,0.04741122470042685,0.4200000000000002,0.04906937546846946,0.4200000000000002,0.05055853910193428,0.4200000000000002,0.05179793338999261,0.4200000000000002,0.05307849156480792,0.4200000000000002,0.05418968041508525,0.4200000000000002,0.0551706367759861,0.4200000000000002,0.05604731587234899,0.4200000000000002,0.05683814496726486,0.4200000000000002,0.05821397430904758,0.4200000000000002,0.05839357758852583,0.4200000000000002,0.05863152635421207,0.4200000000000002,0.05889366856464783,0.4200000000000002,0.05916208328392816,0.4200000000000002,0.05942723062499727,0.4200000000000002,0.05968408666910784
0.4300000000000002,0.04857655749574148,0.4300000000000002,0.05041585903621822,0.4300000000000002,0.05213923131442105,0.4300000000000002,0.05357596265743531,0.4300000000000002,0.05504616512867037,0.4300000000000002,0.05631501078066196,0.4300000000000002,0.0574296169752283,0.4300000000000002,0.05842142175024072,0.4300000000000002,0.0593127245522465,0.4300000000000002,0.06085610300533522,0.4300000000000002,0.06111693337584727,0.4300000000000002,0.06142539073362425,0.4300000000000002,0.06174942071502711,0.4300000000000002,0.0620726143021121,0.4300000000000002,0.06238659031463119,0.4300000000000002,0.06268724015074913
0.4400000000000002,0.04993023271042168,0.4400000000000002,0.05197672234012689,0.4400000000000002,0.05395550303159714,0.4400000000000002,0.05560387959731425,0.4400000000000002,0.05727418218552815,0.4400000000000002,0.05870785802994263,0.4400000000000002,0.05996118105174365,0.4400000000000002,0.06107176814415689,0.4400000000000002,0.06206622389968422,0.4400000000000002,0.06378060955930814,0.4400000000000002,0.06412642369233554,0.4400000000000002,0.06450791908021616,0.4400000000000002,0.064895597815065,0.4400000000000002,0.0652748212744383,0.4400000000000002,0.06563852425105944,0.4400000000000002,0.06598361471469889
0.4500000000000002,0.05148380506155089,0.4500000000000002,0.05376515294286023,0.4500000000000002,0.05601882195485273,0.4500000000000002,0.0578911768498512,0.4500000000000002,0.0597699061254152,0.4500000000000002,0.06137377255933341,0.4500000000000002,0.06276934260595668,0.4500000000000002,0.0640010608819893,0.4500000000000002,0.06510022858067949,0.4500000000000002,0.06698727269866055,0.4500000000000002,0.06742124932904719,0.4500000000000002,0.06787774135603028,0.4500000000000002,0.06833028571996001,0.4500000000000002,0.06876628155279918,0.4500000000000002,0.06918013948924415,0.4500000000000002,0.06956988467911185
