pch18_ft    (ll=2e-07) X,pch18_ft    (ll=2e-07) Y,pch18_ft    (ll=3e-07) X,pch18_ft    (ll=3e-07) Y,pch18_ft    (ll=4e-07) X,pch18_ft    (ll=4e-07) Y,pch18_ft    (ll=5e-07) X,pch18_ft    (ll=5e-07) Y,pch18_ft    (ll=6e-07) X,pch18_ft    (ll=6e-07) Y,pch18_ft    (ll=7e-07) X,pch18_ft    (ll=7e-07) Y,pch18_ft    (ll=8e-07) X,pch18_ft    (ll=8e-07) Y,pch18_ft    (ll=9e-07) X,pch18_ft    (ll=9e-07) Y,pch18_ft    (ll=1e-06) X,pch18_ft    (ll=1e-06) Y,pch18_ft    (ll=1.2e-06) X,pch18_ft    (ll=1.2e-06) Y,pch18_ft    (ll=1.4e-06) X,pch18_ft    (ll=1.4e-06) Y,pch18_ft    (ll=1.6e-06) X,pch18_ft    (ll=1.6e-06) Y,pch18_ft    (ll=1.8e-06) X,pch18_ft    (ll=1.8e-06) Y,pch18_ft    (ll=2e-06) X,pch18_ft    (ll=2e-06) Y,pch18_ft    (ll=2.2e-06) X,pch18_ft    (ll=2.2e-06) Y,pch18_ft    (ll=2.4e-06) X,pch18_ft    (ll=2.4e-06) Y
0.9100000000000006,-19649794684.4094,0.9100000000000006,-7797952716.475857,0.9100000000000006,-4171066519.394317,0.9100000000000006,-2595180015.154774,0.9100000000000006,-1789411838.710545,0.9100000000000006,-1305550566.689541,0.9100000000000006,-993232771.7773057,0.9100000000000006,-780317914.6094782,0.9100000000000006,-628845354.142146,0.9100000000000006,-432928932.424707,0.9100000000000006,-319818900.3367652,0.9100000000000006,-245808415.7723265,0.9100000000000006,-194769753.0510862,0.9100000000000006,-158102857.0827311,0.9100000000000006,-130882965.5772975,0.9100000000000006,-110125918.2476847
0.9200000000000006,-19930994684.69027,0.9200000000000006,-7911133595.69839,0.9200000000000006,-4233047593.224282,0.9200000000000006,-2634611045.750427,0.9200000000000006,-1817082620.812469,0.9200000000000006,-1325969437.623874,0.9200000000000006,-1008889948.65018,0.9200000000000006,-792689752.6679709,0.9200000000000006,-638859136.327062,0.9200000000000006,-439864953.1532832,0.9200000000000006,-324933168.1931045,0.9200000000000006,-249733727.850168,0.9200000000000006,-197876640.974977,0.9200000000000006,-160622596.552634,0.9200000000000006,-132967319.1191678,0.9200000000000006,-111878568.7702747
0.9300000000000006,-20203113636.5938,0.9300000000000006,-8021250767.658611,0.9300000000000006,-4293574896.332657,0.9300000000000006,-2673215520.97566,0.9300000000000006,-1844229444.617279,0.9300000000000006,-1346028980.547292,0.9300000000000006,-1024286454.468681,0.9300000000000006,-804864375.1948202,0.9300000000000006,-648718777.805781,0.9300000000000006,-446699695.7948187,0.9300000000000006,-329974740.355002,0.9300000000000006,-253604373.8701204,0.9300000000000006,-200940949.4461014,0.9300000000000006,-163108246.23877,0.9300000000000006,-135023770.4389325,0.9300000000000006,-113607963.9625552
0.9400000000000006,-20466301743.82647,0.9400000000000006,-8128363179.819516,0.9400000000000006,-4352676671.966592,0.9400000000000006,-2711009461.133967,0.9400000000000006,-1870861934.660252,0.9400000000000006,-1365735594.300855,0.9400000000000006,-1039426844.429685,0.9400000000000006,-816845187.8845609,0.9400000000000006,-658426920.2811674,0.9400000000000006,-453434882.1750989,0.9400000000000006,-334944850.6586123,0.9400000000000006,-257421281.0098664,0.9400000000000006,-203963400.5359356,0.9400000000000006,-165560384.3352988,0.9400000000000006,-137052792.9408036,0.9400000000000006,-115314498.5536985
0.9500000000000006,-20720725815.56501,0.9500000000000006,-8232532903.804731,0.9500000000000006,-4410382235.870813,0.9500000000000006,-2748009389.615459,0.9500000000000006,-1896990045.231582,0.9500000000000006,-1385095908.546656,0.9500000000000006,-1054315843.561641,0.9500000000000006,-828635726.260559,0.9500000000000006,-667986307.729943,0.9500000000000006,-460072302.0546138,0.9500000000000006,-339844779.8848073,0.9500000000000006,-261185410.764803,0.9500000000000006,-206944742.4635455,0.9500000000000006,-167979609.6019267,0.9500000000000006,-139054876.6161405,0.9500000000000006,-116998580.9271205
0.9600000000000006,-20966565920.06792,0.9600000000000006,-8333824251.045403,0.9600000000000006,-4466721607.356768,0.9600000000000006,-2784232136.172758,0.9600000000000006,-1922623938.137013,0.9600000000000006,-1404116700.833563,0.9600000000000006,-1068958286.93921,0.9600000000000006,-840239610.6235559,0.9600000000000006,-677399751.2863057,0.9600000000000006,-466613790.1348724,0.9600000000000006,-344675839.6102001,0.9600000000000006,-264897746.9974844,0.9600000000000006,-209885740.4017637,0.9600000000000006,-170366534.0755768,0.9600000000000006,-141030522.1261528,0.9600000000000006,-118660628.2220094
0.9700000000000006,-21204012408.60505,0.9700000000000006,-8432303008.970739,0.9700000000000006,-4521725194.505596,0.9700000000000006,-2819694670.156247,0.9700000000000006,-1947773878.877184,0.9700000000000006,-1422804826.085785,0.9700000000000006,-1083359068.821927,0.9700000000000006,-851660507.7104231,0.9700000000000006,-686670099.3489587,0.9700000000000006,-473061206.4803906,0.9700000000000006,-349439358.4643065,0.9700000000000006,-268559285.771817,0.9700000000000006,-212787168.6590433,0.9700000000000006,-172721776.8743491,0.9700000000000006,-142980235.7726271,0.9700000000000006,-120301062.1708421
0.9800000000000006,-21433263287.47571,0.9800000000000006,-8528035786.111448,0.9800000000000006,-4575423527.641123,0.9800000000000006,-2854413960.284803,0.9800000000000006,-1972450149.144916,0.9800000000000006,-1441167157.097768,0.9800000000000006,-1097523099.699002,0.9800000000000006,-862902098.2973709,0.9800000000000006,-695800212.3150693,0.9800000000000006,-479416419.9657432,0.9800000000000006,-354136670.5161658,0.9800000000000006,-272171026.765949,0.9800000000000006,-215649804.0776088,0.9800000000000006,-175045958.9668873,0.9800000000000006,-144904525.2532818,0.9800000000000006,-121920305.58703
0.9900000000000007,-21654521913.6913,0.9900000000000007,-8621089454.918325,0.9900000000000007,-4627847035.573903,0.9900000000000007,-2888406857.777589,0.9900000000000007,-1996662973.693714,0.9900000000000007,-1459210534.723392,0.9900000000000007,-1111455270.297786,0.9900000000000007,-873968050.0387515,0.9900000000000007,-704792941.3891315,0.9900000000000007,-485681294.3864624,0.9900000000000007,-358769105.5347861,0.9900000000000007,-275733966.0735408,0.9900000000000007,-218474420.5008121,0.9900000000000007,-177339698.7900684,0.9900000000000007,-146803896.1063712,0.9900000000000007,-123518779.4235111
1.000000000000001,-21867994988.80271,1.000000000000001,-8711530681.679962,1.000000000000001,-4679025859.518089,1.000000000000001,-2921689999.931978,1.000000000000001,-2020422459.790167,1.000000000000001,-1476941726.555066,1.000000000000001,-1125160421.690929,1.000000000000001,-884861994.8909955,1.000000000000001,-713651110.9603101,1.000000000000001,-491857676.9023349,1.000000000000001,-363337980.8890378,1.000000000000001,-279249090.2190312,1.000000000000001,-221261784.1749292,1.000000000000001,-179603608.607803,1.000000000000001,-148678848.757223,1.000000000000001,-125096900.3298145
1.010000000000001,-22073890825.11021,1.010000000000001,-8799425533.607519,1.010000000000001,-4728989700.000047,1.010000000000001,-2954279731.493918,1.010000000000001,-2043738547.622503,1.010000000000001,-1494367392.995712,1.010000000000001,-1138643320.71421,1.010000000000001,-895587510.5290179,1.010000000000001,-722377504.0867983,1.010000000000001,-497947388.5112371,1.010000000000001,-367844594.873584,1.010000000000001,-282717371.228154,1.010000000000001,-224012649.9627555,1.010000000000001,-181838291.5133654,1.010000000000001,-150529876.0872496,1.010000000000001,-126655078.641634
1.020000000000001,-22272417858.88617,1.020000000000001,-8884839153.88975,1.020000000000001,-4777767692.496198,1.020000000000001,-2986192041.421769,1.020000000000001,-2066620970.193071,1.020000000000001,-1511494059.7309,1.020000000000001,-1151908639.981847,1.020000000000001,-906148105.2187462,1.020000000000001,-730974850.6694901,1.020000000000001,-503952216.2801089,1.020000000000001,-372290221.2676405,1.020000000000001,-286139762.6100062,1.020000000000001,-226727758.257981,1.020000000000001,-184044338.9869369,1.020000000000001,-152357461.4534976,1.020000000000001,-128193716.7432186
1.030000000000001,-22463783386.10041,1.030000000000001,-8967835496.283268,1.030000000000001,-4825388307.946715,1.030000000000001,-3017442512.889567,1.030000000000001,-2089079221.371173,1.030000000000001,-1528328095.708277,1.030000000000001,-1164960941.857513,1.030000000000001,-916547205.6627295,1.030000000000001,-739445817.9387753,1.030000000000001,-509873907.0868528,1.030000000000001,-376676104.9525098,1.030000000000001,-289517196.121181,1.030000000000001,-229407832.5003003,1.030000000000001,-186222328.9287513,1.030000000000001,-154162077.0939148,1.030000000000001,-129713207.7487605
1.040000000000001,-22648192497.32865,1.040000000000001,-9048477111.560263,1.040000000000001,-4871879274.684111,1.040000000000001,-3048046284.606124,1.040000000000001,-2111122530.923051,1.040000000000001,-1544875695.825158,1.040000000000001,-1177804665.806149,1.040000000000001,-926788147.3861682,1.040000000000001,-747793002.9172804,1.040000000000001,-515714162.6522583,1.040000000000001,-381003458.4317476,1.040000000000001,-292850579.1957744,1.040000000000001,-232053577.2014479,1.040000000000001,-188372824.0963738,1.040000000000001,-155944182.8600858,1.040000000000001,-131213934.4544194
1.050000000000001,-22825847189.92418,1.050000000000001,-9126824978.8752,1.050000000000001,-4917267518.68603,1.050000000000001,-3078018021.741093,1.050000000000001,-2132759845.465803,1.050000000000001,-1561142867.612105,1.050000000000001,-1190444118.614004,1.050000000000001,-936874167.277156,1.050000000000001,-756018926.557428,1.050000000000001,-521474635.6646132,1.050000000000001,-385273459.1142772,1.050000000000001,-296140792.9372679,1.050000000000001,-234665676.4017282,1.050000000000001,-190496370.8820628,1.050000000000001,-157704225.2252572,1.050000000000001,-132696268.5176442
1.060000000000001,-22996945637.06649,1.060000000000001,-9202938375.818775,1.060000000000001,-4961579119.406485,1.060000000000001,-3107371894.946957,1.060000000000001,-2153999814.412063,1.060000000000001,-1577135421.280693,1.060000000000001,-1202883467.021303,1.060000000000001,-946808397.9375371,1.060000000000001,-764126029.2857871,1.060000000000001,-527156926.8210726,1.060000000000001,-389487247.2358803,1.060000000000001,-299388690.5794359,1.060000000000001,-237244792.4851799,1.060000000000001,-192593498.3729401,1.060000000000001,-159442636.5209249,1.060000000000001,-134160569.8249505
1.070000000000001,-23161681594.88914,1.070000000000001,-9276874781.592781,1.070000000000001,-5004839278.758121,1.070000000000001,-3136121566.146156,1.070000000000001,-2174850780.081187,1.070000000000001,-1592858962.575886,1.070000000000001,-1215126732.363691,1.070000000000001,-956593863.5395833,1.070000000000001,-772116667.7160878,1.070000000000001,-532762582.6292977,1.070000000000001,-393645924.3080388,1.070000000000001,-302595096.3333981,1.070000000000001,-239791565.28914,1.070000000000001,-194664717.6427413,1.070000000000001,-161159834.3601674,1.070000000000001,-135607186.013377
1.080000000000001,-23320243930.48889,1.080000000000001,-9348689808.361212,1.080000000000001,-5047072301.108405,1.080000000000001,-3164280179.915442,1.080000000000001,-2195320771.251389,1.080000000000001,-1608318887.939499,1.080000000000001,-1227177786.865316,1.080000000000001,-966233476.9182931,1.080000000000001,-779993112.3196533,1.080000000000001,-538293093.8302588,1.080000000000001,-397750551.9951829,1.080000000000001,-305760804.5468396,1.080000000000001,-242306611.4507825,1.080000000000001,-196710521.2292537,1.080000000000001,-162856221.2102112,1.080000000000001,-137036452.1143775
1.090000000000001,-23472816255.18659,1.090000000000001,-9418437156.403862,1.090000000000001,-5088301582.416182,1.090000000000001,-3191860359.446103,1.090000000000001,-2215417499.515184,1.090000000000001,-1623520381.549402,1.090000000000001,-1239040351.26781,1.090000000000001,-975730037.6600839,1.090000000000001,-787757545.8657913,1.090000000000001,-543749894.3184359,1.090000000000001,-401802151.3320857,1.090000000000001,-308886579.1091937,1.090000000000001,-244790523.9391048,1.090000000000001,-198731382.7561987,1.090000000000001,-164532184.0804611,1.090000000000001,-138448690.2919841
1.100000000000001,-23619576648.9206,1.100000000000001,-9486168589.22261,1.100000000000001,-5128549606.872118,1.100000000000001,-3218874206.188704,1.100000000000001,-2235148357.878931,1.100000000000001,-1638468413.850961,1.100000000000001,-1250717993.515988,1.100000000000001,-985086230.9757214,1.100000000000001,-795412062.4655726,1.100000000000001,-549134360.4490482,1.100000000000001,-405801702.2023194,1.100000000000001,-311973153.043267,1.100000000000001,-247243871.7259198,1.100000000000001,-200727756.6622716,1.100000000000001,-166188094.2953828,1.100000000000001,-139844209.6496576
1.110000000000001,-23760697463.08805,1.110000000000001,-9551933925.225607,1.110000000000001,-5167837949.617902,1.110000000000001,-3245333302.406208,1.110000000000001,-2254520421.115915,1.110000000000001,-1653167741.242533,1.110000000000001,-1262214128.253013,1.110000000000001,-994304627.1688384,1.110000000000001,-802958667.0704548,1.110000000000001,-554447810.6334813,1.110000000000001,-409750143.0065504,1.110000000000001,-315021228.2294407,1.110000000000001,-249667199.5536124,1.110000000000001,-202700078.0033125,1.110000000000001,-167824307.3242311,1.110000000000001,-141223306.0823646
1.120000000000001,-23896345190.49609,1.120000000000001,-9615781043.041716,1.120000000000001,-5206187284.307763,1.120000000000001,-3271248715.960293,1.120000000000001,-2273540447.442445,1.120000000000001,-1667622906.615865,1.120000000000001,-1273532016.904942,1.120000000000001,-1003387681.531482,1.120000000000001,-810399275.2924703,1.120000000000001,-559691505.1336713,1.120000000000001,-413648370.4559024,1.120000000000001,-318031475.213152,1.120000000000001,-252061027.76083,1.120000000000001,-204648762.2961946,1.120000000000001,-169441162.6416603,1.120000000000001,-142586262.1520363
1.130000000000001,-24026680392.33358,1.130000000000001,-9677755897.902948,1.130000000000001,-5243617394.441254,1.130000000000001,-3296631006.743492,1.130000000000001,-2292214881.137839,1.130000000000001,-1681838240.485646,1.130000000000001,-1284674768.157795,1.130000000000001,-1012337734.514768,1.130000000000001,-817735713.4252988,1.130000000000001,-564866645.9741135,1.130000000000001,-417497239.4307803,1.130000000000001,-321004533.0499249,1.130000000000001,-254425852.1298449,1.130000000000001,-206574205.374915,1.130000000000001,-171038983.5947177,1.130000000000001,-143933346.9657533
1.140000000000001,-24151857673.22715,1.140000000000001,-9737902546.873211,1.140000000000001,-5280147187.542468,1.140000000000001,-3321490234.245244,1.140000000000001,-2310549855.773016,1.140000000000001,-1695817862.470036,1.140000000000001,-1295645338.648868,1.140000000000001,-1021157012.036311,1.140000000000001,-824969718.5556561,1.140000000000001,-569974376.8962243,1.140000000000001,-421297562.8493305,1.140000000000001,-323941009.1447412,1.140000000000001,-256762143.7210437,1.140000000000001,-208476783.2306169,1.140000000000001,-172618077.2526161,1.140000000000001,-145264816.0366239
1.150000000000001,-24272025696.49893,1.150000000000001,-9796263181.006033,1.150000000000001,-5315794711.387196,1.150000000000001,-3345835965.804523,1.150000000000001,-2328551197.748544,1.150000000000001,-1709565682.906633,1.150000000000001,-1306446533.709097,1.150000000000001,-1029847625.796297,1.150000000000001,-832102938.6618251,1.150000000000001,-575015783.2840999,1.150000000000001,-425050111.49221,1.150000000000001,-326841479.0439961,1.150000000000001,-259070348.6608865,1.150000000000001,-210356851.8077777,1.150000000000001,-174178734.2159776,1.150000000000001,-146580911.1075092
1.160000000000001,-24387327232.69996,1.160000000000001,-9852878162.781351,1.160000000000001,-5350577171.589622,1.160000000000001,-3369677285.155128,1.160000000000001,-2346224429.87242,1.160000000000001,-1723085404.405542,1.160000000000001,-1317081008.004042,1.160000000000001,-1038411573.48141,1.160000000000001,-839136932.6011958,1.160000000000001,-579991891.9932828,1.160000000000001,-428755613.7314317,1.160000000000001,-329706486.138646,1.160000000000001,-261350887.8496426,1.160000000000001,-212214746.7285686,1.160000000000001,-175721228.3618906,1.160000000000001,-147881859.9173173
1.170000000000001,-24497899235.36044,1.170000000000001,-9907786067.406656,1.170000000000001,-5384510949.953833,1.170000000000001,-3393022800.914272,1.170000000000001,-2363574774.730261,1.170000000000001,-1736380523.153516,1.170000000000001,-1327551265.92809,1.170000000000001,-1046850738.739794,1.170000000000001,-846073169.89096,1.170000000000001,-584903671.0148314,1.170000000000001,-432414755.1107074,1.170000000000001,-332536541.2363752,1.170000000000001,-263604156.5542327,1.170000000000001,-214050782.9163418,1.170000000000001,-177245816.5000848,1.170000000000001,-149167875.8886147
1.180000000000001,-24603872938.67539,1.180000000000001,-9961023726.773365,1.180000000000001,-5417611623.075427,1.180000000000001,-3415880654.699613,1.180000000000001,-2380607157.616764,1.180000000000001,-1749454329.790538,1.180000000000001,-1337859661.609576,1.180000000000001,-1055166890.811086,1.180000000000001,-852913030.1858561,1.180000000000001,-589752028.9057685,1.180000000000001,-436028177.7228369,1.180000000000001,-335332121.958517,1.180000000000001,-265830523.8494639,1.180000000000001,-215865254.0872759,1.180000000000001,-178752737.9137446,1.180000000000001,-150439157.7136339
1.190000000000001,-24705373972.54214,1.190000000000001,-10012626275.03763,1.190000000000001,-5449893980.744875,1.190000000000001,-3438258528.586472,1.190000000000001,-2397326208.806806,1.190000000000001,-1762309909.68243,1.190000000000001,-1348008398.383349,1.190000000000001,-1063361683.693029,1.190000000000001,-859657802.3536223,1.190000000000001,-594537813.9136323,1.190000000000001,-439596479.3261258,1.190000000000001,-338093671.914066,1.190000000000001,-268030331.8677385,1.190000000000001,-217658432.0762851,1.190000000000001,-180242213.7558113,1.190000000000001,-151695888.8133687
1.200000000000001,-24802522490.98635,1.200000000000001,-10062627194.94954,1.200000000000001,-5481372043.7591,1.200000000000001,-3460163651.634896,1.200000000000001,-2413736264.947894,1.200000000000001,-1774950142.410188,1.200000000000001,-1357999527.582029,1.200000000000001,-1071436654.719919,1.200000000000001,-866308683.0425742,1.200000000000001,-599261812.7172757,1.200000000000001,-443120212.136377,1.200000000000001,-340821599.5980616,1.200000000000001,-270203894.8128184,1.200000000000001,-219430565.9592451,1.200000000000001,-181714446.2680084,1.200000000000001,-152938236.641175
1.210000000000001,-24895433310.56618,1.210000000000001,-10111058364.18706,1.210000000000001,-5512059080.791297,1.210000000000001,-3481602805.225825,1.210000000000001,-2429841369.351984,1.210000000000001,-1787377700.288063,1.210000000000001,-1367834946.486944,1.210000000000001,-1079393222.417932,1.210000000000001,-872866774.6259969,1.210000000000001,-603924748.6978198,1.210000000000001,-446599881.2234051,1.210000000000001,-343516276.9548472,1.210000000000001,-272351497.6871452,1.210000000000001,-221181880.9282106,1.210000000000001,-183169617.7850563,1.210000000000001,-154166351.7980706
1.220000000000001,-24984216055.831,1.220000000000001,-10157950101.06441,1.220000000000001,-5541967624.002142,1.220000000000001,-3502582326.947719,1.220000000000001,-2445645270.954401,1.220000000000001,-1799595045.708068,1.220000000000001,-1377516395.264592,1.220000000000001,-1087232683.4877,1.220000000000001,-879333082.3944585,1.220000000000001,-608527279.6425,1.220000000000001,-450035942.4310038,1.220000000000001,-346178037.5378243,1.220000000000001,-274473394.6744267,1.220000000000001,-222912576.86944,1.220000000000001,-184607889.4804473,1.220000000000001,-155380366.9215003
1.230000000000001,-25068975309.34184,1.230000000000001,-10203331209.07949,1.230000000000001,-5571109483.099259,1.230000000000001,-3523108112.76798,1.230000000000001,-2461151421.689657,1.230000000000001,-1811604427.087122,1.230000000000001,-1387045452.693131,1.230000000000001,-1094956208.744668,1.230000000000001,-885708510.8490701,1.230000000000001,-613069994.7695988,1.230000000000001,-453428799.7263411,1.230000000000001,-348807174.185986,1.230000000000001,-276569807.1092781,1.230000000000001,-224622826.5853164,1.230000000000001,-186029399.8024994,1.230000000000001,-156580395.3025618
1.240000000000001,-25149810764.1382,1.240000000000001,-10247229019.84544,1.240000000000001,-5599495757.565934,1.240000000000001,-3543185617.20835,1.240000000000001,-2476362972.007468,1.240000000000001,-1823407873.164424,1.240000000000001,-1396423530.455664,1.240000000000001,-1102564837.822041,1.240000000000001,-891993858.9255406,1.240000000000001,-617553410.9440074,1.240000000000001,-456778801.8684829,1.240000000000001,-351403936.1233174,1.240000000000001,-278640920.9533289,1.240000000000001,-226312773.5904522,1.240000000000001,-187434262.5398807,1.240000000000001,-157766529.1782594
1.250000000000001,-25226817376.86568,1.250000000000001,-10289669434.01628,1.250000000000001,-5627136846.785188,1.250000000000001,-3562819851.21898,1.250000000000001,-2491282764.217096,1.250000000000001,-1835007185.359129,1.250000000000001,-1405651865.741306,1.250000000000001,-1110059472.408524,1.250000000000001,-898189813.9494786,1.250000000000001,-621977967.9296284,1.250000000000001,-460086238.2653588,1.250000000000001,-353968525.3695175,1.250000000000001,-280686883.6819044,1.250000000000001,-227982529.3988946,1.250000000000001,-188822564.444074,1.250000000000001,-158938837.6350095
1.260000000000001,-25300085520.06854,1.260000000000001,-10330676959.86972,1.260000000000001,-5654042457.781467,1.260000000000001,-3582015377.4108,1.260000000000001,-2505913323.301855,1.260000000000001,-1846403927.850977,1.260000000000001,-1414731511.850334,1.260000000000001,-1117440867.75231,1.260000000000001,-904296944.0869131,1.260000000000001,-626344022.4958214,1.260000000000001,-463351333.863381,1.260000000000001,-356501092.3287711,1.260000000000001,-282707800.4665507,1.260000000000001,-229632170.2029575,1.260000000000001,-190194362.3218992,1.260000000000001,-160097364.0469553
1.270000000000001,-25369701132.39964,1.270000000000001,-10370274749.25073,1.270000000000001,-5680221610.289139,1.270000000000001,-3600776302.259967,1.270000000000001,-2520256844.787716,1.270000000000001,-1857599414.987637,1.270000000000001,-1423663326.444289,1.270000000000001,-1124709622.112415,1.270000000000001,-910315689.0089086,1.270000000000001,-630651841.1593492,1.270000000000001,-466574242.883077,1.270000000000001,-359001730.3967572,1.270000000000001,-284703729.5157455,1.270000000000001,-231261732.8242523,1.270000000000001,-191549679.4937316,1.270000000000001,-161242122.9572799
1.280000000000001,-25435745865.7186,1.280000000000001,-10408484630.61018,1.280000000000001,-5705682638.834064,1.280000000000001,-3619106264.839293,1.280000000000001,-2534315179.177673,1.280000000000001,-1868594695.549498,1.280000000000001,-1432447957.013709,1.280000000000001,-1131866163.776726,1.280000000000001,-916246348.4339675,1.280000000000001,-634901591.2994956,1.280000000000001,-469755041.1764392,1.280000000000001,-361470469.3937052,1.280000000000001,-286674676.4082137,1.280000000000001,-232871209.793292,1.280000000000001,-192888501.4919381,1.280000000000001,-162373096.2921053
1.290000000000001,-25498297228.23484,1.290000000000001,-10445327138.89295,1.290000000000001,-5730433191.481817,1.290000000000001,-3637008421.55828,1.290000000000001,-2548089812.375248,1.290000000000001,-1879390533.314184,1.290000000000001,-1441085823.053382,1.290000000000001,-1138910735.190991,1.290000000000001,-922089068.1445552,1.290000000000001,-639093330.3307182,1.290000000000001,-472893716.9360491,1.290000000000001,-363907267.5922452,1.290000000000001,-288620587.2196454,1.290000000000001,-234460543.3849032,1.290000000000001,-194210770.8486421,1.290000000000001,-163490228.7742956
1.300000000000001,-25557428723.01232,1.300000000000001,-10480821542.0408,1.300000000000001,-5754480224.862144,1.300000000000001,-3654485426.303554,1.300000000000001,-2561581841.413077,1.300000000000001,-1889987383.255343,1.300000000000001,-1449577094.334374,1.300000000000001,-1145843373.65184,1.300000000000001,-927843822.9927434,1.300000000000001,-643226992.5525126,1.300000000000001,-475990159.430846,1.300000000000001,-366312002.0616943,1.300000000000001,-290541340.2032347,1.300000000000001,-236029618.401852,1.300000000000001,-195516380.7916286,1.300000000000001,-164593422.3779017
1.310000000000001,-25613209981.29081,1.310000000000001,-10514985863.87712,1.310000000000001,-5777829995.022982,1.310000000000001,-3671539405.262393,1.310000000000001,-2574791944.673262,1.310000000000001,-1900385362.580815,1.310000000000001,-1457921664.541268,1.310000000000001,-1152663887.907365,1.310000000000001,-933510396.3117331,1.310000000000001,-647302373.2183381,1.310000000000001,-479044145.3773313,1.310000000000001,-368684456.9942786,1.310000000000001,-292436735.7364839,1.310000000000001,-237578253.4577625,1.310000000000001,-196805167.6313796,1.310000000000001,-165682529.632724
1.320000000000001,-25665706890.19344,1.320000000000001,-10547836903.13463,1.320000000000001,-5800488043.598207,1.320000000000001,-3688171925.58145,1.320000000000001,-2587720345.631155,1.320000000000001,-1910584215.660631,1.320000000000001,-1466119119.398508,1.320000000000001,-1159371829.87772,1.320000000000001,-939088355.0326892,1.320000000000001,-651319109.2720954,1.320000000000001,-482055322.4763167,1.320000000000001,-371024309.6123073,1.320000000000001,-294306484.1902091,1.320000000000001,-239106190.4620362,1.320000000000001,-198076901.5804427,1.320000000000001,-166757345.5520574
1.330000000000001,-25714981714.48957,1.330000000000001,-10579390248.37075,1.330000000000001,-5822459178.688329,1.330000000000001,-3704383956.856739,1.330000000000001,-2600366768.970724,1.330000000000001,-1920583271.711555,1.330000000000001,-1474168698.238181,1.330000000000001,-1165966460.552674,1.330000000000001,-944577019.6671215,1.330000000000001,-655276656.0900701,1.330000000000001,-485023189.5527486,1.330000000000001,-373331113.1776979,1.330000000000001,-296150191.3101137,1.330000000000001,-240613081.9536182,1.330000000000001,-199331275.6983467,1.330000000000001,-167817597.9151511
1.340000000000001,-25761093212.16444,1.340000000000001,-10609660288.49179,1.340000000000001,-5843747449.751913,1.340000000000001,-3720175824.26713,1.340000000000001,-2612730387.703055,1.340000000000001,-1930381393.889218,1.340000000000001,-1482069247.760424,1.340000000000001,-1172446708.940616,1.340000000000001,-949975428.1515678,1.340000000000001,-659174259.4362457,1.340000000000001,-487947072.6286374,1.340000000000001,-375604276.535958,1.340000000000001,-297967340.6266262,1.340000000000001,-242098475.8674085,1.340000000000001,-200567892.6015384,1.340000000000001,-168862935.5896403
1.350000000000001,-25804096743.61502,1.350000000000001,-10638660218.57384,1.350000000000001,-5864356115.685305,1.350000000000001,-3735547151.948273,1.350000000000001,-2624809759.667852,1.350000000000001,-1939976918.188375,1.350000000000001,-1489819166.504137,1.350000000000001,-1178811122.732217,1.350000000000001,-955282292.3623737,1.350000000000001,-663010921.6887282,1.350000000000001,-490826096.13671,1.350000000000001,-377843039.526574,1.350000000000001,-299757272.3259364,1.350000000000001,-243561797.2480574,1.350000000000001,-201786248.5196104,1.350000000000001,-169892914.5296974
1.360000000000001,-25844044374.34933,1.360000000000001,-10666402040.62517,1.360000000000001,-5884287605.126267,1.360000000000001,-3750496794.95471,1.360000000000001,-2636602751.508066,1.360000000000001,-1949367580.265425,1.360000000000001,-1497416338.280191,1.360000000000001,-1185057809.102075,1.360000000000001,-960495945.8938944,1.360000000000001,-666785361.2249429,1.360000000000001,-493659148.3467677,1.360000000000001,-380046443.4829471,1.360000000000001,-301519157.9271133,1.360000000000001,-245002326.3538288,1.360000000000001,-202985714.2194126,1.360000000000001,-170906981.0357067
1.370000000000001,-25880984971.1121,1.370000000000001,-10692896558.88283,1.370000000000001,-5903543467.852541,1.370000000000001,-3765022757.873518,1.370000000000001,-2648106447.881775,1.370000000000001,-1958550427.977584,1.370000000000001,-1504858052.524221,1.370000000000001,-1191184363.806214,1.370000000000001,-965614281.4572208,1.370000000000001,-670495963.6664834,1.370000000000001,-496444839.9325174,1.370000000000001,-382213295.9331513,1.370000000000001,-303251970.0225176,1.370000000000001,-246419172.523734,1.370000000000001,-204165512.2630268,1.370000000000001,-171904451.8162273
1.380000000000001,-25914964291.39629,1.380000000000001,-10718153369.17183,1.380000000000001,-5922124315.95668,1.380000000000001,-3779122097.83395,1.380000000000001,-2659317043.316571,1.380000000000001,-1967521717.08673,1.380000000000001,-1512140909.210308,1.380000000000001,-1197187786.451705,1.380000000000001,-970634676.0068889,1.380000000000001,-674140723.4886297,1.380000000000001,-499181454.4632067,1.380000000000001,-384342128.5077245,1.380000000000001,-304954446.2614806,1.380000000000001,-247811243.1241178,1.380000000000001,-205324690.0232852,1.380000000000001,-172884490.3616355
