pch18_ft    (ll=2e-07) X,pch18_ft    (ll=2e-07) Y,pch18_ft    (ll=3e-07) X,pch18_ft    (ll=3e-07) Y,pch18_ft    (ll=4e-07) X,pch18_ft    (ll=4e-07) Y,pch18_ft    (ll=5e-07) X,pch18_ft    (ll=5e-07) Y,pch18_ft    (ll=6e-07) X,pch18_ft    (ll=6e-07) Y,pch18_ft    (ll=7e-07) X,pch18_ft    (ll=7e-07) Y,pch18_ft    (ll=8e-07) X,pch18_ft    (ll=8e-07) Y,pch18_ft    (ll=9e-07) X,pch18_ft    (ll=9e-07) Y,pch18_ft    (ll=1e-06) X,pch18_ft    (ll=1e-06) Y,pch18_ft    (ll=1.2e-06) X,pch18_ft    (ll=1.2e-06) Y,pch18_ft    (ll=1.4e-06) X,pch18_ft    (ll=1.4e-06) Y,pch18_ft    (ll=1.6e-06) X,pch18_ft    (ll=1.6e-06) Y,pch18_ft    (ll=1.8e-06) X,pch18_ft    (ll=1.8e-06) Y,pch18_ft    (ll=2e-06) X,pch18_ft    (ll=2e-06) Y,pch18_ft    (ll=2.2e-06) X,pch18_ft    (ll=2.2e-06) Y,pch18_ft    (ll=2.4e-06) X,pch18_ft    (ll=2.4e-06) Y
0.2500000000000001,-19188785.80890879,0.2500000000000001,-15067186.55103508,0.2500000000000001,-12634082.57196976,0.2500000000000001,-10718084.35273715,0.2500000000000001,-9895532.764062092,0.2500000000000001,-9041852.828754721,0.2500000000000001,-8247361.82179427,0.2500000000000001,-7535247.818622319,0.2500000000000001,-6905474.375694002,0.2500000000000001,-5860934.510452655,0.2500000000000001,-5076690.134000308,0.2500000000000001,-4443901.64806679,0.2500000000000001,-3926995.415954515,0.2500000000000001,-3499300.865735984,0.2500000000000001,-3141126.793369889,0.2500000000000001,-2837866.473216604
0.2600000000000001,-25085229.18606925,0.2600000000000001,-19890213.61912828,0.2600000000000001,-16714229.30043348,0.2600000000000001,-14182174.73681234,0.2600000000000001,-13038440.28507656,0.2600000000000001,-11869916.88058426,0.2600000000000001,-10790958.10766156,0.2600000000000001,-9828849.225339958,0.2600000000000001,-8981299.947114777,0.2600000000000001,-7581925.421063539,0.2600000000000001,-6534061.844686683,0.2600000000000001,-5692403.058229625,0.2600000000000001,-5007778.991514804,0.2600000000000001,-4443586.17236644,0.2600000000000001,-3972921.245846357,0.2600000000000001,-3575895.798550185
0.2700000000000001,-32749321.88863769,0.2700000000000001,-26202816.91889552,0.2700000000000001,-22052576.14709219,0.2700000000000001,-18705152.19838966,0.2700000000000001,-17112816.20304716,0.2700000000000001,-15511807.98411355,0.2700000000000001,-14045841.92337788,0.2700000000000001,-12746042.74652785,0.2700000000000001,-11606082.9132721,0.2700000000000001,-9733945.140166985,0.2700000000000001,-8336209.028957631,0.2700000000000001,-7219983.398191692,0.2700000000000001,-6316931.136632062,0.2700000000000001,-5576570.600433539,0.2700000000000001,-4961991.842882228,0.2700000000000001,-4446024.548774545
0.2800000000000001,-42689082.13258834,0.2800000000000001,-34435508.84252271,0.2800000000000001,-29002885.90720383,0.2800000000000001,-24574387.47042964,0.2800000000000001,-22353896.29699527,0.2800000000000001,-20157923.79839286,0.2800000000000001,-18165375.86079831,0.2800000000000001,-16410024.44355544,0.2800000000000001,-14878539.64785699,0.2800000000000001,-12379659.95665536,0.2800000000000001,-10520845.58116072,0.2800000000000001,-9047403.781583795,0.2800000000000001,-7863672.241688534,0.2800000000000001,-6899619.134206504,0.2800000000000001,-6104379.88139145,0.2800000000000001,-5440724.629977347
0.2900000000000001,-55547604.31401927,0.2900000000000001,-45126767.36046572,0.2900000000000001,-37998116.92010465,0.2900000000000001,-32132941.52523971,0.2900000000000001,-29030998.7254327,0.2900000000000001,-26016120.42868892,0.2900000000000001,-23308122.34122016,0.2900000000000001,-20940386.35410536,0.2900000000000001,-18887604.99833274,0.2900000000000001,-15564966.99380098,0.2900000000000001,-13105771.30129676,0.2900000000000001,-11175024.04572166,0.2900000000000001,-9637715.447146498,0.2900000000000001,-8396138.021426819,0.2900000000000001,-7379965.901244118,0.2900000000000001,-6538134.868854038
0.3000000000000001,-72133458.50502062,0.3000000000000001,-58940696.86248256,0.3000000000000001,-49555810.64424837,0.3000000000000001,-41776307.35217969,0.3000000000000001,-37436454.4980781,0.3000000000000001,-33296219.6305032,0.3000000000000001,-29620392.36747214,0.3000000000000001,-26435342.61534882,0.3000000000000001,-23695351.05909586,0.3000000000000001,-19304764.21072775,0.3000000000000001,-16078203.13196182,0.3000000000000001,-13575539.11710202,0.3000000000000001,-11604877.98889186,0.3000000000000001,-10029462.30075939,0.3000000000000001,-8752087.60019131,0.3000000000000001,-7702954.247137398
0.3100000000000001,-93455072.80018727,0.3100000000000001,-76681860.43192838,0.3100000000000001,-64275522.03612664,0.3100000000000001,-53938756.8095983,0.3100000000000001,-47863408.0723993,0.3100000000000001,-42184621.08478285,0.3100000000000001,-37211083.79007486,0.3100000000000001,-32948706.21196435,0.3100000000000001,-29317016.26334664,0.3100000000000001,-23569633.02436059,0.3100000000000001,-19387786.85754893,0.3100000000000001,-16191859.33571132,0.3100000000000001,-13708375.19811041,0.3100000000000001,-11746383.97856939,0.3100000000000001,-10172426.97475507,0.3100000000000001,-8892069.807038402
0.3200000000000001,-120757995.343673,0.3200000000000001,-99302966.32280201,0.3200000000000001,-82822850.30420671,0.3200000000000001,-69064556.84404629,0.3200000000000001,-60570283.41685066,0.3200000000000001,-52809666.36104517,0.3200000000000001,-46121837.64689085,0.3200000000000001,-40466296.20412506,0.3200000000000001,-35703763.4536005,0.3200000000000001,-28279335.33452579,0.3200000000000001,-22948236.68430642,0.3200000000000001,-18943578.26702026,0.3200000000000001,-15877738.36188705,0.3200000000000001,-13486993.82264532,0.3200000000000001,-11590865.61927797,0.3200000000000001,-10063920.21220015
0.3300000000000001,-155562758.637567,0.3300000000000001,-127899150.76092,0.3300000000000001,-105893842.7497562,0.3300000000000001,-87560450.95467377,0.3300000000000001,-75733283.45272179,0.3300000000000001,-65203169.92615233,0.3300000000000001,-56300284.61449353,0.3300000000000001,-48890358.10128672,0.3300000000000001,-42736449.0687383,0.3300000000000001,-33309117.02115021,0.3300000000000001,-26650476.93433483,0.3300000000000001,-21742250.4651233,0.3300000000000001,-18043739.2100209,0.3300000000000001,-15198121.40199549,0.3300000000000001,-12967051.73337868,0.3300000000000001,-11188174.69830259
0.3400000000000001,-199699377.6802282,0.3400000000000001,-163680809.1706751,0.3400000000000001,-134154647.4750749,0.3400000000000001,-109730004.9829449,0.3400000000000001,-93394700.80140847,0.3400000000000001,-79269461.65775119,0.3400000000000001,-67588008.89682357,0.3400000000000001,-58041881.65278603,0.3400000000000001,-50237643.30766195,0.3400000000000001,-38510694.68687701,0.3400000000000001,-30384861.2618655,0.3400000000000001,-24510805.14134604,0.3400000000000001,-20153893.37616294,0.3400000000000001,-16845068.77322803,0.3400000000000001,-14278930.59708292,0.3400000000000001,-12251699.50552157
