pch18_Id_W  (ll=2e-07) X,pch18_Id_W  (ll=2e-07) Y,pch18_Id_W  (ll=3e-07) X,pch18_Id_W  (ll=3e-07) Y,pch18_Id_W  (ll=4e-07) X,pch18_Id_W  (ll=4e-07) Y,pch18_Id_W  (ll=5e-07) X,pch18_Id_W  (ll=5e-07) Y,pch18_Id_W  (ll=6e-07) X,pch18_Id_W  (ll=6e-07) Y,pch18_Id_W  (ll=7e-07) X,pch18_Id_W  (ll=7e-07) Y,pch18_Id_W  (ll=8e-07) X,pch18_Id_W  (ll=8e-07) Y,pch18_Id_W  (ll=9e-07) X,pch18_Id_W  (ll=9e-07) Y,pch18_Id_W  (ll=1e-06) X,pch18_Id_W  (ll=1e-06) Y,pch18_Id_W  (ll=1.2e-06) X,pch18_Id_W  (ll=1.2e-06) Y,pch18_Id_W  (ll=1.4e-06) X,pch18_Id_W  (ll=1.4e-06) Y,pch18_Id_W  (ll=1.6e-06) X,pch18_Id_W  (ll=1.6e-06) Y,pch18_Id_W  (ll=1.8e-06) X,pch18_Id_W  (ll=1.8e-06) Y,pch18_Id_W  (ll=2e-06) X,pch18_Id_W  (ll=2e-06) Y,pch18_Id_W  (ll=2.2e-06) X,pch18_Id_W  (ll=2.2e-06) Y,pch18_Id_W  (ll=2.4e-06) X,pch18_Id_W  (ll=2.4e-06) Y
0.2900000000000001,-0.005900317240478196,0.2900000000000001,-0.00470047718371668,0.2900000000000001,-0.003995496611994658,0.2900000000000001,-0.00343473511476378,0.2900000000000001,-0.003217936559568773,0.2900000000000001,-0.00298567315652956,0.2900000000000001,-0.002766179724857949,0.2900000000000001,-0.002567405193292772,0.2900000000000001,-0.002390142207993704,0.2900000000000001,-0.002092945650571674,0.2900000000000001,-0.001869866636942243,0.2900000000000001,-0.001686958203422624,0.2900000000000001,-0.001535203818993478,0.2900000000000001,-0.001407694862770836,0.2900000000000001,-0.001299264554348359,0.2900000000000001,-0.00120604463935904
0.3000000000000001,-0.00771958131086683,0.3000000000000001,-0.006214226967149181,0.3000000000000001,-0.0052994326381372,0.3000000000000001,-0.004562415012762936,0.3000000000000001,-0.004265040152581048,0.3000000000000001,-0.003951181130228531,0.3000000000000001,-0.003656615280512523,0.3000000000000001,-0.003390940802077645,0.3000000000000001,-0.003154666016376856,0.3000000000000001,-0.002759598259858961,0.3000000000000001,-0.002464048161568359,0.3000000000000001,-0.002222071722430588,0.3000000000000001,-0.002021515559982182,0.3000000000000001,-0.001853130064937613,0.3000000000000001,-0.001710023946073751,0.3000000000000001,-0.001587050577077815
0.3100000000000001,-0.01008551189439482,0.3100000000000001,-0.008199304266232386,0.3100000000000001,-0.007012674301755681,0.3100000000000001,-0.006045008351544967,0.3100000000000001,-0.005638116725051145,0.3100000000000001,-0.005214990862596431,0.3100000000000001,-0.004820625783464918,0.3100000000000001,-0.00446641138991047,0.3100000000000001,-0.004152273110134753,0.3100000000000001,-0.003628457921582245,0.3100000000000001,-0.003237996856194214,0.3100000000000001,-0.002918780946331624,0.3100000000000001,-0.002654477305004014,0.3100000000000001,-0.002432738181786935,0.3100000000000001,-0.002244398837378592,0.3100000000000001,-0.002082631601368474
0.3200000000000001,-0.01315587141016964,0.3200000000000001,-0.01079478565773832,0.3200000000000001,-0.009255933331213932,0.3200000000000001,-0.007986873545992751,0.3200000000000001,-0.007431723358621855,0.3200000000000001,-0.006862826662244061,0.3200000000000001,-0.006336290910246031,0.3200000000000001,-0.005865341200069694,0.3200000000000001,-0.005448857826225399,0.3200000000000001,-0.004756330565513686,0.3200000000000001,-0.004242100735853468,0.3200000000000001,-0.003822308294490283,0.3200000000000001,-0.003475080090806126,0.3200000000000001,-0.003183988001253777,0.3200000000000001,-0.002936884159941341,0.3200000000000001,-0.002724740413098078
0.3300000000000001,-0.01713107351157711,0.3300000000000001,-0.01417729846793348,0.3300000000000001,-0.01218199136961467,0.3300000000000001,-0.01051972381031209,0.3300000000000001,-0.00976477474256068,0.3300000000000001,-0.009002230598668207,0.3300000000000001,-0.008301385780351949,0.3300000000000001,-0.007677171507882428,0.3300000000000001,-0.007126729232211792,0.3300000000000001,-0.006214052852402463,0.3300000000000001,-0.005539176417735857,0.3300000000000001,-0.004989019981661971,0.3300000000000001,-0.004534408629236782,0.3300000000000001,-0.004153569157868797,0.3300000000000001,-0.003830459564692466,0.3300000000000001,-0.003553185687431359
0.3400000000000001,-0.02226450277639971,0.3400000000000001,-0.01856966524991747,0.3400000000000001,-0.01598270522582592,0.3400000000000001,-0.01380836628398464,0.3400000000000001,-0.01278551275666591,0.3400000000000001,-0.01176692238049004,0.3400000000000001,-0.01083725247248822,0.3400000000000001,-0.01001273509518352,0.3400000000000001,-0.009287757933837088,0.3400000000000001,-0.008089132468078309,0.3400000000000001,-0.007206800509134017,0.3400000000000001,-0.006488509917262914,0.3400000000000001,-0.005895523249085707,0.3400000000000001,-0.005399106561478628,0.3400000000000001,-0.00497816290464427,0.3400000000000001,-0.004617085469687037
0.3500000000000001,-0.02887484979951611,0.3500000000000001,-0.02425092051384865,0.3500000000000001,-0.02089689852982346,0.3500000000000001,-0.01805702433883685,0.3500000000000001,-0.01667691027574696,0.3500000000000001,-0.01532148784683812,0.3500000000000001,-0.01409292346024434,0.3500000000000001,-0.01300792572544708,0.3500000000000001,-0.01205667480889223,0.3500000000000001,-0.01048848125499367,0.3500000000000001,-0.00933970718028489,0.3500000000000001,-0.008405730238306564,0.3500000000000001,-0.007635373972702475,0.3500000000000001,-0.006990896073820503,0.3500000000000001,-0.006444676692069519,0.3500000000000001,-0.005976327189859274
0.3600000000000002,-0.03736066441945129,0.3600000000000002,-0.03156763551746396,0.3600000000000002,-0.02721892962037321,0.3600000000000002,-0.02351597409974178,0.3600000000000002,-0.021662221110415,0.3600000000000002,-0.01986610284425983,0.3600000000000002,-0.01824920654690563,0.3600000000000002,-0.01682727927311739,0.3600000000000002,-0.01558424752643242,0.3600000000000002,-0.01354098750826385,0.3600000000000002,-0.01205201196830742,0.3600000000000002,-0.01084294237990754,0.3600000000000002,-0.009846533868236976,0.3600000000000002,-0.009013460886673142,0.3600000000000002,-0.008307738291316345,0.3600000000000002,-0.007702855381471576
0.3700000000000002,-0.0482172550272907,0.3700000000000002,-0.04094629374230171,0.3700000000000002,-0.03530749331596111,0.3700000000000002,-0.03048799835763743,0.3700000000000002,-0.02801016612047769,0.3700000000000002,-0.02564079015309629,0.3700000000000002,-0.02352224654977177,0.3700000000000002,-0.02166700347267506,0.3700000000000002,-0.02004989467058397,0.3700000000000002,-0.01739953121366106,0.3700000000000002,-0.01547889239357395,0.3700000000000002,-0.01392114496140161,0.3700000000000002,-0.01263843157357946,0.3700000000000002,-0.01156662982202193,0.3700000000000002,-0.01065909418919867,0.3700000000000002,-0.009881524566253653
0.3800000000000002,-0.06205591314396693,0.3800000000000002,-0.05290614961651664,0.3800000000000002,-0.04559388031629063,0.3800000000000002,-0.03933386023999564,0.3800000000000002,-0.03603897041705571,0.3800000000000002,-0.03292846208118696,0.3800000000000002,-0.03016586237056176,0.3800000000000002,-0.02775680168683717,0.3800000000000002,-0.02566312722135622,0.3800000000000002,-0.02224190981293744,0.3800000000000002,-0.01977723889186094,0.3800000000000002,-0.01778053340794093,0.3800000000000002,-0.01613767435240926,0.3800000000000002,-0.01476576073455723,0.3800000000000002,-0.01360464930302304,0.3800000000000002,-0.0126101925933302
